District Code,District,School,School Code,School Type,Title I Status,Level,Latitude,Longitude
21,Barren County,Hiseville Elementary School,21080,A1,Title 1 Eligible - Schoolwide School,ES,37.099426,-85.819566
21,Barren County,Park City Elementary School,21130,A1,Title 1 Eligible - Schoolwide School,ES,37.096552,-86.046232
21,Barren County,Red Cross Elementary School,21150,A1,Title 1 Eligible - Schoolwide School,ES,36.986102,-85.939768
21,Barren County,Temple Hill Elementary School,21180,A1,Title 1 Eligible - Schoolwide School,ES,36.886768,-85.846938
25,Bath County,Second Chance Academy,25012,A5,Not a Title 1 School,HS,38.1283997,-83.75520527
25,Bath County,Crossroads Elementary School,25014,A1,Title 1 Eligible - Schoolwide School,ES,38.132788,-83.688928
25,Bath County,Bath County Middle School,25020,A1,Title 1 Eligible - Schoolwide School,MS,38.143288,-83.769992
25,Bath County,Owingsville Elementary School,25030,A1,Title 1 Eligible - Schoolwide School,ES,38.14194,-83.775373
25,Bath County,Bath County High School,25040,A1,Title 1 Eligible - Schoolwide School,HS,38.13713,-83.77687
26,Beechwood Independent,Beechwood Elementary School,26010,A1,Title 1 Eligible - Targeted Assistance School,ES,39.048576,-84.555123
26,Beechwood Independent,Beechwood High School,26020,A1,Not a Title 1 School,HS,39.049345,-84.55556
26,Beechwood Independent,Beechwood High School,26020,A1,Not a Title I School,MS,39.049345,-84.55556
26,Beechwood Independent,Guardian Angel,26420,A6,Not a Title 1 School,HS,39.02886,-84.552239
31,Bell County,Bell Central School Center,31012,A1,Title I Eligible - Schoolwide School,ES,36.710755,-83.697248
31,Bell County,Bell Central School Center,31012,A1,Title 1 Eligible - Schoolwide School,MS,36.710755,-83.697248
31,Bell County,Page School Center,31013,A1,Title 1 Eligible - Schoolwide School,MS,36.729426,-83.640989
31,Bell County,Page School Center,31013,A1,Title I Eligible - Schoolwide School,ES,36.729426,-83.640989
31,Bell County,Bell County High School,31040,A1,Title 1 Eligible - No Program,HS,36.713006,-83.691812
31,Bell County,Frakes School Center,31180,A1,Title I Eligible - Schoolwide School,ES,36.640623,-83.931309
31,Bell County,Frakes School Center,31180,A1,Title 1 Eligible - Schoolwide School,MS,36.640623,-83.931309
31,Bell County,Lone Jack School Center,31250,A1,Title 1 Eligible - Schoolwide School,MS,36.788875,-83.747364
31,Bell County,Lone Jack School Center,31250,A1,Title I Eligible - Schoolwide School,ES,36.788875,-83.747364
31,Bell County,Right Fork School Center,31345,A1,Title 1 Eligible - Schoolwide School,MS,36.794233,-83.586222
31,Bell County,Right Fork School Center,31345,A1,Title I Eligible - Schoolwide School,ES,36.794233,-83.586222
31,Bell County,Yellow Creek School Center,31390,A1,Title I Eligible - Schoolwide School,ES,36.612564,-83.758852
31,Bell County,Yellow Creek School Center,31390,A1,Title 1 Eligible - Schoolwide School,MS,36.612564,-83.758852
32,Bellevue Independent,Bellevue High School,32010,A1,Title 1 Eligible - Schoolwide School,HS,39.102161,-84.481994
32,Bellevue Independent,Bellevue High School,32010,A1,Title I Eligible - Schoolwide School,MS,39.102161,-84.481994
32,Bellevue Independent,Grandview Elementary School,32020,A1,Title 1 Eligible - Schoolwide School,ES,39.101849,-84.475994
34,Berea Independent,Berea Community Elementary School,34010,A1,Title 1 Eligible - Schoolwide School,ES,37.578553,-84.293736
34,Berea Independent,Berea Community Middle School,34015,A1,Title 1 Eligible - Schoolwide School,MS,37.578545,-84.293695
34,Berea Independent,Berea Community High School,34020,A1,Title 1 Eligible - Schoolwide School,HS,37.57857,-84.293647
35,Boone County,A M Yealey Elementary School,35005,A1,Title 1 Eligible - Schoolwide School,ES,38.987751,-84.65965
35,Boone County,Erpenbeck Elementary School,35006,A1,Not a Title 1 School,ES,38.966467,-84.666856
35,Boone County,North Pointe Elementary School,35008,A1,Not a Title 1 School,ES,39.115586,-84.735441
35,Boone County,Camp Ernst Middle School,35010,A1,Title 1 Eligible - No Program,MS,39.012135,-84.705235
35,Boone County,Shirley Mann Elementary School,35011,A1,Not a Title 1 School,ES,38.930369,-84.683324
35,Boone County,Thornwilde Elementary School,35012,A1,Not a Title 1 School,ES,39.0946,-84.740848
35,Boone County,Randall K. Cooper High School,35015,A1,Not a Title 1 School,HS,38.97322,-84.711547
35,Boone County,Longbranch Elementary School,35017,A1,Not a Title 1 School,ES,38.973562,-84.708907
35,Boone County,Steeplechase Elementary School,35018,A1,Title 1 Eligible - Schoolwide School,ES,38.896613,-84.631594
35,Boone County,Rector A. Jones Middle School,35020,A1,Title 1 Eligible - Schoolwide School,MS,38.989023,-84.616814
35,Boone County,Ballyshannon Middle School,35025,A1,Not a Title 1 School,MS,38.956143,-84.702639
35,Boone County,Boone County High School,35030,A1,Title 1 Eligible - No Program,HS,39.00613,-84.631061
35,Boone County,Burlington Elementary School,35040,A1,Title 1 Eligible - Schoolwide School,ES,39.029569,-84.720224
35,Boone County,Charles H. Kelly Elementary School,35041,A1,Title 1 Eligible - Schoolwide School,ES,38.982935,-84.827006
35,Boone County,Conner Middle School,35043,A1,Not a Title 1 School,MS,39.06054,-84.699965
35,Boone County,Conner High School,35045,A1,Not a Title 1 School,HS,39.060832,-84.696798
35,Boone County,Florence Elementary School,35050,A1,Title 1 Eligible - Schoolwide School,ES,39.000607,-84.629821
35,Boone County,Chester Goodridge Elementary School,35055,A1,Title 1 Eligible - Schoolwide School,ES,39.061908,-84.692261
35,Boone County,Hillard Collins Elementary School,35065,A1,Title 1 Eligible - Schoolwide School,ES,38.990028,-84.615818
35,Boone County,Larry A. Ryle High School,35071,A1,Not a Title 1 School,HS,38.932872,-84.677598
35,Boone County,Gray Middle School,35075,A1,Not a Title 1 School,MS,38.929905,-84.679949
35,Boone County,New Haven Elementary School,35080,A1,Not a Title 1 School,ES,38.917117,-84.679638
35,Boone County,Ockerman Elementary School,35081,A1,Title 1 Eligible - Schoolwide School,ES,38.982079,-84.6537
35,Boone County,Stephens Elementary School,35083,A1,Title 1 Eligible - Schoolwide School,ES,39.026591,-84.702181
35,Boone County,Ockerman Middle School,35085,A1,Title 1 Eligible - No Program,MS,38.982212,-84.655711
35,Boone County,ACCEL Academy,35135,A5,Not a Title 1 School,HS,39.033821,-84.732429
35,Boone County,RISE Academy,35170,A5,Not a Title 1 School,HS,39.001604,-84.629902
41,Bourbon County,Bourbon Central Elementary School,41010,A1,Title 1 Eligible - Schoolwide School,ES,38.185545,-84.275516
41,Bourbon County,Cane Ridge Elementary School,41030,A1,Title 1 Eligible - Schoolwide School,ES,38.224229,-84.242586
41,Bourbon County,North Middletown Elementary School,41090,A1,Title 1 Eligible - Schoolwide School,ES,38.147192,-84.110422
41,Bourbon County,Bourbon County High School,41110,A1,Title 1 Eligible - No Program,HS,38.194243,-84.271994
41,Bourbon County,Bourbon County Middle School,41120,A1,Title 1 Eligible - No Program,MS,38.194403,-84.273995
42,Bowling Green Independent,Dishman McGinnis Elementary School,42010,A1,Title 1 Eligible - Schoolwide School,ES,36.994595,-86.457514
42,Bowling Green Independent,Childrens Crisis Stabilization Unit,42011,A6,Not a Title 1 School,HS,36.992236,-86.447079
42,Bowling Green Independent,Warren Regional Juvenile Detention Ctr,42013,A6,Not a Title 1 School,HS,36.994834,-86.444759
42,Bowling Green Independent,Parker-Bennett-Curry School,42057,A1,Title 1 Eligible - Schoolwide School,ES,37.00215,-86.438387
42,Bowling Green Independent,Potter Gray Elementary,42060,A1,Not a Title 1 School,ES,36.983894,-86.417644
42,Bowling Green Independent,Bowling Green Junior High,42065,A1,Title 1 Eligible - Schoolwide School,MS,36.961731,-86.459452
42,Bowling Green Independent,Bowling Green High School,42070,A1,Title 1 Eligible - Schoolwide School,HS,36.96469,-86.441862
42,Bowling Green Independent,T C Cherry Elementary School,42080,A1,Title 1 Eligible - Schoolwide School,ES,36.976322,-86.446546
42,Bowling Green Independent,W R McNeill Elementary School,42090,A1,Title 1 Eligible - Schoolwide School,ES,36.980653,-86.462152
42,Bowling Green Independent,Bowling Green Learning Center,42098,A5,Not a Title 1 School,HS,36.985369,-86.438489
45,Boyd County,Boyd County High School,45010,A1,Title 1 Eligible - No Program,HS,38.373572,-82.713134
45,Boyd County,Cannonsburg Elementary School,45020,A1,Title 1 Eligible - Schoolwide School,ES,38.378376,-82.703209
45,Boyd County,Boyd County Middle School,45035,A1,Title 1 Eligible - Schoolwide School,MS,38.427327,-82.699995
45,Boyd County,Boyd County Central School,45045,A5,Not a Title 1 School,HS,38.291568,-82.770992
45,Boyd County,Summit Elementary School,45080,A1,Title 1 Eligible - Schoolwide School,ES,38.435061,-82.698173
45,Boyd County,Ramey-Estep High School,45085,A6,Not a Title 1 School,HS,38.29148657,-82.77086936
45,Boyd County,Catlettsburg Elementary School,45095,A1,Title 1 Eligible - Schoolwide School,ES,38.406864,-82.60081
45,Boyd County,Ponderosa Elementary School,45097,A1,Title 1 Eligible - Schoolwide School,ES,38.342852,-82.689766
45,Boyd County,Boyd Co Career & Tech Educ Ctr Voc Sch,45120,A2,Not a Title 1 School,HS,38.377155,-82.703039
51,Boyle County,Boyle County Middle School,51003,A1,Title 1 Eligible - No Program,MS,37.651787,-84.793695
51,Boyle County,Boyle County Day Treatment,51004,A6,Not a Title 1 School,HS,37.642601,-84.769413
51,Boyle County,Boyle County High School,51005,A1,Not a Title 1 School,HS,37.649409,-84.798391
51,Boyle County,Junction City Elementary School,51040,A1,Title 1 Eligible - Schoolwide School,ES,37.588744,-84.791133
51,Boyle County,Woodlawn Elementary School,51050,A1,Not a Title 1 School,ES,37.650197,-84.800715
51,Boyle County,Perryville Elementary School,51080,A1,Title 1 Eligible - Schoolwide School,ES,37.648332,-84.957077
55,Bracken County,Bracken County High School,55010,A1,Title 1 Eligible - No Program,HS,38.689909,-84.071694
55,Bracken County,Taylor Elementary School,55050,A1,Title 1 Eligible - Schoolwide School,ES,38.68421,-84.070786
55,Bracken County,Bracken County Middle School,55060,A1,Title 1 Eligible - Schoolwide School,MS,38.684065,-84.072706
61,Breathitt County,Highland-Turner Elementary School,61030,A1,Title 1 Eligible - Schoolwide School,ES,37.484238,-83.484651
61,Breathitt County,Highland-Turner Elementary School,61030,A1,Title I Eligible - Schoolwide School,MS,37.484238,-83.484651
61,Breathitt County,Breathitt Regional School,61031,A6,Not a Title 1 School,HS,37.53804697,-83.41616812
61,Breathitt County,Breathitt County Day Treatment,61033,A6,Not a Title 1 School,HS,37.53889133,-83.41573629
61,Breathitt County,Breathitt County High School,61060,A1,Title I Eligible - Schoolwide School,MS,37.555102,-83.38426
61,Breathitt County,Breathitt County High School,61060,A1,Title 1 Eligible - Schoolwide School,HS,37.555102,-83.38426
61,Breathitt County,LBJ Elementary School,61150,A1,Title I Eligible - Schoolwide School,MS,37.559867,-83.370132
61,Breathitt County,Sebastian Elementary School,61150,A1,Title 1 Eligible - Schoolwide School,ES,37.561409,-83.368583
61,Breathitt County,Marie Roberts-Caney Elementary School,61185,A1,Title 1 Eligible - Schoolwide School,ES,37.473216,-83.325195
61,Breathitt County,Marie Roberts-Caney Elementary School,61185,A1,Title I Eligible - Schoolwide School,MS,37.473216,-83.325195
61,Breathitt County,Rousseau Elementary School,61270,,,MS,,
61,Breathitt County,Rousseau Elementary School,61270,,,ES,,
61,Breathitt County,Sebastian Middle School,61390,,,MS,,
65,Breckinridge County,Breckinridge County High School,65010,A1,Title 1 Eligible - No Program,HS,37.754642,-86.42476
65,Breckinridge County,Hardinsburg Elementary School,65020,A1,Title 1 Eligible - Schoolwide School,ES,37.759312,-86.437927
65,Breckinridge County,Ben Johnson Elementary School,65030,A1,Title 1 Eligible - Schoolwide School,ES,37.596104,-86.383248
65,Breckinridge County,Custer Elementary School,65040,A1,Title 1 Eligible - Schoolwide School,ES,37.740946,-86.251261
65,Breckinridge County,Irvington Elementary School,65050,A1,Title 1 Eligible - Schoolwide School,ES,37.871778,-86.288277
65,Breckinridge County,Breckinridge County Middle School,65100,A1,Title 1 Eligible - Schoolwide School,MS,37.755832,-86.427401
