SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,SCH_TYPE,STATE_SCH_ID,NCESID,CATEGORY,CONTENT_LEVEL,OVERALL_SCORE,KY_RANK,CLASSIFICATION,REWARD_RECOGNITION,BASE_YR_SCORE,AMO_GOAL,AMO_MET,TREND_DISPLAY,PARTICIPATION_NEXT_YR,GRADUATION_RATE_GOAL,KY_RANK_PY,CLASSIFICATION_PY,REWARD_RECOGNITION_PY,COOP,COOP_CODE
20132014,004,BALLARD,015,Ballard County,005,Ballard County Middle School,015005,A1,004015005,210021000035,Accountability,Middle School,73.1,94,Distinguished/Progressing,High Performing School,68.4,68.9,Yes,YES,Yes,N/A,77,N/A,N/A,WKEC,908
20132014,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,A1,004015010,210021000036,Accountability,High School,77.6,95,Distinguished,,74.4,74.9,Yes,YES,Yes,No,87,N/A,N/A,WKEC,908
20132014,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,A1,061016011,210024001969,Accountability,Middle School,73.1,94,Distinguished/Progressing,High Performing School/High Progress School,59.4,60.4,Yes,YES,Yes,N/A,37,N/A,N/A,SESC,907
20132014,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,A1,061016011,210024001969,Accountability,High School,73.4,83,Proficient,,60.4,61.4,Yes,YES,Yes,No,20,N/A,N/A,SESC,907
20132014,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,A1,061016011,210024001969,Accountability,Elementary School,61.7,37,Needs Improvement/Progressing,High Progress School,48.5,49.5,Yes,YES,Yes,N/A,5,N/A,N/A,SESC,907
20132014,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,A1,090017010,210027000044,Accountability,Elementary School,63.5,42,Needs Improvement/Progressing,,57.8,58.8,Yes,YES,Yes,N/A,23,N/A,N/A,CKEC,901
20132014,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,A1,090017020,210027000045,Accountability,High School,69.2,63,Needs Improvement,Focus School,63.7,64.7,Yes,YES,No,Yes,33,N/A,N/A,CKEC,901
20132014,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,A1,090017030,210027000046,Accountability,Middle School,62.5,50,Needs Improvement/Progressing,Focus School,59.6,60.6,Yes,YES,Yes,N/A,37,N/A,N/A,CKEC,901
20132014,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,A1,005021010,210030000047,Accountability,Elementary School,73.8,86,Proficient/Progressing,,64.2,65.2,Yes,YES,Yes,N/A,47,N/A,N/A,GRREC,902
20132014,005,BARREN,021,Barren County,027,Barren County High School,021027,A1,005021027,210030000048,Accountability,High School,71.0,72,Proficient,,67.2,68.2,Yes,YES,Yes,No,53,N/A,N/A,GRREC,902
20132014,005,BARREN,021,Barren County,050,Barren County Middle School,021050,A1,005021050,210030000607,Accountability,Middle School,67.4,71,Proficient/Progressing,Focus School,61.7,62.7,Yes,YES,Yes,N/A,47,N/A,N/A,GRREC,902
20132014,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,A1,005021035,210030000049,Accountability,Elementary School,66.7,57,Needs Improvement/Progressing,,63.3,64.3,Yes,YES,Yes,N/A,42,N/A,N/A,GRREC,902
20132014,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,A1,005021080,210030000050,Accountability,Elementary School,77.1,94,Distinguished/Progressing,High Performing School,72.4,72.9,Yes,YES,Yes,N/A,82,N/A,N/A,GRREC,902
20132014,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,A1,005021014,210030002232,Accountability,Elementary School,77.8,94,Distinguished/Progressing,High Performing School,68.3,69.3,Yes,YES,Yes,N/A,64,N/A,N/A,GRREC,902
20132014,005,BARREN,021,Barren County,130,Park City Elementary School,021130,A1,005021130,210030000051,Accountability,Elementary School,64.3,47,Needs Improvement/Progressing,,63.3,64.3,Yes,YES,Yes,N/A,42,N/A,N/A,GRREC,902
