SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,LEVEL,FEDERAL CLASSIFICATION,READING_MATH INDICATOR RATE,READING_MATH INDICATOR RATING,SCIENCE_SOCIAL STUDIES_COMBINED WRITING INDICATOR RATE,SCIENCE_SOCIAL STUDIES_COMBINED WRITING INDICATOR RATING,GRADUATION RATE INDICATOR,GRADUATION RATING INDICATOR,REASON FOR FEDERAL CLASSIFICATION,FEEDER SCHOOL,OVERALL INDICATOR RATE,OVERALL INDICATOR RATING,ENGLISH LEARNERS PROGRESS INDICATOR RATE,ENGLISH LEARNERS PROGRESS INDICATOR RATING,QUALITY OF SCHOOL CLIMATE AND SAFETY INDICATOR RATE,QUALITY OF SCHOOL CLIMATE AND SAFETY INDICATOR RATING,POSTSECONDARY INDICATOR RATE,POSTSECONDARY INDICATOR RATING
20212022,023,CASEY,111,Casey County,026,Jones Park Elementary,111026,023111026,210105001981,SESC,907,A1,ES,"",55.8,3,61.2,3,"","","","",59.1,3,"","",79.2,4,"",""
20212022,023,CASEY,111,Casey County,045,Casey County High School,111045,023111045,210105000204,SESC,907,A1,HS,"",69.1,4,63.4,5,93.7,3,"","",77.3,4,"","",58.9,2,108.3,5
20212022,023,CASEY,111,Casey County,070,Casey County Middle School,111070,023111070,210105001579,SESC,907,A1,MS,TSI,51.4,2,49.3,3,"","",Disability,"",51.0,3,"","",65.4,3,"",""
20212022,023,CASEY,111,Casey County,190,Liberty Elementary School,111190,023111190,210105000208,SESC,907,A1,ES,"",60.7,3,67.9,4,"","","","",64.5,3,"","",78.6,4,"",""
20212022,005,BARREN,113,Caverna Independent,"",---District Total---,113,"","",GRREC,902,"",ES,"",34.2,2,36.8,2,"","","","",37.0,2,"","",75.2,3,"",""
20212022,005,BARREN,113,Caverna Independent,"",---District Total---,113,"","",GRREC,902,"",HS,"",47.0,2,36.6,2,86.6,2,"","",57.4,2,"","",67.0,4,91.0,4
20212022,005,BARREN,113,Caverna Independent,"",---District Total---,113,"","",GRREC,902,"",MS,"",37.5,2,34.3,2,"","","","",37.1,2,"","",62.8,2,"",""
20212022,005,BARREN,113,Caverna Independent,025,Caverna Elementary School,113025,005113025,210111000213,GRREC,902,A1,ES,"",34.2,2,36.8,2,"","","","",37.0,2,"","",75.2,3,"",""
20212022,005,BARREN,113,Caverna Independent,026,Caverna Middle School,113026,005113026,210111001914,GRREC,902,A1,MS,"",37.5,2,34.3,2,"","","","",37.1,2,"","",62.8,2,"",""
20212022,005,BARREN,113,Caverna Independent,030,Caverna High School,113030,005113030,210111000214,GRREC,902,A1,HS,"",47.0,2,36.6,2,86.6,2,"","",57.4,2,"","",67.0,4,91.0,4
20212022,024,CHRISTIAN,115,Christian County,"",---District Total---,115,"","",WKEC,908,"",ES,"",52.3,2,50.4,3,"","","","",52.1,2,45.8,2,75.0,3,"",""
20212022,024,CHRISTIAN,115,Christian County,"",---District Total---,115,"","",WKEC,908,"",HS,"",51.7,2,45.4,2,92.1,3,"","",55.0,2,37.5,4,55.6,2,65.2,2
20212022,024,CHRISTIAN,115,Christian County,"",---District Total---,115,"","",WKEC,908,"",MS,"",52.4,2,47.6,2,"","","","",49.1,2,23.0,2,61.6,2,"",""
20212022,024,CHRISTIAN,115,Christian County,017,Martin Luther King Jr. Elementary School,115017,024115017,210115002024,WKEC,908,A1,ES,TSI,45.4,2,39.6,2,"","",Disability,"",43.9,2,"","",66.9,1,"",""
20212022,024,CHRISTIAN,115,Christian County,026,Freedom Elementary School,115026,024115026,210115002415,WKEC,908,A1,ES,CSI,26.5,1,25.9,1,"","",Bottom 5%,"",27.8,1,"","",64.3,1,"",""
20212022,024,CHRISTIAN,115,Christian County,030,Christian County High School,115030,024115030,210115000220,WKEC,908,A1,HS,TSI,54.5,3,46.7,2,93.3,3,Disability,"",58.3,2,"","",57.6,2,68.2,2
20212022,024,CHRISTIAN,115,Christian County,035,Christian County Middle School,115035,024115035,210115000221,WKEC,908,A1,MS,TSI,48.7,2,50.8,3,"","",Disability,"",50.2,2,"","",61.5,2,"",""
20212022,024,CHRISTIAN,115,Christian County,040,Crofton Elementary School,115040,024115040,210115000222,WKEC,908,A1,ES,TSI,60.7,3,51.3,3,"","",Disability,"",57.4,3,"","",75.6,3,"",""
20212022,024,CHRISTIAN,115,Christian County,050,Hopkinsville High School,115050,024115050,210115000223,WKEC,908,A1,HS,TSI,51.5,2,46.6,2,94.1,3,African American; Disability,"",55.8,2,"","",52.4,1,63.7,2
20212022,024,CHRISTIAN,115,Christian County,055,Indian Hills Elementary School,115055,024115055,210115000224,WKEC,908,A1,ES,TSI,58.2,3,55.2,3,"","",Disability,"",57.7,3,"","",77.2,4,"",""
20212022,024,CHRISTIAN,115,Christian County,058,Hopkinsville Middle School,115058,024115058,210115000225,WKEC,908,A1,MS,TSI,50.3,2,44.1,2,"","",African American; Disability,"",47.6,2,"","",54.9,1,"",""
20212022,024,CHRISTIAN,115,Christian County,125,Millbrooke Elementary School,115125,024115125,210115000229,WKEC,908,A1,ES,TSI,63.2,3,53.8,3,"","",Disability,"",59.5,3,"","",69.7,2,"",""
20212022,024,CHRISTIAN,115,Christian County,130,Pembroke Elementary School,115130,024115130,210115000231,WKEC,908,A1,ES,TSI,57.2,3,50.9,3,"","",Disability,"",55.1,3,"","",71.0,2,"",""
20212022,024,CHRISTIAN,115,Christian County,150,Sinking Fork Elementary School,115150,024115150,210115000232,WKEC,908,A1,ES,"",66.6,3,66.4,3,"","","","",67.2,3,"","",82.3,5,"",""
20212022,024,CHRISTIAN,115,Christian County,170,South Christian Elementary School,115170,024115170,210115000233,WKEC,908,A1,ES,TSI,58.4,3,64.1,3,"","",Disability,"",61.6,3,"","",78.3,4,"",""
20212022,025,CLARK,121,Clark County,"",---District Total---,121,"","",CKEC,901,"",ES,"",60.0,3,56.1,3,"","","","",58.6,3,49.1,3,78.0,4,"",""
20212022,025,CLARK,121,Clark County,"",---District Total---,121,"","",CKEC,901,"",HS,"",61.2,3,44.3,2,95.4,4,"","",62.9,3,"","",59.8,3,76.3,3
20212022,025,CLARK,121,Clark County,"",---District Total---,121,"","",CKEC,901,"",MS,"",59.5,3,46.5,2,"","","","",53.7,3,"","",67.9,3,"",""
20212022,025,CLARK,121,Clark County,002,Willis H. Justice Elementary School,121002,025121002,210120002405,CKEC,901,A1,ES,"",57.4,3,51.1,3,"","","","",55.6,3,"","",77.8,4,"",""
20212022,025,CLARK,121,Clark County,004,Strode Station Elementary School,121004,025121004,210120002395,CKEC,901,A1,ES,"",69.3,3,56.2,3,"","","","",63.8,3,57.2,3,78.6,4,"",""
20212022,025,CLARK,121,Clark County,006,Shearer Elementary School,121006,025121006,210120002397,CKEC,901,A1,ES,"",55.0,3,50.0,3,"","","","",53.9,3,"","",79.6,4,"",""
20212022,025,CLARK,121,Clark County,008,William G. Conkwright Elementary,121008,025121008,210120002391,CKEC,901,A1,ES,TSI,52.0,2,47.6,2,"","",Disability,"",51.4,2,"","",81.9,4,"",""
20212022,025,CLARK,121,Clark County,023,Robert D. Campbell Jr. High,121023,025121023,210120002402,CKEC,901,A1,MS,TSI,56.1,3,46.9,2,"","",African American; Disability,"",52.1,3,"","",64.9,3,"",""
20212022,025,CLARK,121,Clark County,026,Rev. Henry E. Baker Sr. Interm. School,121026,025121026,210120002389,CKEC,901,A1,MS,"",65.3,4,58.7,3,"","","","",62.6,4,"","",75.3,5,"",""
20212022,025,CLARK,121,Clark County,030,George Rogers Clark High School,121030,025121030,210120000237,CKEC,901,A1,HS,TSI,61.6,3,44.9,2,95.4,4,Disability,"",63.3,3,"","",59.7,3,76.4,3
20212022,026,CLAY,125,Clay County,"",---District Total---,125,"","",SESC,907,"",ES,"",65.8,3,67.7,4,"","","","",67.2,3,"","",79.8,4,"",""
20212022,026,CLAY,125,Clay County,"",---District Total---,125,"","",SESC,907,"",HS,"",53.8,3,40.3,2,88.4,2,"","",59.5,3,"","",66.0,4,81.4,3
20212022,026,CLAY,125,Clay County,"",---District Total---,125,"","",SESC,907,"",MS,"",58.3,3,46.3,2,"","","","",53.1,3,"","",70.7,4,"",""
20212022,026,CLAY,125,Clay County,040,Big Creek Elementary,125040,026125040,210123000247,SESC,907,A1,ES,"",64.2,3,73.3,4,"","","","",68.7,3,"","",79.7,4,"",""
20212022,026,CLAY,125,Clay County,070,Burning Springs Elementary,125070,026125070,210123000248,SESC,907,A1,ES,"",67.9,3,84.2,5,"","","","",75.2,4,"","",78.5,4,"",""
20212022,026,CLAY,125,Clay County,095,Clay County Middle School,125095,026125095,210123001699,SESC,907,A1,MS,TSI,56.3,3,46.4,2,"","",Disability,"",52.1,3,"","",67.8,3,"",""
20212022,026,CLAY,125,Clay County,100,Clay County High School,125100,026125100,210123000249,SESC,907,A1,HS,"",54.4,3,40.5,2,89.6,2,"","",60.6,3,"","",66.2,4,84.9,3
20212022,026,CLAY,125,Clay County,200,Goose Rock Elementary,125200,026125200,210123000251,SESC,907,A1,ES,"",60.3,3,51.9,3,"","","","",57.3,3,"","",73.2,2,"",""
20212022,026,CLAY,125,Clay County,220,Hacker Elementary School,125220,026125220,210123000252,SESC,907,A1,ES,"",61.9,3,70.7,4,"","","","",66.4,3,"","",80.8,4,"",""
20212022,026,CLAY,125,Clay County,500,Manchester Elementary School,125500,026125500,210123000255,SESC,907,A1,ES,"",70.4,4,66.7,3,"","","","",69.2,4,"","",79.9,4,"",""
20212022,026,CLAY,125,Clay County,570,Oneida Elementary School,125570,026125570,210123000256,SESC,907,A1,ES,"",72.2,4,"","","","","","",73.2,4,"","",85.9,5,"",""
20212022,026,CLAY,125,Clay County,580,Paces Creek Elementary,125580,026125580,210123001413,SESC,907,A1,ES,"",62.3,3,58.7,3,"","","","",61.4,3,"","",77.6,4,"",""
20212022,027,CLINTON,131,Clinton County,"",---District Total---,131,"","",GRREC,902,"",ES,"",39.5,2,39.9,2,"","","","",41.2,2,"","",74.7,3,"",""
20212022,027,CLINTON,131,Clinton County,"",---District Total---,131,"","",GRREC,902,"",HS,"",40.3,2,59.5,4,97.6,4,"","",60.6,3,"","",58.4,2,96.7,5
20212022,027,CLINTON,131,Clinton County,"",---District Total---,131,"","",GRREC,902,"",MS,"",44.7,2,36.2,2,"","","","",41.5,2,"","",63.3,2,"",""
20212022,027,CLINTON,131,Clinton County,015,Albany Elementary School,131015,027131015,210126000257,GRREC,902,A1,ES,TSI,41.6,2,55.8,3,"","",Disability,"",49.0,2,"","",76.3,3,"",""
20212022,027,CLINTON,131,Clinton County,020,Clinton County Early Childhood Center,131020,027131020,210126002228,GRREC,902,A1,ES,TSI,41.6,2,55.8,3,"","",Disability,Albany Elementary School,49.0,2,"","",76.3,3,"",""
20212022,027,CLINTON,131,Clinton County,045,Clinton County Middle School,131045,027131045,210126000444,GRREC,902,A1,MS,TSI,42.5,2,34.3,2,"","",Disability,"",39.6,2,"","",65.1,3,"",""
20212022,027,CLINTON,131,Clinton County,050,Clinton County High School,131050,027131050,210126000259,GRREC,902,A1,HS,"",40.3,2,59.5,4,97.6,4,"","",60.6,3,"","",58.4,2,96.7,5
20212022,014,BRECKINRIDGE,132,Cloverport Independent,"",---District Total---,132,"","",GRREC,902,"",ES,"",70.0,4,71.6,4,"","","","",71.0,4,"","",78.3,4,"",""
20212022,014,BRECKINRIDGE,132,Cloverport Independent,"",---District Total---,132,"","",GRREC,902,"",HS,"",49.6,2,38.3,2,91.0,2,"","",53.2,2,"","",67.6,4,62.0,2
20212022,014,BRECKINRIDGE,132,Cloverport Independent,"",---District Total---,132,"","",GRREC,902,"",MS,"",68.2,4,59.8,4,"","","","",64.3,4,"","",70.7,4,"",""
20212022,014,BRECKINRIDGE,132,Cloverport Independent,030,Cloverport Independent School,132030,014132030,210129002502,GRREC,902,A1,ES,"",70.0,4,71.6,4,"","","","",71.0,4,"","",78.3,4,"",""
20212022,014,BRECKINRIDGE,132,Cloverport Independent,030,Cloverport Independent School,132030,014132030,210129002502,GRREC,902,A1,HS,TSI,49.6,2,38.3,2,91.0,2,Economically Disadvantaged,"",53.2,2,"","",67.6,4,62.0,2
20212022,014,BRECKINRIDGE,132,Cloverport Independent,030,Cloverport Independent School,132030,014132030,210129002502,GRREC,902,A1,MS,"",68.2,4,59.8,4,"","","","",64.3,4,"","",70.7,4,"",""
20212022,118,WHITLEY,133,Corbin Independent,"",---District Total---,133,"","",SESC,907,"",ES,"",77.7,4,77.1,5,"","","","",77.4,4,"","",77.7,4,"",""
20212022,118,WHITLEY,133,Corbin Independent,"",---District Total---,133,"","",SESC,907,"",HS,"",68.1,4,52.0,3,97.7,4,"","",69.7,4,"","",59.0,3,84.5,3
20212022,118,WHITLEY,133,Corbin Independent,"",---District Total---,133,"","",SESC,907,"",MS,"",76.1,5,72.5,5,"","","","",74.1,5,"","",69.1,4,"",""
20212022,118,WHITLEY,133,Corbin Independent,019,CORBIN ELEMENTARY SCHOOL,133019,118133019,210132002489,SESC,907,A1,ES,"",82.4,5,78.3,5,"","","","",80.4,5,"","",74.9,3,"",""
20212022,118,WHITLEY,133,Corbin Independent,040,Corbin High School,133040,118133040,210132000266,SESC,907,A1,HS,"",70.0,4,53.6,3,98.4,5,"","",72.8,4,"","",57.8,2,93.8,4
20212022,118,WHITLEY,133,Corbin Independent,050,Corbin Middle School,133050,118133050,210132001414,SESC,907,A1,MS,"",78.0,5,74.9,5,"","","","",76.1,5,"","",68.9,4,"",""
20212022,118,WHITLEY,133,Corbin Independent,070,Corbin Primary,133070,118133070,210132002218,SESC,907,A1,ES,"",72.9,4,"","","","","","",73.7,4,"","",84.1,5,"",""
20212022,059,KENTON,134,Covington Independent,"",---District Total---,134,"","",NKCES,905,"",ES,"",53.6,2,56.6,3,"","","","",55.6,3,54.2,3,71.9,2,"",""
20212022,059,KENTON,134,Covington Independent,"",---District Total---,134,"","",NKCES,905,"",HS,"",29.4,1,21.3,1,81.1,1,"","",34.6,1,13.3,2,57.7,2,46.3,1
20212022,059,KENTON,134,Covington Independent,"",---District Total---,134,"","",NKCES,905,"",MS,"",37.3,2,32.2,1,"","","","",35.6,1,28.4,3,63.0,2,"",""
20212022,059,KENTON,134,Covington Independent,017,Holmes Middle School,134017,059134017,210135001944,NKCES,905,A1,MS,TSI,37.5,2,32.4,1,"","",African American; Hispanic; English Learners plus Monitored; Disability,"",35.8,1,28.4,3,63.0,2,"",""
20212022,059,KENTON,134,Covington Independent,019,Holmes High School,134019,059134019,210135002049,NKCES,905,A1,HS,CSI,29.6,1,21.8,1,83.4,1,Bottom 5%,"",35.3,1,13.3,2,57.6,2,48.4,1
20212022,059,KENTON,134,Covington Independent,110,John G Carlisle Elementary,134110,059134110,210135000270,NKCES,905,A1,ES,"",60.1,3,56.4,3,"","","","",58.8,3,49.8,3,78.1,4,"",""
20212022,059,KENTON,134,Covington Independent,115,Latonia Elementary School,134115,059134115,210135000271,NKCES,905,A1,ES,"",60.7,3,56.1,3,"","","","",59.3,3,"","",73.4,2,"",""
20212022,059,KENTON,134,Covington Independent,150,Ninth District Elementary,134150,059134150,210135000274,NKCES,905,A1,ES,CSI,24.5,1,31.0,1,"","",Bottom 5%,"",28.8,1,"","",62.5,1,"",""
20212022,059,KENTON,134,Covington Independent,160,Glenn O Swing Elementary,134160,059134160,210135000275,NKCES,905,A1,ES,"",75.4,4,73.4,4,"","","","",73.3,4,50.7,3,73.0,2,"",""
20212022,059,KENTON,134,Covington Independent,170,Sixth District Elementary School,134170,059134170,210135000276,NKCES,905,A1,ES,"",44.8,2,60.4,3,"","","","",52.7,2,56.2,3,72.9,2,"",""
20212022,028,CRITTENDEN,135,Crittenden County,"",---District Total---,135,"","",WKEC,908,"",ES,"",73.3,4,66.5,3,"","","","",70.5,4,"","",75.7,3,"",""
20212022,028,CRITTENDEN,135,Crittenden County,"",---District Total---,135,"","",WKEC,908,"",HS,"",53.9,3,51.0,3,89.8,2,"","",58.2,2,"","",59.6,3,65.1,2
20212022,028,CRITTENDEN,135,Crittenden County,"",---District Total---,135,"","",WKEC,908,"",MS,"",57.7,3,50.0,3,"","","","",54.3,3,"","",64.5,3,"",""
20212022,028,CRITTENDEN,135,Crittenden County,020,Crittenden County High School,135020,028135020,210138000279,WKEC,908,A1,HS,"",53.9,3,51.0,3,89.6,2,"","",58.1,2,"","",59.6,3,65.1,2
20212022,028,CRITTENDEN,135,Crittenden County,025,Crittenden County Middle School,135025,028135025,210138000280,WKEC,908,A1,MS,TSI,57.7,3,50.0,3,"","",Disability,"",54.3,3,"","",64.5,3,"",""
20212022,028,CRITTENDEN,135,Crittenden County,100,Crittenden County Elementary School,135100,028135100,210138001441,WKEC,908,A1,ES,"",73.3,4,66.5,3,"","","","",70.5,4,"","",75.7,3,"",""
20212022,029,CUMBERLAND,141,Cumberland County,"",---District Total---,141,"","",GRREC,902,"",ES,"",64.0,3,66.9,3,"","","","",65.8,3,"","",78.1,4,"",""
20212022,029,CUMBERLAND,141,Cumberland County,"",---District Total---,141,"","",GRREC,902,"",HS,"",49.6,2,62.0,4,98.6,5,"","",63.4,3,"","",72.4,5,83.5,3
20212022,029,CUMBERLAND,141,Cumberland County,"",---District Total---,141,"","",GRREC,902,"",MS,"",58.3,3,55.9,3,"","","","",57.8,3,"","",73.3,4,"",""
20212022,029,CUMBERLAND,141,Cumberland County,070,Cumberland County Elementary School,141070,029141070,210141000286,GRREC,902,A1,ES,"",64.0,3,66.9,3,"","","","",65.8,3,"","",78.1,4,"",""
20212022,029,CUMBERLAND,141,Cumberland County,075,Cumberland County Middle School,141075,029141075,210141001561,GRREC,902,A1,MS,"",58.3,3,55.9,3,"","","","",57.8,3,"","",73.3,4,"",""
20212022,029,CUMBERLAND,141,Cumberland County,080,Cumberland County High School,141080,029141080,210141000287,GRREC,902,A1,HS,"",49.6,2,62.0,4,98.6,5,"","",63.4,3,"","",72.4,5,83.5,3
20212022,011,BOYLE,143,Danville Independent,"",---District Total---,143,"","",CKEC,901,"",ES,"",48.6,2,45.8,2,"","","","",47.9,2,36.7,2,72.9,2,"",""
20212022,011,BOYLE,143,Danville Independent,"",---District Total---,143,"","",CKEC,901,"",HS,"",53.4,3,41.6,2,89.6,2,"","",55.5,2,"","",58.4,2,63.2,2
20212022,011,BOYLE,143,Danville Independent,"",---District Total---,143,"","",CKEC,901,"",MS,"",56.2,3,42.5,2,"","","","",50.1,2,"","",65.3,3,"",""
20212022,011,BOYLE,143,Danville Independent,003,Mary G. Hogsett Primary School,143003,011143003,210144002477,CKEC,901,A1,ES,TSI,48.7,2,46.0,2,"","",African American; Disability,Edna L  Toliver Intermediate School,47.7,2,30.3,1,72.9,2,"",""
20212022,011,BOYLE,143,Danville Independent,005,John W. Bate Middle School,143005,011143005,210144000290,CKEC,901,A1,MS,TSI,57.4,3,43.8,2,"","",Disability,"",51.3,3,"","",65.2,3,"",""
20212022,011,BOYLE,143,Danville Independent,010,Edna L. Toliver Intermediate School,143010,011143010,210144002476,CKEC,901,A1,ES,TSI,48.7,2,46.0,2,"","",African American; Disability,"",47.7,2,30.3,1,72.9,2,"",""
20212022,011,BOYLE,143,Danville Independent,030,Danville High School,143030,011143030,210144000291,CKEC,901,A1,HS,"",55.7,3,44.2,2,93.7,3,"","",59.0,3,"","",58.0,2,71.1,2
20212022,030,DAVIESS,145,Daviess County,"",---District Total---,145,"","",GRREC,902,"",ES,"",63.5,3,57.8,3,"","","","",60.8,3,44.6,2,75.4,3,"",""
20212022,030,DAVIESS,145,Daviess County,"",---District Total---,145,"","",GRREC,902,"",HS,"",60.6,3,48.6,3,92.0,3,"","",59.2,3,8.4,1,59.4,3,69.7,2
20212022,030,DAVIESS,145,Daviess County,"",---District Total---,145,"","",GRREC,902,"",MS,"",61.3,3,58.4,3,"","","","",58.5,3,29.8,3,63.6,2,"",""
20212022,030,DAVIESS,145,Daviess County,005,Apollo High School,145005,030145005,210147000295,GRREC,902,A1,HS,TSI,58.2,3,42.5,2,95.1,4,Disability,"",58.6,2,7.3,1,60.1,3,77.0,3
20212022,030,DAVIESS,145,Daviess County,006,Meadow Lands Elementary School,145006,030145006,210147001949,GRREC,902,A1,ES,"",53.0,2,51.8,3,"","","","",53.4,3,"","",75.3,3,"",""
20212022,030,DAVIESS,145,Daviess County,007,East View Elementary School,145007,030145007,210147001625,GRREC,902,A1,ES,"",57.6,3,54.0,3,"","","","",56.8,3,"","",75.1,3,"",""
20212022,030,DAVIESS,145,Daviess County,008,F T Burns Middle School,145008,030145008,210147000296,GRREC,902,A1,MS,TSI,57.2,3,53.1,3,"","",Disability,"",54.4,3,34.3,4,62.5,2,"",""
20212022,030,DAVIESS,145,Daviess County,010,Daviess County High School,145010,030145010,210147000297,GRREC,902,A1,HS,TSI,65.1,4,58.0,4,97.4,4,Disability,"",68.2,4,"","",58.7,2,78.6,3
20212022,030,DAVIESS,145,Daviess County,011,Southern Oaks Elementary School,145011,030145011,210147002230,GRREC,902,A1,ES,TSI,60.1,3,56.7,3,"","",English Learners plus Monitored; Disability,"",57.7,3,28.2,1,74.3,3,"",""
20212022,030,DAVIESS,145,Daviess County,020,Daviess County Middle School,145020,030145020,210147000298,GRREC,902,A1,MS,"",71.2,4,67.3,4,"","","","",69.0,4,"","",63.1,2,"",""
20212022,030,DAVIESS,145,Daviess County,025,Highland Elementary School,145025,030145025,210147000299,GRREC,902,A1,ES,"",71.6,4,63.7,3,"","","","",68.5,3,"","",76.6,3,"",""
20212022,030,DAVIESS,145,Daviess County,040,Deer Park Elementary School,145040,030145040,210147000301,GRREC,902,A1,ES,"",67.4,3,67.6,4,"","","","",67.4,3,59.6,4,74.5,3,"",""
20212022,030,DAVIESS,145,Daviess County,070,Sorgho Elementary School,145070,030145070,210147000303,GRREC,902,A1,ES,"",65.1,3,54.7,3,"","","","",61.2,3,"","",75.5,3,"",""
20212022,030,DAVIESS,145,Daviess County,085,Audubon Elementary School,145085,030145085,210147000054,GRREC,902,A1,ES,"",61.1,3,54.8,3,"","","","",59.1,3,"","",75.6,3,"",""
20212022,030,DAVIESS,145,Daviess County,095,Tamarack Elementary School,145095,030145095,210147000306,GRREC,902,A1,ES,"",71.5,4,65.3,3,"","","","",68.0,3,47.7,2,75.1,3,"",""
20212022,030,DAVIESS,145,Daviess County,130,West Louisville Elementary School,145130,030145130,210147000309,GRREC,902,A1,ES,"",65.9,3,53.3,3,"","","","",61.0,3,"","",75.1,3,"",""
20212022,030,DAVIESS,145,Daviess County,140,Whitesville Elementary School,145140,030145140,210147000310,GRREC,902,A1,ES,"",64.9,3,59.0,3,"","","","",63.0,3,"","",79.1,4,"",""
20212022,030,DAVIESS,145,Daviess County,145,F T Burns Elementary School,145145,030145145,210147000311,GRREC,902,A1,ES,"",58.7,3,48.9,2,"","","","",54.9,3,49.1,3,72.9,2,"",""
20212022,030,DAVIESS,145,Daviess County,150,Country Heights Elementary School,145150,030145150,210147001581,GRREC,902,A1,ES,"",67.2,3,60.9,3,"","","","",65.0,3,"","",77.1,4,"",""
20212022,030,DAVIESS,145,Daviess County,155,College View Middle School,145155,030145155,210147000961,GRREC,902,A1,MS,TSI,55.8,3,54.8,3,"","",English Learners plus Monitored; Disability,"",55.7,3,"","",64.9,3,"",""
20212022,054,HOPKINS,146,Dawson Springs Independent,"",---District Total---,146,"","",WKEC,908,"",ES,"",56.5,3,48.3,2,"","","","",53.9,3,"","",75.7,3,"",""
20212022,054,HOPKINS,146,Dawson Springs Independent,"",---District Total---,146,"","",WKEC,908,"",HS,"",69.7,4,73.2,5,92.4,3,"","",74.1,4,"","",71.2,5,80.2,3
20212022,054,HOPKINS,146,Dawson Springs Independent,"",---District Total---,146,"","",WKEC,908,"",MS,"",46.4,2,49.1,3,"","","","",48.6,2,"","",68.1,4,"",""
20212022,054,HOPKINS,146,Dawson Springs Independent,017,Dawson Springs Elementary,146017,054146017,210150002200,WKEC,908,A1,ES,"",54.0,3,48.3,2,"","","","",52.4,2,"","",73.8,2,"",""
20212022,054,HOPKINS,146,Dawson Springs Independent,018,Dawson Springs Jr/Sr High School,146018,054146018,210150002203,WKEC,908,A1,HS,"",69.7,4,73.2,5,92.4,3,"","",74.1,4,"","",71.2,5,80.2,3
20212022,054,HOPKINS,146,Dawson Springs Independent,018,Dawson Springs Jr/Sr High School,146018,054146018,210150002203,WKEC,908,A1,MS,"",45.0,2,49.1,3,"","","","",47.9,2,"","",67.2,3,"",""
20212022,019,CAMPBELL,147,Dayton Independent,"",---District Total---,147,"","",NKCES,905,"",ES,"",49.8,2,46.0,2,"","","","",49.2,2,"","",73.4,2,"",""
20212022,019,CAMPBELL,147,Dayton Independent,"",---District Total---,147,"","",NKCES,905,"",HS,"",56.3,3,42.6,2,97.3,4,"","",60.9,3,"","",59.4,3,78.7,3
20212022,019,CAMPBELL,147,Dayton Independent,"",---District Total---,147,"","",NKCES,905,"",MS,"",42.3,2,39.3,2,"","","","",41.8,2,"","",64.6,3,"",""
20212022,019,CAMPBELL,147,Dayton Independent,010,Dayton High School,147010,019147010,210153000316,NKCES,905,A1,HS,"",56.3,3,42.6,2,97.3,4,"","",60.9,3,"","",59.4,3,78.7,3
20212022,019,CAMPBELL,147,Dayton Independent,010,Dayton High School,147010,019147010,210153000316,NKCES,905,A1,MS,"",41.1,2,39.4,2,"","","","",41.3,2,"","",63.8,2,"",""
20212022,019,CAMPBELL,147,Dayton Independent,030,Lincoln Elementary School,147030,019147030,210153000317,NKCES,905,A1,ES,"",49.0,2,46.3,2,"","","","",48.8,2,"","",71.8,2,"",""
20212022,063,LAUREL,149,East Bernstadt Independent,"",---District Total---,149,"","",SESC,907,"",ES,"",69.9,3,74.5,4,"","","","",72.5,4,"","",86.0,5,"",""
20212022,063,LAUREL,149,East Bernstadt Independent,"",---District Total---,149,"","",SESC,907,"",MS,"",70.6,4,68.8,4,"","","","",70.0,4,"","",77.1,5,"",""
20212022,063,LAUREL,149,East Bernstadt Independent,010,East Bernstadt Elementary School,149010,063149010,210159000318,SESC,907,A1,ES,"",69.9,3,74.5,4,"","","","",72.5,4,"","",86.0,5,"",""
20212022,063,LAUREL,149,East Bernstadt Independent,010,East Bernstadt Elementary School,149010,063149010,210159000318,SESC,907,A1,MS,"",70.6,4,68.8,4,"","","","",70.0,4,"","",77.1,5,"",""
20212022,031,EDMONSON,151,Edmonson County,"",---District Total---,151,"","",GRREC,902,"",ES,"",70.3,4,54.3,3,"","","","",64.0,3,"","",81.2,4,"",""
20212022,031,EDMONSON,151,Edmonson County,"",---District Total---,151,"","",GRREC,902,"",HS,"",53.2,3,45.4,2,91.0,2,"","",58.5,2,"","",60.7,3,73.2,2
20212022,031,EDMONSON,151,Edmonson County,"",---District Total---,151,"","",GRREC,902,"",MS,"",65.9,4,62.8,4,"","","","",64.6,4,"","",69.5,4,"",""
20212022,031,EDMONSON,151,Edmonson County,020,South Edmonson Elementary School,151020,031151020,210162000319,GRREC,902,A1,ES,"",65.8,3,61.9,3,"","","","",64.7,3,"","",78.9,4,"",""
20212022,031,EDMONSON,151,Edmonson County,022,Edmonson County 5/6 Center,151022,031151022,210162001985,GRREC,902,A1,MS,"",59.2,3,46.6,2,"","","","",54.0,3,"","",76.4,5,"",""
20212022,031,EDMONSON,151,Edmonson County,050,Edmonson County Middle School,151050,031151050,210162000321,GRREC,902,A1,MS,"",67.6,4,62.8,4,"","","","",65.3,4,"","",67.3,3,"",""
20212022,031,EDMONSON,151,Edmonson County,060,Edmonson County High School,151060,031151060,210162001442,GRREC,902,A1,HS,"",53.2,3,45.4,2,91.0,2,"","",58.5,2,"","",60.7,3,73.2,2
