SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,LEVEL,FEDERAL CLASSIFICATION,READING_MATH INDICATOR RATE,READING_MATH INDICATOR RATING,SCIENCE_SOCIAL STUDIES_COMBINED WRITING INDICATOR RATE,SCIENCE_SOCIAL STUDIES_COMBINED WRITING INDICATOR RATING,GRADUATION RATE INDICATOR,GRADUATION RATING INDICATOR,REASON FOR FEDERAL CLASSIFICATION,FEEDER SCHOOL,OVERALL INDICATOR RATE,OVERALL INDICATOR RATING,ENGLISH LEARNERS PROGRESS INDICATOR RATE,ENGLISH LEARNERS PROGRESS INDICATOR RATING,QUALITY OF SCHOOL CLIMATE AND SAFETY INDICATOR RATE,QUALITY OF SCHOOL CLIMATE AND SAFETY INDICATOR RATING,POSTSECONDARY INDICATOR RATE,POSTSECONDARY INDICATOR RATING
20212022,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,CKEC,901,A1,ES,"",59.9,3,52.1,3,"","","","",57.4,3,"","",77.7,4,"",""
20212022,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,CKEC,901,A1,ES,"",59.0,3,56.4,3,"","","","",58.6,3,"","",74.6,3,"",""
20212022,010,BOYD,012,Ashland Independent,"",---District Total---,012,"","",KEDC,903,"",ES,"",60.2,3,59.2,3,"","","","",60.5,3,"","",77.8,4,"",""
20212022,010,BOYD,012,Ashland Independent,"",---District Total---,012,"","",KEDC,903,"",HS,"",64.5,3,52.7,3,93.4,3,"","",66.4,3,"","",62.9,3,77.0,3
20212022,010,BOYD,012,Ashland Independent,"",---District Total---,012,"","",KEDC,903,"",MS,"",53.8,2,50.7,3,"","","","",52.9,3,"","",67.6,3,"",""
20212022,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,A1,HS,TSI,64.5,3,52.7,3,93.4,3,Disability,"",66.4,3,"","",62.9,3,77.0,3
20212022,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,KEDC,903,A1,MS,TSI,53.8,2,50.7,3,"","",Disability,"",52.9,3,"","",67.6,3,"",""
20212022,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,KEDC,903,A1,ES,TSI,40.9,2,49.9,2,"","",Disability,"",46.1,2,"","",75.4,3,"",""
20212022,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,KEDC,903,A1,ES,"",64.0,3,66.0,3,"","","","",65.4,3,"","",76.4,3,"",""
20212022,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,KEDC,903,A1,ES,"",59.9,3,53.8,3,"","","","",58.0,3,"","",76.4,3,"",""
