End Year,End Year Code,District Code,District,School Code,School,Level,Level Code,Reported Spending per student,Student Count,Educator Count,Years of experience,Teacher salary based on experience,District teacher salary average,Money Difference per school,Money Difference per student,Estimated Spending per student
2012,0,515,Rowan County,515040,Clearfield Elementary School,ES,0,7899,287,18,14,48356,47597,13662,48,7947
2012,0,515,Rowan County,515043,McBrayer Elementary School,ES,0,6517,555,32,13,48065,47597,14976,27,6544
2012,0,515,Rowan County,515130,Morehead Youth Development Center,HS,2,,17,,,,,,,
2012,0,515,Rowan County,515180,Rowan County Senior High School,HS,2,6787,877,49,13,48065,47597,22932,26,6813
2012,0,515,Rowan County,515200,Tilden Hogge Elementary School,ES,0,7794,197,13,11,47224,47597,-4849,-25,7769
2012,0,515,Rowan County,515210,Rowan County Middle School,MS,1,5886,731,38,16,49481,47597,71592,98,5984
2012,0,515,Rowan County,515250,Rodburn Elementary School,ES,0,6878,457,26,16,49481,47597,48984,107,6985
2012,0,521,Russell County,521140,Jamestown Elementary School,ES,0,5471,478,27,15,48303,48132,4617,10,5481
2012,0,521,Russell County,521230,Russell Springs Elementary School,ES,0,5791,664,44,15,48303,48132,7524,11,5802
2012,0,521,Russell County,521240,Russell County High School,HS,2,5155,840,48,12,46772,48132,-65280,-78,5077
2012,0,521,Russell County,521250,Salem Elementary School,ES,0,6380,328,21,17,48303,48132,3591,11,6391
2012,0,521,Russell County,521260,Russell County Middle School,MS,1,6457,407,28,14,46772,48132,-38080,-94,6363
2012,0,521,Russell County,521290,Union Chapel Elementary School,ES,0,8725,146,13,13,46772,48132,-17680,-121,8604
2012,0,522,Russell Independent,522011,Russell Primary School,ES,0,5915,737,39,11,51483,50901,22698,31,5946
2012,0,522,Russell Independent,522030,Russell-McDowell Intermediate School,ES,0,5698,311,16,12,51801,50901,14400,46,5744
2012,0,522,Russell Independent,522050,Russell High School,HS,2,6965,625,40,16,54630,50901,149160,239,7204
2012,0,522,Russell Independent,522060,Russell Middle School,MS,1,5859,493,31,13,52123,50901,37882,77,5936
2012,0,523,Russellville Independent,523025,R E Stevenson Elementary School,ES,0,8101,612,41,9,45918,44799,45879,75,8176
2012,0,523,Russellville Independent,523030,Russellville Junior/Senior High School,MS,1,9199,423,29,12,47899,44799,89900,213,9412
2012,0,523,Russellville Independent,523030,Russellville High School,HS,2,9199,423,29,12,47899,44799,89900,213,9412
2012,0,524,Science Hill Independent,524010,Science Hill Elementary School,MS,1,7366,507,29,12,50401,48965,41644,82,7448
2012,0,524,Science Hill Independent,524010,Science Hill Elementary School,ES,0,7366,507,29,12,50401,48965,41644,82,7448
2012,0,525,Scott County,525010,Eastern Elementary School,ES,0,6351,631,32,10,48828,49696,-27776,-44,6307
2012,0,525,Scott County,525012,Anne Mason Elementary School,ES,0,7264,692,40,10,48828,49696,-34720,-50,7214
2012,0,525,Scott County,525013,Royal Spring Middle School,MS,1,6828,690,38,10,48828,49696,-32984,-48,6780
2012,0,525,Scott County,525015,Garth Elementary School,ES,0,8041,484,28,12,48975,49696,-20188,-42,7999
2012,0,525,Scott County,525018,Georgetown Middle School,MS,1,7898,511,32,15,52321,49696,84000,164,8062
2012,0,525,Scott County,525035,Northern Elementary School,ES,0,8349,383,26,11,48975,49696,-18746,-49,8300
2012,0,525,Scott County,525040,Scott County High School,HS,2,6808,1594,75,11,48975,49696,-54075,-34,6774
2012,0,525,Scott County,525045,Scott County Ninth Grade School,HS,2,6808,616,33,12,48975,49696,-23793,-39,6769
2012,0,525,Scott County,525050,Stamping Ground Elementary School,ES,0,8550,358,22,11,48975,49696,-15862,-44,8506
2012,0,525,Scott County,525060,Scott County Middle School,MS,1,6375,729,41,14,48975,49696,-29561,-41,6334
2012,0,525,Scott County,525070,Southern Elementary School,ES,0,6713,739,36,12,48975,49696,-25956,-35,6678
2012,0,525,Scott County,525080,Western Elementary School,ES,0,7081,701,37,14,48975,49696,-26677,-38,7043
2012,0,531,Shelby County,531014,Painted Stone Elementary,ES,0,7771,561,36,9,45593,48737,-113184,-202,7569
2012,0,531,Shelby County,531015,Southside Elementary,ES,0,8927,316,20,8,45299,48737,-68760,-218,8709
2012,0,531,Shelby County,531040,Martha Layne Collins High School,MS,1,6751,1156,66,11,50786,48737,135234,117,6868
2012,0,531,Shelby County,531040,Martha Layne Collins High School,HS,2,6751,1156,66,11,50786,48737,135234,117,6868
2012,0,531,Shelby County,531065,Heritage Elementary,ES,0,7859,489,27,13,51170,48737,65691,134,7993
2012,0,531,Shelby County,531080,Shelby County West Middle School,MS,1,6724,498,29,11,50786,48737,59421,119,6843
2012,0,531,Shelby County,531090,Shelby County High School,MS,1,7253,1200,69,11,50786,48737,141381,118,7371
2012,0,531,Shelby County,531090,Shelby County High School,HS,2,7253,1200,69,11,50786,48737,141381,118,7371
2012,0,531,Shelby County,531100,Simpsonville Elementary,ES,0,6362,657,34,11,50786,48737,69666,106,6468
2012,0,531,Shelby County,531110,Shelby County East Middle School,MS,1,7048,511,31,13,51170,48737,75423,148,7196
2012,0,531,Shelby County,531120,Clear Creek Elementary,ES,0,7197,699,37,11,50786,48737,75813,108,7305
2012,0,531,Shelby County,531130,Wright Elementary,ES,0,8439,475,32,12,51073,48737,74752,157,8596
2012,0,531,Shelby County,531170,Ascension Academy,HS,2,,76,,,,,,,
2012,0,533,Silver Grove Independent,533012,Silver Grove School,HS,2,15423,201,21,9,,,,,
2012,0,533,Silver Grove Independent,533012,Silver Grove School,MS,1,15423,201,21,9,,,,,
2012,0,533,Silver Grove Independent,533012,Silver Grove School,ES,0,15423,201,21,9,,,,,
2012,0,535,Simpson County,535020,Franklin Elementary School,ES,0,9940,226,18,12,49670,45916,67572,299,10239
2012,0,535,Simpson County,535030,Franklin-Simpson Middle School,MS,1,6159,713,41,8,45113,45916,-32923,-46,6113
