End Year,End Year Code,District,District Code,School,School Code,Level,Level Code,Proficiency Score,Classification,Classification Code,Rating,Rating Code
2012,0,Bell County,31,Right Fork School Center,31345,MS,1,62,Proficient,1.0,,
2012,0,Bell County,31,Right Fork School Center,31345,ES,0,47,Needs Improvement,0.0,,
2012,0,Bell County,31,Yellow Creek School Center,31390,ES,0,57,Needs Improvement,0.0,,
2012,0,Bell County,31,Yellow Creek School Center,31390,MS,1,59,Proficient,1.0,,
2012,0,Bellevue Independent,32,Bellevue High School,32010,HS,2,55,Needs Improvement,0.0,,
2012,0,Bellevue Independent,32,Bellevue High School,32010,MS,1,38,Needs Improvement,0.0,,
2012,0,Bellevue Independent,32,Grandview Elementary School,32020,ES,0,59,Needs Improvement,0.0,,
2012,0,Berea Independent,34,Berea Community Elementary School,34010,ES,0,53,Needs Improvement,0.0,,
2012,0,Berea Independent,34,Berea Community High School,34020,HS,2,57,Needs Improvement,0.0,,
2012,0,Berea Independent,34,Berea Community Middle School,34015,MS,1,50,Needs Improvement,0.0,,
2012,0,Boone County,35,A M Yealey Elementary School,35005,ES,0,62,Needs Improvement,0.0,,
2012,0,Boone County,35,Boone County High School,35030,HS,2,58,Needs Improvement,0.0,,
2012,0,Boone County,35,Burlington Elementary School,35040,ES,0,63,Proficient,1.0,,
2012,0,Boone County,35,Camp Ernst Middle School,35010,MS,1,64,Proficient,1.0,,
2012,0,Boone County,35,Charles H. Kelly Elementary School,35041,ES,0,62,Needs Improvement,0.0,,
2012,0,Boone County,35,Chester Goodridge Elementary School,35055,ES,0,62,Needs Improvement,0.0,,
2012,0,Boone County,35,Conner High School,35045,HS,2,64,Proficient,1.0,,
2012,0,Boone County,35,Conner Middle School,35043,MS,1,66,Distinguished,2.0,,
2012,0,Boone County,35,Erpenbeck Elementary School,35006,ES,0,70,Proficient,1.0,,
2012,0,Boone County,35,Florence Elementary School,35050,ES,0,55,Needs Improvement,0.0,,
2012,0,Boone County,35,Gray Middle School,35075,MS,1,66,Distinguished,2.0,,
2012,0,Boone County,35,Hillard Collins Elementary School,35065,ES,0,54,Needs Improvement,0.0,,
2012,0,Boone County,35,Larry A. Ryle High School,35071,HS,2,68,Distinguished,2.0,,
2012,0,Boone County,35,Longbranch Elementary School,35017,ES,0,63,Proficient,1.0,,
2012,0,Boone County,35,New Haven Elementary School,35080,ES,0,62,Needs Improvement,0.0,,
2012,0,Boone County,35,North Pointe Elementary School,35008,ES,0,75,Distinguished,2.0,,
2012,0,Boone County,35,Ockerman Elementary School,35081,ES,0,61,Needs Improvement,0.0,,
2012,0,Boone County,35,Ockerman Middle School,35085,MS,1,62,Proficient,1.0,,
2012,0,Boone County,35,Randall K. Cooper High School,35015,HS,2,65,Distinguished,2.0,,
2012,0,Boone County,35,Rector A. Jones Middle School,35020,MS,1,47,Needs Improvement,0.0,,
2012,0,Boone County,35,Shirley Mann Elementary School,35011,ES,0,73,Distinguished,2.0,,
2012,0,Boone County,35,Stephens Elementary School,35083,ES,0,61,Needs Improvement,0.0,,
2012,0,Bourbon County,41,Bourbon Central Elementary School,41010,ES,0,63,Proficient,1.0,,
2012,0,Bourbon County,41,Bourbon County High School,41110,HS,2,57,Needs Improvement,0.0,,
2012,0,Bourbon County,41,Bourbon County Middle School,41120,MS,1,57,Needs Improvement,0.0,,
2012,0,Bourbon County,41,Cane Ridge Elementary School,41030,ES,0,53,Needs Improvement,0.0,,
2012,0,Bourbon County,41,North Middletown Elementary School,41090,ES,0,63,Proficient,1.0,,
2012,0,Bowling Green Independent,42,Bowling Green High School,42070,HS,2,59,Proficient,1.0,,
2012,0,Bowling Green Independent,42,Bowling Green Junior High,42065,MS,1,60,Proficient,1.0,,
2012,0,Bowling Green Independent,42,Dishman McGinnis Elementary School,42010,ES,0,52,Needs Improvement,0.0,,
2012,0,Bowling Green Independent,42,Parker-Bennett-Curry School,42057,ES,0,46,Needs Improvement,0.0,,
2012,0,Bowling Green Independent,42,Potter Gray Elementary,42060,ES,0,71,Distinguished,2.0,,
2012,0,Bowling Green Independent,42,T C Cherry Elementary School,42080,ES,0,57,Needs Improvement,0.0,,
2012,0,Bowling Green Independent,42,W R McNeill Elementary School,42090,ES,0,71,Distinguished,2.0,,
2012,0,Boyd County,45,Boyd County High School,45010,HS,2,53,Needs Improvement,0.0,,
2012,0,Boyd County,45,Boyd County Middle School,45035,MS,1,57,Needs Improvement,0.0,,
2012,0,Boyd County,45,Cannonsburg Elementary School,45020,ES,0,50,Needs Improvement,0.0,,
2012,0,Boyd County,45,Catlettsburg Elementary School,45095,ES,0,44,Needs Improvement,0.0,,
2012,0,Boyd County,45,Ponderosa Elementary School,45097,ES,0,58,Needs Improvement,0.0,,
2012,0,Boyd County,45,Summit Elementary School,45080,ES,0,65,Proficient,1.0,,
2012,0,Boyle County,51,Boyle County High School,51005,HS,2,62,Proficient,1.0,,
2012,0,Boyle County,51,Boyle County Middle School,51003,MS,1,65,Proficient,1.0,,
2012,0,Boyle County,51,Junction City Elementary School,51040,ES,0,70,Proficient,1.0,,
2012,0,Boyle County,51,Perryville Elementary School,51080,ES,0,72,Distinguished,2.0,,
2012,0,Boyle County,51,Woodlawn Elementary School,51050,ES,0,67,Proficient,1.0,,
2012,0,Bracken County,55,Bracken County High School,55010,HS,2,58,Needs Improvement,0.0,,
2012,0,Bracken County,55,Bracken County Middle School,55060,MS,1,53,Needs Improvement,0.0,,
2012,0,Bracken County,55,Taylor Elementary School,55050,ES,0,52,Needs Improvement,0.0,,
2012,0,Breathitt County,61,Breathitt County High School,61060,HS,2,42,Needs Improvement,0.0,,
2012,0,Breathitt County,61,Highland-Turner Elementary School,61030,ES,0,55,Needs Improvement,0.0,,
2012,0,Breathitt County,61,Highland-Turner Elementary School,61030,MS,1,61,Proficient,1.0,,
2012,0,Breathitt County,61,LBJ Elementary School,61150,MS,1,44,Needs Improvement,0.0,,
2012,0,Breathitt County,61,Marie Roberts-Caney Elementary School,61185,ES,0,44,Needs Improvement,0.0,,
2012,0,Breathitt County,61,Marie Roberts-Caney Elementary School,61185,MS,1,44,Needs Improvement,0.0,,
2012,0,Breathitt County,61,Rousseau Elementary School,61270,MS,1,52,Needs Improvement,0.0,,
2012,0,Breathitt County,61,Rousseau Elementary School,61270,ES,0,38,Needs Improvement,0.0,,
2012,0,Breathitt County,61,Sebastian Elementary School,61150,ES,0,49,Needs Improvement,0.0,,
2012,0,Breathitt County,61,Sebastian Middle School,61390,MS,1,50,Needs Improvement,0.0,,
2012,0,Breckinridge County,65,Ben Johnson Elementary School,65030,ES,0,68,Proficient,1.0,,
2012,0,Breckinridge County,65,Breckinridge County High School,65010,HS,2,59,Proficient,1.0,,
2012,0,Breckinridge County,65,Breckinridge County Middle School,65100,MS,1,59,Proficient,1.0,,
2012,0,Breckinridge County,65,Custer Elementary School,65040,ES,0,50,Needs Improvement,0.0,,
2012,0,Breckinridge County,65,Hardinsburg Elementary School,65020,ES,0,71,Distinguished,2.0,,
2012,0,Breckinridge County,65,Irvington Elementary School,65050,ES,0,48,Needs Improvement,0.0,,
2012,0,Bullitt County,71,Bernheim Middle School,71005,MS,1,56,Needs Improvement,0.0,,
2012,0,Bullitt County,71,Brooks Elementary School,71010,ES,0,57,Needs Improvement,0.0,,
2012,0,Bullitt County,71,Bullitt Central High School,71015,HS,2,48,Needs Improvement,0.0,,
2012,0,Bullitt County,71,Bullitt East High School,71016,HS,2,57,Needs Improvement,0.0,,
2012,0,Bullitt County,71,Bullitt Lick Middle School,71018,MS,1,47,Needs Improvement,0.0,,
2012,0,Bullitt County,71,Cedar Grove Elementary,71020,ES,0,67,Proficient,1.0,,
2012,0,Bullitt County,71,Crossroads Elementary,71060,ES,0,52,Needs Improvement,0.0,,
2012,0,Bullitt County,71,Eastside Middle School,71009,MS,1,62,Proficient,1.0,,
2012,0,Bullitt County,71,Freedom Elementary School,71006,ES,0,65,Proficient,1.0,,
2012,0,Bullitt County,71,Hebron Middle School,71025,MS,1,47,Needs Improvement,0.0,,
2012,0,Bullitt County,71,Lebanon Junction Elementary,71030,ES,0,66,Proficient,1.0,,
2012,0,Bullitt County,71,MT. Washington Elementary,71055,ES,0,65,Proficient,1.0,,
2012,0,Bullitt County,71,MT. Washington Middle School,71050,MS,1,58,Needs Improvement,0.0,,
2012,0,Bullitt County,71,Maryville Elementary School,71045,ES,0,57,Needs Improvement,0.0,,
2012,0,Bullitt County,71,Nichols Elementary,71070,ES,0,60,Needs Improvement,0.0,,
2012,0,Bullitt County,71,North Bullitt High School,71075,HS,2,48,Needs Improvement,0.0,,
2012,0,Bullitt County,71,Old Mill Elementary School,71078,ES,0,68,Proficient,1.0,,
2012,0,Bullitt County,71,Overdale Elementary School,71080,ES,0,65,Proficient,1.0,,
2012,0,Bullitt County,71,Pleasant Grove Elementary School,71065,ES,0,64,Proficient,1.0,,
2012,0,Bullitt County,71,Roby Elementary School,71090,ES,0,52,Needs Improvement,0.0,,
2012,0,Bullitt County,71,Shepherdsville Elementary,71008,ES,0,53,Needs Improvement,0.0,,
2012,0,Bullitt County,71,Zoneton Middle School,71007,MS,1,52,Needs Improvement,0.0,,
2012,0,Burgin Independent,72,Burgin Elementary School,72020,ES,0,64,Proficient,1.0,,
2012,0,Burgin Independent,72,Burgin High School,72010,MS,1,52,Needs Improvement,0.0,,
2012,0,Burgin Independent,72,Burgin High School,72010,HS,2,58,Needs Improvement,0.0,,
2012,0,Butler County,75,Butler County High School,75030,HS,2,52,Needs Improvement,0.0,,
2012,0,Butler County,75,Butler County Middle School,75035,MS,1,45,Needs Improvement,0.0,,
2012,0,Butler County,75,Morgantown Elementary School,75120,ES,0,49,Needs Improvement,0.0,,
2012,0,Butler County,75,North Butler Elementary,75031,ES,0,53,Needs Improvement,0.0,,
2012,0,Caldwell County,81,Caldwell County Elementary School,81070,ES,0,58,Needs Improvement,0.0,,
2012,0,Caldwell County,81,Caldwell County High School,81010,HS,2,57,Needs Improvement,0.0,,
2012,0,Caldwell County,81,Caldwell County Middle School,81020,MS,1,60,Proficient,1.0,,
2012,0,Calloway County,85,Calloway County High School,85020,HS,2,65,Distinguished,2.0,,
2012,0,Calloway County,85,Calloway County Middle School,85055,MS,1,63,Proficient,1.0,,
2012,0,Calloway County,85,East Calloway Elementary School,85025,ES,0,64,Proficient,1.0,,
2012,0,Calloway County,85,North Calloway Elementary School,85035,ES,0,68,Proficient,1.0,,
2012,0,Calloway County,85,Southwest Calloway Elementary School,85045,ES,0,68,Proficient,1.0,,
2012,0,Campbell County,91,Campbell County High School,91100,HS,2,63,Proficient,1.0,,
2012,0,Campbell County,91,Campbell County Middle School,91011,MS,1,58,Needs Improvement,0.0,,
2012,0,Campbell County,91,Campbell Ridge Elementary,91019,ES,0,61,Needs Improvement,0.0,,
2012,0,Campbell County,91,Crossroads Elementary School,91035,ES,0,58,Needs Improvement,0.0,,
2012,0,Campbell County,91,Donald E. Cline Elementary School,91013,ES,0,68,Proficient,1.0,,
2012,0,Campbell County,91,Grant's Lick Elementary School,91050,ES,0,68,Proficient,1.0,,
2012,0,Campbell County,91,John W. Reiley Elementary School,91012,ES,0,70,Distinguished,2.0,,
2012,0,Campbellsville Independent,92,Campbellsville Elementary School,92010,ES,0,56,Needs Improvement,0.0,,
2012,0,Campbellsville Independent,92,Campbellsville High School,92020,HS,2,52,Needs Improvement,0.0,,
2012,0,Campbellsville Independent,92,Campbellsville Middle School,92025,MS,1,53,Needs Improvement,0.0,,
2012,0,Carlisle County,95,Carlisle County Elementary School,95060,ES,0,54,Needs Improvement,0.0,,
2012,0,Carlisle County,95,Carlisle County High School,95040,HS,2,58,Proficient,1.0,,
2012,0,Carlisle County,95,Carlisle County Middle School,95020,MS,1,53,Needs Improvement,0.0,,
2012,0,Carroll County,101,Carroll County High School,101018,HS,2,53,Needs Improvement,0.0,,
2012,0,Carroll County,101,Carroll County Middle School,101019,MS,1,46,Needs Improvement,0.0,,
2012,0,Carroll County,101,Cartmell Elementary,101005,ES,0,48,Needs Improvement,0.0,,
2012,0,Carter County,105,Carter Elementary School,105050,ES,0,59,Needs Improvement,0.0,,
2012,0,Carter County,105,East Carter County High School,105120,HS,2,58,Proficient,1.0,,
2012,0,Carter County,105,East Carter Middle School,105130,MS,1,58,Needs Improvement,0.0,,
2012,0,Carter County,105,Heritage Elementary School,105052,ES,0,56,Needs Improvement,0.0,,
2012,0,Carter County,105,Olive Hill Elementary School,105250,ES,0,53,Needs Improvement,0.0,,
2012,0,Carter County,105,Prichard Elementary School,105340,ES,0,62,Needs Improvement,0.0,,
2012,0,Carter County,105,Star Elementary School,105450,ES,0,73,Distinguished,2.0,,
2012,0,Carter County,105,Upper Tygart Elementary School,105490,ES,0,60,Needs Improvement,0.0,,
2012,0,Carter County,105,West Carter County High School,105500,HS,2,50,Needs Improvement,0.0,,
2012,0,Carter County,105,West Carter Middle School,105505,MS,1,59,Proficient,1.0,,
2012,0,Casey County,111,Casey County High School,111045,HS,2,56,Needs Improvement,0.0,,
2012,0,Casey County,111,Casey County Middle School,111070,MS,1,59,Proficient,1.0,,
2012,0,Casey County,111,Jones Park Elementary,111026,ES,0,58,Needs Improvement,0.0,,
2012,0,Casey County,111,Liberty Elementary School,111190,ES,0,74,Distinguished,2.0,,
2012,0,Casey County,111,Walnut Hill Elementary School,111015,ES,0,65,Proficient,1.0,,
2012,0,Caverna Independent,113,Caverna Elementary School,113025,ES,0,56,Needs Improvement,0.0,,
2012,0,Caverna Independent,113,Caverna High School,113030,HS,2,41,Needs Improvement,0.0,,
2012,0,Caverna Independent,113,Caverna Middle School,113026,MS,1,52,Needs Improvement,0.0,,
2012,0,Christian County,115,Belmont Elementary School,115020,ES,0,52,Needs Improvement,0.0,,
2012,0,Christian County,115,Christian County High School,115030,HS,2,51,Needs Improvement,0.0,,
2012,0,Christian County,115,Christian County Middle School,115035,MS,1,43,Needs Improvement,0.0,,
2012,0,Christian County,115,Crofton Elementary School,115040,ES,0,58,Needs Improvement,0.0,,
2012,0,Christian County,115,Holiday Elementary School,115105,ES,0,56,Needs Improvement,0.0,,
2012,0,Christian County,115,Hopkinsville High School,115050,HS,2,54,Needs Improvement,0.0,,
2012,0,Christian County,115,Hopkinsville Middle School,115058,MS,1,55,Needs Improvement,0.0,,
2012,0,Christian County,115,Indian Hills Elementary School,115055,ES,0,43,Needs Improvement,0.0,,
2012,0,Christian County,115,Lacy Elementary School,115110,ES,0,53,Needs Improvement,0.0,,
2012,0,Christian County,115,Martin Luther King Jr. Elementary School,115017,ES,0,44,Needs Improvement,0.0,,
2012,0,Christian County,115,Millbrooke Elementary School,115125,ES,0,58,Needs Improvement,0.0,,
2012,0,Christian County,115,North Drive Middle School,115045,MS,1,42,Needs Improvement,0.0,,
2012,0,Christian County,115,Pembroke Elementary School,115130,ES,0,54,Needs Improvement,0.0,,
2012,0,Christian County,115,Sinking Fork Elementary School,115150,ES,0,51,Needs Improvement,0.0,,
2012,0,Christian County,115,South Christian Elementary School,115170,ES,0,68,Proficient,1.0,,
2012,0,Clark County,121,Central Elementary School,121020,ES,0,59,Needs Improvement,0.0,,
2012,0,Clark County,121,Clark Middle School,121070,MS,1,55,Needs Improvement,0.0,,
2012,0,Clark County,121,Conkwright Middle School,121035,MS,1,58,Needs Improvement,0.0,,
2012,0,Clark County,121,Fannie Bush Elementary,121040,ES,0,48,Needs Improvement,0.0,,
