District Code,District,School,School Code,Level,End Year,Reported Spending per student,Student Count,Educator Count,Years of experience
34,Berea Independent,Berea Community Middle School,34015,MS,2012,6088.0,275.0,20.0,12.0
34,Berea Independent,Berea Community High School,34020,HS,2012,6575.0,297.0,16.0,14.0
35,Boone County,A M Yealey Elementary School,35005,ES,2012,7750.0,627.0,40.0,13.0
35,Boone County,Erpenbeck Elementary School,35006,ES,2012,6821.0,658.0,41.0,10.0
35,Boone County,North Pointe Elementary School,35008,ES,2012,5839.0,1061.0,60.0,10.0
35,Boone County,Camp Ernst Middle School,35010,MS,2012,6081.0,971.0,57.0,12.0
35,Boone County,Shirley Mann Elementary School,35011,ES,2012,6155.0,812.0,45.0,12.0
35,Boone County,Randall K. Cooper High School,35015,HS,2012,6712.0,1008.0,60.0,9.0
35,Boone County,Longbranch Elementary School,35017,ES,2012,5850.0,787.0,40.0,13.0
35,Boone County,Rector A. Jones Middle School,35020,MS,2012,7494.0,658.0,44.0,9.0
35,Boone County,Boone County High School,35030,HS,2012,6891.0,1335.0,87.0,13.0
35,Boone County,Burlington Elementary School,35040,ES,2012,6789.0,900.0,54.0,12.0
35,Boone County,Charles H. Kelly Elementary School,35041,ES,2012,11799.0,242.0,24.0,16.0
35,Boone County,Conner Middle School,35043,MS,2012,5967.0,1071.0,62.0,11.0
35,Boone County,Conner High School,35045,HS,2012,6681.0,1182.0,74.0,11.0
35,Boone County,Florence Elementary School,35050,ES,2012,7429.0,651.0,43.0,10.0
35,Boone County,Chester Goodridge Elementary School,35055,ES,2012,6641.0,837.0,50.0,11.0
35,Boone County,Hillard Collins Elementary School,35065,ES,2012,8575.0,615.0,40.0,10.0
35,Boone County,Larry A. Ryle High School,35071,HS,2012,6320.0,1575.0,94.0,13.0
35,Boone County,Gray Middle School,35075,MS,2012,6117.0,1023.0,59.0,12.0
35,Boone County,New Haven Elementary School,35080,ES,2012,7356.0,726.0,42.0,14.0
35,Boone County,Ockerman Elementary School,35081,ES,2012,7462.0,777.0,45.0,10.0
35,Boone County,Stephens Elementary School,35083,ES,2012,6624.0,734.0,46.0,11.0
35,Boone County,Ockerman Middle School,35085,MS,2012,6084.0,894.0,53.0,13.0
41,Bourbon County,Bourbon Central Elementary School,41010,ES,2012,7351.0,591.0,36.0,13.0
41,Bourbon County,Cane Ridge Elementary School,41030,ES,2012,7740.0,449.0,31.0,11.0
41,Bourbon County,North Middletown Elementary School,41090,ES,2012,9715.0,177.0,13.0,14.0
41,Bourbon County,Bourbon County High School,41110,HS,2012,6815.0,849.0,51.0,10.0
41,Bourbon County,Bourbon County Middle School,41120,MS,2012,7000.0,615.0,41.0,11.0
42,Bowling Green Independent,Dishman McGinnis Elementary School,42010,ES,2012,7994.0,346.0,22.0,12.0
42,Bowling Green Independent,Childrens Crisis Stabilization Unit,42011,HS,2012,,8.0,,
42,Bowling Green Independent,Warren Regional Juvenile Detention Ctr,42013,HS,2012,,9.0,,
42,Bowling Green Independent,Parker-Bennett-Curry School,42057,ES,2012,8358.0,382.0,25.0,12.0
42,Bowling Green Independent,Potter Gray Elementary,42060,ES,2012,7006.0,447.0,23.0,13.0
42,Bowling Green Independent,Bowling Green Junior High,42065,MS,2012,6914.0,871.0,52.0,10.0
42,Bowling Green Independent,Bowling Green High School,42070,HS,2012,8367.0,1130.0,73.0,14.0
42,Bowling Green Independent,T C Cherry Elementary School,42080,ES,2012,7894.0,285.0,18.0,12.0
42,Bowling Green Independent,W R McNeill Elementary School,42090,ES,2012,7154.0,410.0,22.0,14.0
42,Bowling Green Independent,Bowling Green Learning Center,42098,HS,2012,,31.0,,
45,Boyd County,Boyd County High School,45010,HS,2012,8144.0,840.0,55.0,13.0
45,Boyd County,Cannonsburg Elementary School,45020,ES,2012,6814.0,354.0,22.0,12.0
45,Boyd County,Boyd County Middle School,45035,MS,2012,7229.0,706.0,48.0,14.0
45,Boyd County,Summit Elementary School,45080,ES,2012,6779.0,506.0,37.0,14.0
45,Boyd County,Catlettsburg Elementary School,45095,ES,2012,9906.0,258.0,24.0,11.0
45,Boyd County,Ponderosa Elementary School,45097,ES,2012,6221.0,405.0,27.0,12.0
51,Boyle County,Boyle County Middle School,51003,MS,2012,6111.0,659.0,37.0,15.0
51,Boyle County,Boyle County High School,51005,HS,2012,6593.0,854.0,51.0,14.0
51,Boyle County,Junction City Elementary School,51040,ES,2012,8596.0,360.0,24.0,9.0
51,Boyle County,Woodlawn Elementary School,51050,ES,2012,7682.0,512.0,34.0,16.0
51,Boyle County,Perryville Elementary School,51080,ES,2012,9014.0,252.0,17.0,15.0
