District Code,District,School,School Code,Level,End Year,Reported Spending per student,Student Count,Educator Count,Years of experience
35,Boone County,Chester Goodridge Elementary School,35055,ES,2012,6641,837,50,11
35,Boone County,Hillard Collins Elementary School,35065,ES,2012,8575,615,40,10
35,Boone County,Larry A. Ryle High School,35071,HS,2012,6320,1575,94,13
35,Boone County,Gray Middle School,35075,MS,2012,6117,1023,59,12
35,Boone County,New Haven Elementary School,35080,ES,2012,7356,726,42,14
35,Boone County,Ockerman Elementary School,35081,ES,2012,7462,777,45,10
35,Boone County,Stephens Elementary School,35083,ES,2012,6624,734,46,11
35,Boone County,Ockerman Middle School,35085,MS,2012,6084,894,53,13
41,Bourbon County,Bourbon Central Elementary School,41010,ES,2012,7351,591,36,13
41,Bourbon County,Cane Ridge Elementary School,41030,ES,2012,7740,449,31,11
41,Bourbon County,North Middletown Elementary School,41090,ES,2012,9715,177,13,14
41,Bourbon County,Bourbon County High School,41110,HS,2012,6815,849,51,10
41,Bourbon County,Bourbon County Middle School,41120,MS,2012,7000,615,41,11
42,Bowling Green Independent,Dishman McGinnis Elementary School,42010,ES,2012,7994,346,22,12
42,Bowling Green Independent,Childrens Crisis Stabilization Unit,42011,HS,2012,,8,,
42,Bowling Green Independent,Warren Regional Juvenile Detention Ctr,42013,HS,2012,,9,,
42,Bowling Green Independent,Parker-Bennett-Curry School,42057,ES,2012,8358,382,25,12
42,Bowling Green Independent,Potter Gray Elementary,42060,ES,2012,7006,447,23,13
42,Bowling Green Independent,Bowling Green Junior High,42065,MS,2012,6914,871,52,10
42,Bowling Green Independent,Bowling Green High School,42070,HS,2012,8367,1130,73,14
42,Bowling Green Independent,T C Cherry Elementary School,42080,ES,2012,7894,285,18,12
42,Bowling Green Independent,W R McNeill Elementary School,42090,ES,2012,7154,410,22,14
42,Bowling Green Independent,Bowling Green Learning Center,42098,HS,2012,,31,,
45,Boyd County,Boyd County High School,45010,HS,2012,8144,840,55,13
45,Boyd County,Cannonsburg Elementary School,45020,ES,2012,6814,354,22,12
45,Boyd County,Boyd County Middle School,45035,MS,2012,7229,706,48,14
45,Boyd County,Summit Elementary School,45080,ES,2012,6779,506,37,14
45,Boyd County,Catlettsburg Elementary School,45095,ES,2012,9906,258,24,11
45,Boyd County,Ponderosa Elementary School,45097,ES,2012,6221,405,27,12
51,Boyle County,Boyle County Middle School,51003,MS,2012,6111,659,37,15
51,Boyle County,Boyle County High School,51005,HS,2012,6593,854,51,14
51,Boyle County,Junction City Elementary School,51040,ES,2012,8596,360,24,9
51,Boyle County,Woodlawn Elementary School,51050,ES,2012,7682,512,34,16
51,Boyle County,Perryville Elementary School,51080,ES,2012,9014,252,17,15
55,Bracken County,Bracken County High School,55010,HS,2012,7804,324,20,11
55,Bracken County,Taylor Elementary School,55050,ES,2012,7281,562,37,13
55,Bracken County,Bracken County Middle School,55060,MS,2012,9060,262,15,15
61,Breathitt County,Highland-Turner Elementary School,61030,ES,2012,9978,217,16,9
61,Breathitt County,Highland-Turner Elementary School,61030,MS,2012,9978,217,16,9
61,Breathitt County,Breathitt County Day Treatment,61033,HS,2012,,30,,
61,Breathitt County,Breathitt County High School,61060,MS,2012,8586,526,28,12
61,Breathitt County,Breathitt County High School,61060,HS,2012,8586,526,28,12
61,Breathitt County,LBJ Elementary School,61150,MS,2012,8398,590,35,14
61,Breathitt County,Sebastian Elementary School,61150,ES,2012,8398,590,35,14
61,Breathitt County,Marie Roberts-Caney Elementary School,61185,ES,2012,9157,334,21,15
61,Breathitt County,Marie Roberts-Caney Elementary School,61185,MS,2012,9157,334,21,15
61,Breathitt County,Rousseau Elementary School,61270,MS,2012,13281,89,7,9
61,Breathitt County,Rousseau Elementary School,61270,ES,2012,13281,89,7,9
61,Breathitt County,Sebastian Middle School,61390,MS,2012,8657,318,22,14
65,Breckinridge County,Breckinridge County High School,65010,HS,2012,6041,867,42,11
65,Breckinridge County,Hardinsburg Elementary School,65020,ES,2012,8343,515,37,11
65,Breckinridge County,Ben Johnson Elementary School,65030,ES,2012,8200,196,12,13
65,Breckinridge County,Custer Elementary School,65040,ES,2012,8152,202,12,10
65,Breckinridge County,Irvington Elementary School,65050,ES,2012,8037,364,23,8
65,Breckinridge County,Breckinridge County Middle School,65100,MS,2012,6880,589,37,10
71,Bullitt County,Bernheim Middle School,71005,MS,2012,5065,490,26,11
71,Bullitt County,Freedom Elementary School,71006,ES,2012,6082,471,27,16
71,Bullitt County,Zoneton Middle School,71007,MS,2012,5983,526,33,11
71,Bullitt County,Shepherdsville Elementary,71008,ES,2012,6425,508,32,9
71,Bullitt County,Eastside Middle School,71009,MS,2012,4742,602,30,11
71,Bullitt County,Brooks Elementary School,71010,ES,2012,6841,462,30,10
71,Bullitt County,Bullitt Central High School,71015,HS,2012,5287,1220,68,8
71,Bullitt County,Bullitt East High School,71016,HS,2012,4737,1327,69,10
71,Bullitt County,Bullitt Lick Middle School,71018,MS,2012,6478,449,29,7
71,Bullitt County,Cedar Grove Elementary,71020,ES,2012,6714,430,27,13
71,Bullitt County,Hebron Middle School,71025,MS,2012,6184,421,22,13
71,Bullitt County,Lebanon Junction Elementary,71030,ES,2012,6310,435,26,10
71,Bullitt County,Spring Meadows,71032,HS,2012,,18,,
71,Bullitt County,Maryville Elementary School,71045,ES,2012,7144,338,24,10
71,Bullitt County,MT. Washington Middle School,71050,MS,2012,5462,475,25,17
71,Bullitt County,MT. Washington Elementary,71055,ES,2012,5944,448,25,14
71,Bullitt County,Crossroads Elementary,71060,ES,2012,5687,530,31,7
71,Bullitt County,Pleasant Grove Elementary School,71065,ES,2012,5352,513,30,10
71,Bullitt County,Nichols Elementary,71070,ES,2012,8334,163,10,12
71,Bullitt County,North Bullitt High School,71075,HS,2012,5429,1295,72,10
71,Bullitt County,Old Mill Elementary School,71078,ES,2012,5884,432,24,12
71,Bullitt County,Overdale Elementary School,71080,ES,2012,6169,507,31,8
71,Bullitt County,Roby Elementary School,71090,ES,2012,6643,458,28,10
71,Bullitt County,Bullitt Alternative Center,71120,HS,2012,,50,,
72,Burgin Independent,Burgin High School,72010,MS,2012,6525,248,17,11
72,Burgin Independent,Burgin High School,72010,HS,2012,6525,248,17,11
72,Burgin Independent,Burgin Elementary School,72020,ES,2012,5360,207,17,10
75,Butler County,Butler County High School,75030,HS,2012,7581,553,30,12
75,Butler County,North Butler Elementary,75031,ES,2012,8076,321,22,13
75,Butler County,Butler County Learning Center,75032,HS,2012,,21,,
75,Butler County,Butler County Middle School,75035,MS,2012,7174,464,30,14
75,Butler County,Green River School,75110,HS,2012,,32,,
75,Butler County,Morgantown Elementary School,75120,ES,2012,6538,682,38,11
81,Caldwell County,Caldwell County High School,81010,HS,2012,7000,603,34,13
81,Caldwell County,Caldwell County Middle School,81020,MS,2012,6774,431,26,12
81,Caldwell County,Caldwell County Primary School,81030,ES,2012,8282,438,27,12
81,Caldwell County,Caldwell County Elementary School,81070,ES,2012,6526,465,26,15
