SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,STATE_SCH_ID,NCESID,COOP,COOP_CODE,PERSON_PER_STU_FED,NONPERSON_PER_STU_FED,TOTAL_PER_STU_FED,PERSON_PER_STU_STATELOCAL,NONPERSON_PER_STU_STATELOCAL,TOTAL_PER_STU_STATELOCAL,TOTAL_PER_STU_ALLFUNDS
20172018,1,ADAIR,1,Adair County,10,Adair County High School,1001010,210003000001,GRREC,902,799,148,947,8115,1570,9685,12099
20172018,1,ADAIR,1,Adair County,14,Adair County Middle School,1001014,210003001919,GRREC,902,776,112,888,7989,1366,9355,11200
20172018,1,ADAIR,1,Adair County,16,Adair County Elementary School,1001016,210003002021,GRREC,902,959,163,1122,8160,1485,9645,11849
20172018,1,ADAIR,1,Adair County,20,Adair County Primary Center,1001020,210003002345,GRREC,902,964,154,1118,9628,1400,11028,13313
20172018,2,ALLEN,5,Allen County,10,Allen County Primary Center,2005010,210007000008,GRREC,902,1429,169,1429,16371,2700,19263,23888
20172018,2,ALLEN,5,Allen County,15,James E Bazzell Middle School,2005015,210007000009,GRREC,902,1421,183,1421,17755,2929,20800,35267
20172018,2,ALLEN,5,Allen County,20,Allen County-Scottsville High School,2005020,210007000010,GRREC,902,1010,230,1010,16900,3378,20383,24588
20172018,2,ALLEN,5,Allen County,60,Allen County Intermediate Center,2005060,210007000013,GRREC,902,1362,174,1362,15212,3017,18323,23095
20172018,56,JEFFERSON,6,Anchorage Independent,10,Anchorage Independent Public School,56006010,210009000014,OVEC,906,298,338,636,16891,4159,21050,21686
20172018,3,ANDERSON,11,Anderson County,20,Anderson County High School,3011020,210012000016,CKEC,901,589,393,982,14123,2410,16645,19085
20172018,3,ANDERSON,11,Anderson County,22,Robert B. Turner Elementary School,3011022,210012001955,CKEC,901,828,389,1217,15005,2098,17269,19853
20172018,3,ANDERSON,11,Anderson County,25,Anderson County Middle School,3011025,210012000017,CKEC,901,604,378,982,13397,2198,15707,18158
20172018,3,ANDERSON,11,Anderson County,50,Saffell Street Elementary School,3011050,210012000018,CKEC,901,1003,395,1398,15499,2265,17940,20735
20172018,3,ANDERSON,11,Anderson County,110,Emma B. Ward Elementary School,3011110,210012000021,CKEC,901,651,393,1044,15532,2232,17824,20129
20172018,3,ANDERSON,11,Anderson County,120,Ezra Sparrow Early Childhood Center,3011120,210012001298,CKEC,901,1984,421,2405,28252,2047,29741,31887
20172018,10,BOYD,12,Ashland Independent,10,Paul G. Blazer High School,10012010,210015000022,KEDC,903,325,0,325,15434,69,15504,15828
20172018,10,BOYD,12,Ashland Independent,50,Ashland Middle School,10012050,210015000023,KEDC,903,502,0,502,14512,156,14672,15174
20172018,10,BOYD,12,Ashland Independent,70,Crabbe Elementary School,10012070,210015000025,KEDC,903,948,0,948,18376,329,18705,19654
20172018,10,BOYD,12,Ashland Independent,80,Hager Elementary School,10012080,210015000026,KEDC,903,842,0,842,14687,288,14757,15599
20172018,10,BOYD,12,Ashland Independent,100,Oakview Elementary School,10012100,210015000028,KEDC,903,804,0,804,17021,69,17089,17894
20172018,10,BOYD,12,Ashland Independent,110,Poage Elementary School,10012110,210015000029,KEDC,903,1057,0,1057,17554,68,17624,18681
20172018,10,BOYD,12,Ashland Independent,130,Charles Russell Elementary School,10012130,210015000031,KEDC,903,998,0,998,17289,66,18191,19190
20172018,12,BRACKEN,13,Augusta Independent,11,Augusta Independent School,12013011,210018001968,KEDC,903,592,64,656,8822,2017,10839,13185
20172018,4,BALLARD,15,Ballard County,5,Ballard County Middle School,4015005,210021000035,WKEC,908,721,80,801,9868,1186,11054,12980
20172018,4,BALLARD,15,Ballard County,10,Ballard Memorial High School,4015010,210021000036,WKEC,908,450,149,599,10501,3748,14249,16176
20172018,4,BALLARD,15,Ballard County,50,Ballard County Elementary School,4015050,210021000356,WKEC,908,1005,82,1087,8826,2052,10878,12805
20172018,61,KNOX,16,Barbourville Independent,11,Barbourville City School,61016011,210024001969,SESC,907,808,525,1333,8057,1622,9679,12378
20172018,90,NELSON,17,Bardstown Independent,10,Bardstown Elementary School,90017010,210027000044,CKEC,901,138,22,160,10195,1305,11500,12964
20172018,90,NELSON,17,Bardstown Independent,12,Bardstown Primary School,90017012,210027002050,CKEC,901,1013,36,1050,10362,1826,12188,14379
20172018,90,NELSON,17,Bardstown Independent,20,Bardstown High School,90017020,210027000045,CKEC,901,178,67,245,10788,1879,12667,14193
20172018,90,NELSON,17,Bardstown Independent,30,Bardstown Middle School,90017030,210027000046,CKEC,901,130,33,163,8925,1290,10215,11519
20172018,5,BARREN,21,Barren County,10,Austin Tracy Elementary School,5021010,210030000047,GRREC,902,592,110,702,10348,1790,12138,16153
20172018,5,BARREN,21,Barren County,14,North Jackson Elementary,5021014,210030002232,GRREC,902,899,148,1047,8159,1627,9786,13914
20172018,5,BARREN,21,Barren County,27,Barren County High School,5021027,210030000048,GRREC,902,712,124,836,8634,1768,10402,14386
20172018,5,BARREN,21,Barren County,35,Eastern Elementary School,5021035,210030000049,GRREC,902,706,158,864,9155,1702,10857,14994
20172018,5,BARREN,21,Barren County,50,Barren County Middle School,5021050,210030000607,GRREC,902,459,96,555,7505,1449,8954,12589
20172018,5,BARREN,21,Barren County,80,Hiseville Elementary School,5021080,210030000050,GRREC,902,1755,127,1882,11024,1817,12841,17988
20172018,5,BARREN,21,Barren County,130,Park City Elementary School,5021130,210030000051,GRREC,902,833,228,1061,9017,1629,10646,14969
20172018,5,BARREN,21,Barren County,150,Red Cross Elementary School,5021150,210030000052,GRREC,902,1251,119,1370,9145,1715,10860,15310
20172018,5,BARREN,21,Barren County,180,Temple Hill Elementary School,5021180,210030000053,GRREC,902,1371,115,1486,9908,1841,11749,16315
20172018,6,BATH,25,Bath County,14,Crossroads Elementary School,6025014,210033002223,KEDC,903,1236,173,1409,7917,1792,9685,13213
20172018,6,BATH,25,Bath County,20,Bath County Middle School,6025020,210033001606,KEDC,903,620,77,697,7658,1557,9193,10246
20172018,6,BATH,25,Bath County,30,Owingsville Elementary School,6025030,210033000056,KEDC,903,1089,201,1290,7785,1588,9336,10990
20172018,6,BATH,25,Bath County,40,Bath County High School,6025040,210033000057,KEDC,903,349,73,421,9294,1859,11113,17217
20172018,59,KENTON,26,Beechwood Independent,10,Beechwood Elementary School,59026010,210036000059,NKCES,905,258,33,290,8401,2007,10408,10699
20172018,59,KENTON,26,Beechwood Independent,20,Beechwood High School,59026020,210036000060,NKCES,905,190,33,223,8771,2205,10976,11199
20172018,7,BELL,31,Bell County,12,Bell Central School Center,7031012,210039001881,SESC,907,1993,0,1993,13650,200,13850,15653
20172018,7,BELL,31,Bell County,13,Page School Center,7031013,210039001882,SESC,907,2015,176,2191,13338,169,13507,15698
20172018,7,BELL,31,Bell County,40,Bell County High School,7031040,210039000062,SESC,907,1425,205,1630,12015,181,12196,13826
20172018,7,BELL,31,Bell County,180,Frakes School Center,7031180,210039000067,SESC,907,2018,166,2184,16230,166,16396,18580
20172018,7,BELL,31,Bell County,250,Lone Jack School Center,7031250,210039000068,SESC,907,1932,193,2125,13721,166,13887,16012
20172018,7,BELL,31,Bell County,345,Right Fork School Center,7031345,210039000072,SESC,907,2331,231,2562,12833,193,13026,15588
20172018,7,BELL,31,Bell County,390,Yellow Creek School Center,7031390,210039000074,SESC,907,2145,166,2311,11561,193,11754,14065
20172018,19,CAMPBELL,32,Bellevue Independent,10,Bellevue High School,19032010,210042000075,NKCES,905,375,362,737,9679,2020,11700,13190
20172018,19,CAMPBELL,32,Bellevue Independent,20,Grandview Elementary School,19032020,210042000076,NKCES,905,382,400,781,12175,2437,14612,16146
20172018,73,MADISON,34,Berea Independent,10,Berea Community Elementary School,73034010,210048000077,SESC,907,857,261,1122,9004,1084,10092,11453
20172018,73,MADISON,34,Berea Independent,15,Berea Community Middle School,73034015,210048001658,SESC,907,897,527,1428,8122,980,9106,10773
20172018,73,MADISON,34,Berea Independent,20,Berea Community High School,73034020,210048000078,SESC,907,295,441,740,9029,1688,10720,11699
20172018,8,BOONE,35,Boone County,5,A M Yealey Elementary School,8035005,210051000079,NKCES,905,195,87,282,9357,973,10330,10612
20172018,8,BOONE,35,Boone County,6,Erpenbeck Elementary School,8035006,210051001710,NKCES,905,136,101,237,8213,868,9081,9318
20172018,8,BOONE,35,Boone County,8,North Pointe Elementary School,8035008,210051001883,NKCES,905,148,92,240,9711,1067,10778,11018
