SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,TOTAL YEARS EXPERIENCE,EDUCATOR COUNT,AVERAGE YEARS OF EXPERIENCE
20202021,1,ADAIR,1,Adair County,,---District Total---,1,,,GRREC,902,,2139,153,14
20202021,1,ADAIR,1,Adair County,10,Adair County High School,1010,1001010,210003000001,GRREC,902,A1,675,47,14.4
20202021,1,ADAIR,1,Adair County,12,Adair Learning Academy,1012,1001012,210003001913,GRREC,902,A6,43,4,10.8
20202021,1,ADAIR,1,Adair County,14,Adair County Middle School,1014,1001014,210003001919,GRREC,902,A1,617,44,14
20202021,1,ADAIR,1,Adair County,16,Adair County Elementary School,1016,1001016,210003002021,GRREC,902,A1,469,32,14.7
20202021,1,ADAIR,1,Adair County,20,Adair County Primary Center,1020,1001020,210003002345,GRREC,902,A1,505,35,14.4
20202021,2,ALLEN,5,Allen County,,---District Total---,5,,,GRREC,902,,2141,170,12.6
20202021,2,ALLEN,5,Allen County,10,Allen County Primary Center,5010,2005010,210007000008,GRREC,902,A1,689,53,13
20202021,2,ALLEN,5,Allen County,15,James E Bazzell Middle School,5015,2005015,210007000009,GRREC,902,A1,412,28,14.7
20202021,2,ALLEN,5,Allen County,20,Allen County-Scottsville High School,5020,2005020,210007000010,GRREC,902,A1,713,58,12.3
20202021,2,ALLEN,5,Allen County,60,Allen County Intermediate Center,5060,2005060,210007000013,GRREC,902,A1,362,33,11
20202021,56,JEFFERSON,6,Anchorage Independent,,---District Total---,6,,,OVEC,906,,589,37,15.9
20202021,56,JEFFERSON,6,Anchorage Independent,10,Anchorage Independent Public School,6010,56006010,210009000014,OVEC,906,A1,589,37,15.9
20202021,3,ANDERSON,11,Anderson County,,---District Total---,11,,,CKEC,901,,2330,200,11.7
20202021,3,ANDERSON,11,Anderson County,20,Anderson County High School,11020,3011020,210012000016,CKEC,901,A1,706,61,11.6
20202021,3,ANDERSON,11,Anderson County,22,Robert B. Turner Elementary School,11022,3011022,210012001955,CKEC,901,A1,346,27,12.8
20202021,3,ANDERSON,11,Anderson County,25,Anderson County Middle School,11025,3011025,210012000017,CKEC,901,A1,508,47,10.8
20202021,3,ANDERSON,11,Anderson County,30,APEX Academy,11030,3011030,210012002371,CKEC,901,A5,75,5,15
20202021,3,ANDERSON,11,Anderson County,50,Saffell Street Elementary School,11050,3011050,210012000018,CKEC,901,A1,244,23,10.6
20202021,3,ANDERSON,11,Anderson County,110,Emma B. Ward Elementary School,11110,3011110,210012000021,CKEC,901,A1,336,20,16.8
20202021,3,ANDERSON,11,Anderson County,120,Ezra Sparrow Early Childhood Center,11120,3011120,210012001298,CKEC,901,A1,115,17,6.8
20202021,10,BOYD,12,Ashland Independent,,---District Total---,12,,,KEDC,903,,2787,216,12.9
20202021,10,BOYD,12,Ashland Independent,5,Ashland Virtual Learning Center,12005,10012005,210015002487,KEDC,903,A5,168,14,12
20202021,10,BOYD,12,Ashland Independent,10,Paul G. Blazer High School,12010,10012010,210015000022,KEDC,903,A1,893,60,14.9
20202021,10,BOYD,12,Ashland Independent,12,Ashland Head Start,12012,10012012,210015002023,KEDC,903,A4,60,10,6
20202021,10,BOYD,12,Ashland Independent,50,Ashland Middle School,12050,10012050,210015000023,KEDC,903,A1,709,56,12.7
20202021,10,BOYD,12,Ashland Independent,70,Crabbe Elementary School,12070,10012070,210015000025,KEDC,903,A1,145,16,9.1
20202021,10,BOYD,12,Ashland Independent,80,Hager Elementary School,12080,10012080,210015000026,KEDC,903,A1,166,21,7.9
20202021,10,BOYD,12,Ashland Independent,100,Oakview Elementary School,12100,10012100,210015000028,KEDC,903,A1,273,17,16.1
20202021,10,BOYD,12,Ashland Independent,110,Poage Elementary School,12110,10012110,210015000029,KEDC,903,A1,213,15,14.2
