SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,SCHOOL TYPE,EDUCATOR COUNT,AVERAGE YEARS OF EXPERIENCE
20212022,7,BELL,31,Bell County,345,Right Fork School Center,31345,A1,15,15.2
20212022,7,BELL,31,Bell County,390,Yellow Creek School Center,31390,A1,34,11.8
20212022,19,CAMPBELL,32,Bellevue Independent,10,Bellevue High School,32010,A1,23,10.1
20212022,19,CAMPBELL,32,Bellevue Independent,20,Grandview Elementary School,32020,A1,19,5.3
20212022,73,MADISON,34,Berea Independent,10,Berea Community Elementary School,34010,A1,27,13.8
20212022,73,MADISON,34,Berea Independent,15,Berea Community Middle School,34015,A1,26,12.3
20212022,73,MADISON,34,Berea Independent,20,Berea Community High School,34020,A1,31,14.4
20212022,8,BOONE,35,Boone County,5,A M Yealey Elementary School,35005,A1,32,14.4
20212022,8,BOONE,35,Boone County,6,Erpenbeck Elementary School,35006,A1,38,15.2
20212022,8,BOONE,35,Boone County,8,North Pointe Elementary School,35008,A1,32,15.3
20212022,8,BOONE,35,Boone County,10,Camp Ernst Middle School,35010,A1,51,11.3
20212022,8,BOONE,35,Boone County,11,Shirley Mann Elementary School,35011,A1,46,17.2
20212022,8,BOONE,35,Boone County,12,Thornwilde Elementary School,35012,A1,38,13.3
20212022,8,BOONE,35,Boone County,15,Randall K. Cooper High School,35015,A1,79,11.3
20212022,8,BOONE,35,Boone County,17,Longbranch Elementary School,35017,A1,46,13.2
20212022,8,BOONE,35,Boone County,18,Steeplechase Elementary School,35018,A1,33,11.9
20212022,8,BOONE,35,Boone County,20,Rector A. Jones Middle School,35020,A1,57,7.1
20212022,8,BOONE,35,Boone County,25,Ballyshannon Middle School,35025,A1,45,10.2
20212022,8,BOONE,35,Boone County,30,Boone County High School,35030,A1,86,13.9
20212022,8,BOONE,35,Boone County,40,Burlington Elementary School,35040,A1,43,12.9
20212022,8,BOONE,35,Boone County,41,Charles H. Kelly Elementary School,35041,A1,19,14.4
20212022,8,BOONE,35,Boone County,43,Conner Middle School,35043,A1,54,14.3
20212022,8,BOONE,35,Boone County,45,Conner High School,35045,A1,85,13.3
20212022,8,BOONE,35,Boone County,50,Florence Elementary School,35050,A1,36,8.4
20212022,8,BOONE,35,Boone County,55,Chester Goodridge Elementary School,35055,A1,38,12.6
20212022,8,BOONE,35,Boone County,65,Hillard Collins Elementary School,35065,A1,37,11.5
20212022,8,BOONE,35,Boone County,71,Larry A. Ryle High School,35071,A1,105,13.9
20212022,8,BOONE,35,Boone County,75,Gray Middle School,35075,A1,64,14.8
20212022,8,BOONE,35,Boone County,80,New Haven Elementary School,35080,A1,36,15.7
20212022,8,BOONE,35,Boone County,81,Ockerman Elementary School,35081,A1,43,10.8
20212022,8,BOONE,35,Boone County,83,Stephens Elementary School,35083,A1,37,13.2
20212022,8,BOONE,35,Boone County,85,Ockerman Middle School,35085,A1,44,14.2
20212022,8,BOONE,35,Boone County,135,ACCEL Academy,35135,A5,5,16.6
20212022,8,BOONE,35,Boone County,170,RISE Academy,35170,A5,10,10.0
20212022,9,BOURBON,41,Bourbon County,10,Bourbon Central Elementary School,41010,A1,31,8.4
20212022,9,BOURBON,41,Bourbon County,11,Bourbon County Preschool Headstart,41011,A4,10,9.0
20212022,9,BOURBON,41,Bourbon County,30,Cane Ridge Elementary School,41030,A1,30,12.8
20212022,9,BOURBON,41,Bourbon County,90,North Middletown Elementary School,41090,A1,11,7.8
20212022,9,BOURBON,41,Bourbon County,110,Bourbon County High School,41110,A1,53,10.0
20212022,9,BOURBON,41,Bourbon County,120,Bourbon County Middle School,41120,A1,42,11.2
20212022,114,WARREN,42,Bowling Green Independent,10,Dishman McGinnis Elementary School,42010,A1,24,12.9
20212022,114,WARREN,42,Bowling Green Independent,11,Childrens Crisis Stabilization Unit,42011,A6,1,15.0
20212022,114,WARREN,42,Bowling Green Independent,13,Warren Regional Juvenile Detention Ctr,42013,A6,3,21.0
20212022,114,WARREN,42,Bowling Green Independent,57,Parker-Bennett-Curry School,42057,A1,25,9.8
20212022,114,WARREN,42,Bowling Green Independent,60,Potter Gray Elementary,42060,A1,24,16.2
20212022,114,WARREN,42,Bowling Green Independent,65,Bowling Green Junior High,42065,A1,69,12.1
20212022,114,WARREN,42,Bowling Green Independent,70,Bowling Green High School,42070,A1,82,10.5
20212022,114,WARREN,42,Bowling Green Independent,80,T C Cherry Elementary School,42080,A1,27,10.6
20212022,114,WARREN,42,Bowling Green Independent,90,W R McNeill Elementary School,42090,A1,23,13.4
20212022,114,WARREN,42,Bowling Green Independent,98,Bowling Green Learning Center,42098,A5,9,12.9
20212022,10,BOYD,45,Boyd County,10,Boyd County High School,45010,A1,65,14.6
20212022,10,BOYD,45,Boyd County,20,Cannonsburg Elementary School,45020,A1,19,11.8
20212022,10,BOYD,45,Boyd County,35,Boyd County Middle School,45035,A1,49,10.1
20212022,10,BOYD,45,Boyd County,45,Boyd County Central School,45045,A5,2,8.5
20212022,10,BOYD,45,Boyd County,80,Summit Elementary School,45080,A1,29,12.3
20212022,10,BOYD,45,Boyd County,85,Ramey-Estep High School,45085,A6,7,15.7
20212022,10,BOYD,45,Boyd County,95,Catlettsburg Elementary School,45095,A1,16,10.3
20212022,10,BOYD,45,Boyd County,97,Ponderosa Elementary School,45097,A1,19,10.4
20212022,10,BOYD,45,Boyd County,198,Boyd Co Early Childhood Academy,45198,A4,13,8.8
20212022,11,BOYLE,51,Boyle County,3,Boyle County Middle School,51003,A1,38,14.0
20212022,11,BOYLE,51,Boyle County,4,Boyle County Day Treatment,51004,A6,1,24.0
20212022,11,BOYLE,51,Boyle County,5,Boyle County High School,51005,A1,56,12.8
20212022,11,BOYLE,51,Boyle County,40,Junction City Elementary School,51040,A1,26,12.3
20212022,11,BOYLE,51,Boyle County,50,Woodlawn Elementary School,51050,A1,33,10.2
20212022,11,BOYLE,51,Boyle County,80,Perryville Elementary School,51080,A1,19,14.9
20212022,12,BRACKEN,55,Bracken County,10,Bracken County High School,55010,A1,24,12.7
20212022,12,BRACKEN,55,Bracken County,50,Taylor Elementary School,55050,A1,32,12.3
20212022,12,BRACKEN,55,Bracken County,60,Bracken County Middle School,55060,A1,21,11.0
20212022,13,BREATHITT,61,Breathitt County,30,Highland-Turner Elementary School,61030,A1,11,13.0
20212022,13,BREATHITT,61,Breathitt County,31,Breathitt Regional School,61031,A6,1,24.0
20212022,13,BREATHITT,61,Breathitt County,33,Breathitt County Day Treatment,61033,A6,3,15.7
20212022,13,BREATHITT,61,Breathitt County,60,Breathitt County High School,61060,A1,45,12.3
20212022,13,BREATHITT,61,Breathitt County,150,Sebastian Elementary School,61150,A1,24,11.9
20212022,13,BREATHITT,61,Breathitt County,185,Marie Roberts-Caney Elementary School,61185,A1,16,10.5
20212022,14,BRECKINRIDGE,65,Breckinridge County,10,Breckinridge County High School,65010,A1,46,13.5
