SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,TOTAL YEARS EXPERIENCE,EDUCATOR COUNT,AVERAGE YEARS OF EXPERIENCE
20222023,090,NELSON,017,Bardstown Independent,009,Bardstown Early Childhood Center,017009,090017009,210027002222,CKEC,901,A4,116,11,10.55
20222023,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000044,CKEC,901,A1,636,46,13.83
20222023,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027002050,CKEC,901,A1,348,22,15.82
20222023,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,CKEC,901,A1,891,54,16.5
20222023,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000046,CKEC,901,A1,647,40,16.18
20222023,005,BARREN,021,Barren County,"",---District Total---,021,"","",GRREC,902,"",3813,337,11.31
20222023,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000047,GRREC,902,A1,149,19,7.84
20222023,005,BARREN,021,Barren County,011,College Street Campus,021011,005021011,210030001303,GRREC,902,A5,103,11,9.36
20222023,005,BARREN,021,Barren County,012,BAVEL,021012,005021012,210030001970,GRREC,902,A5,543,29,18.72
20222023,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030002232,GRREC,902,A1,287,29,9.9
20222023,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,A1,1094,82,13.34
20222023,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000049,GRREC,902,A1,285,28,10.18
20222023,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000607,GRREC,902,A1,433,43,10.07
20222023,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000050,GRREC,902,A1,260,20,13
20222023,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000051,GRREC,902,A1,148,21,7.05
20222023,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000052,GRREC,902,A1,391,37,10.57
20222023,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000053,GRREC,902,A1,120,18,6.67
20222023,006,BATH,025,Bath County,"",---District Total---,025,"","",KEDC,903,"",1532,119,12.87
20222023,006,BATH,025,Bath County,012,Second Chance Academy,025012,006025012,210033002335,KEDC,903,A5,23,2,11.5
20222023,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033002223,KEDC,903,A1,339,27,12.56
20222023,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033001606,KEDC,903,A1,344,27,12.74
20222023,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,006025030,210033000056,KEDC,903,A1,337,28,12.04
20222023,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,A1,489,35,13.97
