SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,MEMBERSHIP_TOTAL,MEMBERSHIP_MALE_CNT,MEMBERSHIP_MALE_PCT,MEMBERSHIP_FEMALE_CNT,MEMBERSHIP_FEMALE_PCT,MEMBERSHIP_WHITE_CNT,MEMBERSHIP_WHITE_PCT,MEMBERSHIP_BLACK_CNT,MEMBERSHIP_BLACK_PCT,MEMBERSHIP_HISPANIC_CNT,MEMBERSHIP_HISPANIC_PCT,MEMBERSHIP_ASIAN_CNT,MEMBERSHIP_ASIAN_PCT,MEMBERSHIP_AIAN_CNT,MEMBERSHIP_AIAN_PCT,MEMBERSHIP_HAWAIIAN_CNT,MEMBERSHIP_HAWAIIAN_PCT,MEMBERSHIP_TWO_OR_MORE_CNT,MEMBERSHIP_TWO_OR_MORE_PCT,ENROLLMENT_FREE_LUNCH_CNT,ENROLLMENT_FREE_LUNCH_PCT,ENROLLMENT_REDUCED_LUNCH_CNT,ENROLLMENT_REDUCED_LUNCH_PCT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_FAILURE_CNT,TRANSITION_FAILURE_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FTE_TCH_TOTAL,MALE_FTE_TOTAL,FEMALE_FTE_TOTAL,WHITE_FTE_TOTAL,BLACK_FTE_TOTAL,HISPANIC_FTE_TOTAL,ASIAN_FTE_TOTAL,AIAN_FTE_TOTAL,HAWAIIAN_FTE_TOTAL,TWO_OR_MORE_FTE_TOTAL,RACE_FTE_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS,COOP,COOP_CODE
20142015,37,FRANKLIN,181,Franklin County,45,Hearn Elementary,181045,37181045,210201000441,5977,470.65,492,262,53.3%,230,46.7%,325,66.1%,73,14.8%,27,5.5%,12,2.4%,1,0.2%,2,0.4%,52,10.6%,252,51.2%,17,3.5%,96.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,32.00,0.00,32.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,4,0.0%,9.4,15.4%,42.3%,26.9%,0.0%,0.0%,85.0%,0.0%,2.6:1,100%,310,45,3,1350,OVEC,906
20142015,37,FRANKLIN,181,Franklin County,50,Peaks Mill Elementary,181050,37181050,210201000442,6470,425.95,441,226,51.2%,215,48.8%,349,79.1%,32,7.3%,22,5.0%,3,0.7%,0,0.0%,0,0.0%,35,7.9%,280,63.5%,17,3.9%,95.6%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,29.00,1.00,28.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,6,0.0%,9.1,20.0%,40.0%,20.0%,0.0%,0.0%,80.0%,0.0%,2.2:1,100%,389,25,11,1020,OVEC,906
20142015,37,FRANKLIN,181,Franklin County,11,The Academy,181011,37181011,210201001917,33112,38.23,52,43,82.7%,9,17.3%,37,71.2%,7,13.5%,3,5.8%,0,0.0%,1,1.9%,0,0.0%,4,7.7%,48,92.3%,1,1.9%,80.5%,19.2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:1,11.00,4.00,7.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,,0.0%,12.1,0.0%,42.9%,57.1%,0.0%,0.0%,100.0%,0.0%,.3:1,100%,56,,,24,OVEC,906
20142015,37,FRANKLIN,181,Franklin County,70,Western Hills High School,181070,37181070,210201001420,6491,753.99,788,403,51.1%,385,48.9%,686,87.1%,45,5.7%,15,1.9%,9,1.1%,3,0.4%,0,0.0%,30,3.8%,254,32.2%,47,6.0%,93.9%,3.9%,0.5%,N/A,120,66.3%,110,60.8%,10,5.5%,7,3.9%,37,20.4%,8,4.4%,5,2.8%,4,2.2%,18:1,43.00,14.00,29.00,40.00,2.00,0.00,0.00,1.00,0.00,0.00,43.00,10,0.0%,13.1,13.0%,38.9%,33.3%,0.0%,1.9%,87.0%,0.0%,2.7:1,100%,594,71,8,12300,OVEC,906
20142015,37,FRANKLIN,181,Franklin County,13,Westridge Elementary,181013,37181013,210201001989,7372,395.9,406,210,51.7%,196,48.3%,345,85.0%,28,6.9%,8,2.0%,4,1.0%,0,0.0%,0,0.0%,21,5.2%,209,51.5%,31,7.6%,96.7%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,27.00,3.00,24.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,9,0.0%,11.9,4.3%,47.8%,43.5%,0.0%,0.0%,96.0%,0.0%,1.5:1,100%,350,26,6,900,OVEC,906
20142015,37,FRANKLIN,181,Franklin County,,---District Total---,181,,,9208,5886.46,6139,3219,52.4%,"2,920",47.6%,"4,698",76.5%,583,9.5%,344,5.6%,123,2.0%,8,0.1%,2,0.0%,381,6.2%,"2,974",48.4%,321,5.2%,95.0%,3.7%,1.3%,N/A,229,60.6%,208,55.0%,21,5.6%,39,10.3%,56,14.8%,30,7.9%,13,3.4%,11,2.9%,16:1,378.00,84.00,294.00,372.00,5.00,0.00,0.00,1.00,0.00,0.00,378.00,74,0.4%,10.8,16.3%,40.8%,26.4%,0.0%,0.2%,84.0%,0.0%,2:1,100%,4118,334,130,32421,OVEC,906
20142015,38,FULTON,185,Fulton County,20,Fulton County Elementary/Middle School,185020,38185020,210210002113,13000,357.91,372,181,48.7%,191,51.3%,215,57.8%,115,30.9%,9,2.4%,0,0.0%,3,0.8%,0,0.0%,30,8.1%,255,68.5%,14,3.8%,95.2%,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,28.00,3.00,25.00,26.00,2.00,0.00,0.00,0.00,0.00,0.00,28.00,4,0.0%,11.3,26.2%,26.2%,19.0%,2.4%,0.0%,74.0%,3.1%,1.8:1,100%,250,180,2,1500,WKEC,908
20142015,38,FULTON,185,Fulton County,30,Fulton County High School,185030,38185030,210210000445,12000,144.94,147,75,51.0%,72,49.0%,108,73.5%,32,21.8%,3,2.0%,0,0.0%,1,0.7%,0,0.0%,3,2.0%,88,59.9%,4,2.7%,95.7%,0.0%,0.0%,N/A,36,78.3%,36,78.3%,N/A,0.0%,N/A,0.0%,5,10.9%,3,6.5%,N/A,0.0%,2,4.3%,13:1,11.00,5.00,6.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0,0.0%,7.4,34.6%,19.2%,11.5%,0.0%,0.0%,65.0%,4.5%,1.4:1,100%,85,65,3,900,WKEC,908
20142015,38,FULTON,185,Fulton County,,---District Total---,185,,,12490,502.85,519,256,49.3%,263,50.7%,323,62.2%,147,28.3%,12,2.3%,0,0.0%,4,0.8%,0,0.0%,33,6.4%,343,66.1%,18,3.5%,95.4%,0.0%,0.0%,N/A,36,78.3%,36,78.3%,N/A,0.0%,N/A,0.0%,5,10.9%,3,6.5%,N/A,0.0%,2,4.3%,13:1,39.00,8.00,31.00,37.00,2.00,0.00,0.00,0.00,0.00,0.00,39.00,4,0.0%,10,29.4%,23.5%,16.2%,1.5%,0.0%,71.0%,3.7%,1.7:1,100%,335,245,5,2400,WKEC,908
20142015,38,FULTON,186,Fulton Independent,18,Fulton Independent School,186018,38186018,210207002205,12643,355.27,369,180,48.8%,189,51.2%,178,48.2%,134,36.3%,12,3.3%,2,0.5%,0,0.0%,0,0.0%,43,11.7%,295,79.9%,14,3.8%,95.8%,1.7%,0.0%,N/A,19,70.4%,15,55.6%,4,14.8%,N/A,0.0%,6,22.2%,N/A,0.0%,2,7.4%,N/A,0.0%,13:1,28.00,7.00,21.00,25.00,3.00,0.00,0.00,0.00,0.00,0.00,28.00,0,0.0%,10,25.6%,38.5%,10.3%,0.0%,0.0%,74.0%,0.0%,3.6:1,100%,351,,,1807,WKEC,908
