SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,MEMBERSHIP,Personnel Spending per Student - Federal Funds,Non-Personnel Spending per Student - Federal Funds,Total Spending per Student - Federal Funds,Personnel Spending per Student - State/Local Funds,Non-Personnel Spending per Student - State/Local Funds,Total Spending per Student - State/Local Funds,Total Spending per Student - All Fund Sources
20192020,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,WKEC,908,303,399,165,564,11845,3863,15707,20431
20192020,004,BALLARD,015,Ballard County,050,Ballard County Elementary School,015050,004015050,210021000356,WKEC,908,493,802,137,939,10139,2538,12678,17346
20192020,004,BALLARD,015,Ballard County,070,Ballard Co. Preschool/Headstart Center,015070,004015070,210021000040,WKEC,908,0,,,,,,,
20192020,004,BALLARD,015,Ballard County,905,Ballard County Career and Technology Ctr,015905,004015905,210021002404,WKEC,908,0,,,,,,,
20192020,061,KNOX,016,Barbourville Independent,"",---District Total---,016,"","",SESC,907,652,794,224,1019,8198,1381,9579,16080
20192020,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,SESC,907,652,794,224,1019,8198,1379,9579,16080
20192020,090,NELSON,017,Bardstown Independent,"",---District Total---,017,"","",CKEC,901,2433,561,113,674,11069,1786,12855,15509
20192020,090,NELSON,017,Bardstown Independent,005,Bardstown Alternative School,017005,090017005,210027002359,CKEC,901,45,,,,,,,
20192020,090,NELSON,017,Bardstown Independent,009,Bardstown Early Childhood Center,017009,090017009,210027002222,CKEC,901,0,,,,,,,
20192020,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000044,CKEC,901,573,444,86,530,10736,1365,12101,14503
20192020,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027002050,CKEC,901,615,862,75,938,9934,1292,11226,13866
20192020,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,CKEC,901,599,192,146,338,11221,1551,12772,14939
20192020,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000046,CKEC,901,601,266,63,328,8891,1227,10119,12149
20192020,005,BARREN,021,Barren County,"",---District Total---,021,"","",GRREC,902,4913,760,204,965,8766,1902,10668,13486
20192020,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000047,GRREC,902,243,903,280,1183,7567,1702,10981,14580
20192020,005,BARREN,021,Barren County,011,College Street Campus,021011,005021011,210030001303,GRREC,902,49,,,,,,,
20192020,005,BARREN,021,Barren County,012,BAVEL,021012,005021012,210030001970,GRREC,902,253,,,,,,,
20192020,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030002232,GRREC,902,505,610,219,829,6863,1220,9796,12855
20192020,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,1313,699,176,875,7879,1358,10949,14124
20192020,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000049,GRREC,902,331,746,292,1038,7385,1475,10572,14023
20192020,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000607,GRREC,902,758,373,134,507,7035,1236,9984,12720
20192020,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000050,GRREC,902,241,716,196,912,8390,1615,11718,15017
20192020,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000051,GRREC,902,370,762,202,964,7881,1673,11266,15017
20192020,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000052,GRREC,902,579,1076,186,1263,7301,1202,10216,13078
