SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,STATE_SCH_ID,NCESID,COOP,COOP_CODE,WHITE_MALE_COUNT,WHITE_FEMALE_COUNT,WHITE_TOTAL,BLACK_MALE_COUNT,BLACK_FEMALE_COUNT,BLACK_TOTAL,HISPANIC_MALE_COUNT,HISPANIC_FEMALE_COUNT,HISPANIC_TOTAL,ASIAN_MALE_COUNT,ASIAN_FEMALE_COUNT,ASIAN_TOTAL,AIAN_COUNT,AIAN_FEMALE_COUNT,AIAN_TOTAL,HAWAIIAN_MALE_COUNT,HAWAIIAN_FEMALE_COUNT,HAWAIIAN_TOTAL_COUNT,TWOORMORE_MALE_COUNT,TWOORMORE_FEMALE_COUNT,TWOORMORE_TOTAL,MALE_TOTAL,FEMALE_TOTAL,MEMBERSHIP_TOTAL
20172018,103,ROWAN,515,Rowan County,180,Rowan County Senior High School,103515180,210510001260,KEDC,903,413,419,832,6,4,10,14,9,23,5,10,15,1,2,3,0,1,1,7,4,11,446,449,895
20172018,103,ROWAN,515,Rowan County,500,Rowan County/MSU Headstart,103515500,,KEDC,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20172018,103,ROWAN,515,Rowan County,131,Sunrise Children's Services - Morehead,103515131,210510002300,KEDC,903,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
20172018,103,ROWAN,515,Rowan County,200,Tilden Hogge Elementary School,103515200,210510001261,KEDC,903,104,89,193,2,0,2,2,2,4,0,0,0,0,0,0,0,0,0,2,4,6,110,95,205
20172018,103,ROWAN,515,Rowan County,,---District Total---,,,KEDC,903,1529,1427,2956,23,16,39,44,42,86,18,19,37,2,4,6,0,1,1,21,32,53,1637,1541,3178
20172018,104,RUSSELL,521,Russell County,140,Jamestown Elementary School,104521140,210516001263,GRREC,902,209,188,397,0,0,0,22,21,43,4,3,7,0,0,0,0,0,0,7,5,12,242,217,459
20172018,104,RUSSELL,521,Russell County,240,Russell County High School,104521240,210516001265,GRREC,902,413,388,801,8,3,11,20,18,38,1,2,3,1,0,1,1,1,2,1,0,1,445,412,857
20172018,104,RUSSELL,521,Russell County,260,Russell County Middle School,104521260,210516001599,GRREC,902,298,282,580,4,3,7,28,22,50,4,1,5,0,1,1,0,0,0,8,7,15,342,316,658
20172018,104,RUSSELL,521,Russell County,230,Russell Springs Elementary School,104521230,210516001264,GRREC,902,275,273,548,1,4,5,52,43,95,2,2,4,0,0,0,1,5,6,2,3,5,333,330,663
20172018,104,RUSSELL,521,Russell County,250,Salem Elementary School,104521250,210516001266,GRREC,902,144,133,277,1,0,1,21,22,43,3,0,3,0,1,1,0,0,0,1,3,4,170,159,329
