SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,TOTEXP,Teacher Count,AVGEXPERIENCEYEARS
20182019,5,BARREN,21,Barren County,10,Austin Tracy Elementary School,21010,5021010,210030000047,GRREC,902,142,15,9.5
20182019,5,BARREN,21,Barren County,27,Barren County High School,21027,5021027,210030000048,GRREC,902,1209,76,15.9
20182019,5,BARREN,21,Barren County,50,Barren County Middle School,21050,5021050,210030000607,GRREC,902,484,49,9.9
20182019,5,BARREN,21,Barren County,11,College Street Campus,21011,5021011,210030001303,GRREC,902,113,9,12.6
20182019,5,BARREN,21,Barren County,35,Eastern Elementary School,21035,5021035,210030000049,GRREC,902,284,28,10.1
20182019,5,BARREN,21,Barren County,80,Hiseville Elementary School,21080,5021080,210030000050,GRREC,902,316,20,15.8
20182019,5,BARREN,21,Barren County,14,North Jackson Elementary,21014,5021014,210030002232,GRREC,902,279,27,10.3
20182019,5,BARREN,21,Barren County,130,Park City Elementary School,21130,5021130,210030000051,GRREC,902,248,21,11.8
20182019,5,BARREN,21,Barren County,150,Red Cross Elementary School,21150,5021150,210030000052,GRREC,902,507,33,15.4
20182019,5,BARREN,21,Barren County,180,Temple Hill Elementary School,21180,5021180,210030000053,GRREC,902,208,18,11.6
20182019,5,BARREN,21,Barren County,,---District Total---,21,,,GRREC,902,3663,286,12.8
20182019,6,BATH,25,Bath County,40,Bath County High School,25040,6025040,210033000057,KEDC,903,665,37,18
20182019,6,BATH,25,Bath County,20,Bath County Middle School,25020,6025020,210033001606,KEDC,903,298,24,12.4
20182019,6,BATH,25,Bath County,14,Crossroads Elementary School,25014,6025014,210033002223,KEDC,903,335,25,13.4
20182019,6,BATH,25,Bath County,30,Owingsville Elementary School,25030,6025030,210033000056,KEDC,903,387,27,14.3
20182019,6,BATH,25,Bath County,12,Second Chance Academy,25012,6025012,210033002335,KEDC,903,25,2,12.5
20182019,6,BATH,25,Bath County,,---District Total---,25,,,KEDC,903,1674,112,14.9
20182019,59,KENTON,26,Beechwood Independent,10,Beechwood Elementary School,26010,59026010,210036000059,NKCES,905,565,36,15.7
20182019,59,KENTON,26,Beechwood Independent,20,Beechwood High School,26020,59026020,210036000060,NKCES,905,536,39,13.7
20182019,59,KENTON,26,Beechwood Independent,420,Guardian Angel,26420,59026420,210036002409,NKCES,905,56,5,11.2
20182019,59,KENTON,26,Beechwood Independent,,---District Total---,26,,,NKCES,905,1125,77,14.6
20182019,7,BELL,31,Bell County,12,Bell Central School Center,31012,7031012,210039001881,SESC,907,536,33,16.2
20182019,7,BELL,31,Bell County,340,Bell County Alternative School,31340,7031340,210039000002,SESC,907,25,1,25
20182019,7,BELL,31,Bell County,40,Bell County High School,31040,7031040,210039000062,SESC,907,472,36,13.1
20182019,7,BELL,31,Bell County,180,Frakes School Center,31180,7031180,210039000067,SESC,907,206,12,17.2
20182019,7,BELL,31,Bell County,250,Lone Jack School Center,31250,7031250,210039000068,SESC,907,138,12,11.5
20182019,7,BELL,31,Bell County,13,Page School Center,31013,7031013,210039001882,SESC,907,387,25,15.5
20182019,7,BELL,31,Bell County,345,Right Fork School Center,31345,7031345,210039000072,SESC,907,154,13,11.8
20182019,7,BELL,31,Bell County,390,Yellow Creek School Center,31390,7031390,210039000074,SESC,907,421,35,12
20182019,7,BELL,31,Bell County,,---District Total---,31,,,SESC,907,2214,158,14
20182019,19,CAMPBELL,32,Bellevue Independent,10,Bellevue High School,32010,19032010,210042000075,NKCES,905,245,24,10.2
20182019,19,CAMPBELL,32,Bellevue Independent,20,Grandview Elementary School,32020,19032020,210042000076,NKCES,905,115,18,6.4
20182019,19,CAMPBELL,32,Bellevue Independent,,---District Total---,32,,,NKCES,905,360,42,8.6
20182019,73,MADISON,34,Berea Independent,10,Berea Community Elementary School,34010,73034010,210048000077,SESC,907,375,33,11.4
20182019,73,MADISON,34,Berea Independent,20,Berea Community High School,34020,73034020,210048000078,SESC,907,402,30,13.4
20182019,73,MADISON,34,Berea Independent,15,Berea Community Middle School,34015,73034015,210048001658,SESC,907,396,34,11.6
20182019,73,MADISON,34,Berea Independent,,---District Total---,34,,,SESC,907,912,77,11.8
20182019,8,BOONE,35,Boone County,5,A M Yealey Elementary School,35005,8035005,210051000079,NKCES,905,496,30,16.5
20182019,8,BOONE,35,Boone County,25,Ballyshannon Middle School,35025,8035025,,NKCES,905,370,39,9.5
20182019,8,BOONE,35,Boone County,170,Boone County Alternative Center,35170,8035170,210051002266,NKCES,905,193,22,8.8
20182019,8,BOONE,35,Boone County,30,Boone County High School,35030,8035030,210051000081,NKCES,905,1362,96,14.2
20182019,8,BOONE,35,Boone County,40,Burlington Elementary School,35040,8035040,210051000082,NKCES,905,652,46,14.2
20182019,8,BOONE,35,Boone County,10,Camp Ernst Middle School,35010,8035010,210051001971,NKCES,905,605,60,10.1
20182019,8,BOONE,35,Boone County,41,Charles H. Kelly Elementary School,35041,8035041,210051001519,NKCES,905,310,21,14.8
20182019,8,BOONE,35,Boone County,55,Chester Goodridge Elementary School,35055,8035055,210051000086,NKCES,905,597,43,13.9
20182019,8,BOONE,35,Boone County,45,Conner High School,35045,8035045,210051000084,NKCES,905,1073,93,11.5
20182019,8,BOONE,35,Boone County,43,Conner Middle School,35043,8035043,210051000083,NKCES,905,869,67,13
20182019,8,BOONE,35,Boone County,6,Erpenbeck Elementary School,35006,8035006,210051001710,NKCES,905,519,38,13.7
20182019,8,BOONE,35,Boone County,50,Florence Elementary School,35050,8035050,210051000085,NKCES,905,299,35,8.5
20182019,8,BOONE,35,Boone County,75,Gray Middle School,35075,8035075,210051000638,NKCES,905,875,63,13.9
20182019,8,BOONE,35,Boone County,65,Hillard Collins Elementary School,35065,8035065,210051001608,NKCES,905,452,44,10.3
20182019,8,BOONE,35,Boone County,14,Imagineering Academy,35014,8035014,,NKCES,905,114,8,14.3
20182019,8,BOONE,35,Boone County,71,Larry A. Ryle High School,35071,8035071,210051000011,NKCES,905,1536,113,13.6
20182019,8,BOONE,35,Boone County,17,Longbranch Elementary School,35017,8035017,210051002245,NKCES,905,533,41,13
20182019,8,BOONE,35,Boone County,80,New Haven Elementary School,35080,8035080,210051000088,NKCES,905,633,51,12.4
20182019,8,BOONE,35,Boone County,8,North Pointe Elementary School,35008,8035008,210051001883,NKCES,905,431,32,13.5
20182019,8,BOONE,35,Boone County,81,Ockerman Elementary School,35081,8035081,210051000089,NKCES,905,480,41,11.7
20182019,8,BOONE,35,Boone County,85,Ockerman Middle School,35085,8035085,210051000090,NKCES,905,654,47,13.9
20182019,8,BOONE,35,Boone County,15,Randall K. Cooper High School,35015,8035015,210051002206,NKCES,905,882,83,10.6
20182019,8,BOONE,35,Boone County,20,Rector A. Jones Middle School,35020,8035020,210051000080,NKCES,905,562,56,10
