SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,TOTAL YEARS EXPERIENCE,EDUCATOR COUNT,AVERAGE YEARS OF EXPERIENCE
20192020,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,CKEC,901,631,42,15
20192020,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000046,CKEC,901,581,42,13.8
20192020,005,BARREN,021,Barren County,"",---District Total---,021,"","",GRREC,902,3718,292,12.7
20192020,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000047,GRREC,902,166,17,9.8
20192020,005,BARREN,021,Barren County,011,College Street Campus,021011,005021011,210030001303,GRREC,902,108,9,12
20192020,005,BARREN,021,Barren County,012,BAVEL,021012,005021012,210030001970,GRREC,902,59,3,19.7
20192020,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030002232,GRREC,902,297,29,10.2
20192020,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,1193,77,15.5
20192020,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000049,GRREC,902,244,25,9.8
20192020,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000607,GRREC,902,533,48,11.1
20192020,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000050,GRREC,902,351,23,15.3
20192020,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000051,GRREC,902,255,24,10.6
20192020,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000052,GRREC,902,495,32,15.5
20192020,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000053,GRREC,902,225,18,12.5
20192020,006,BATH,025,Bath County,"",---District Total---,025,"","",KEDC,903,1639,109,15
20192020,006,BATH,025,Bath County,012,Second Chance Academy,025012,006025012,210033002335,KEDC,903,27,2,13.5
20192020,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033002223,KEDC,903,352,24,14.7
20192020,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033001606,KEDC,903,290,23,12.6
20192020,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,006025030,210033000056,KEDC,903,350,23,15.2
20192020,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,640,38,16.8
20192020,059,KENTON,026,Beechwood Independent,"",---District Total---,026,"","",NKCES,905,1194,83,14.4
20192020,059,KENTON,026,Beechwood Independent,010,Beechwood Elementary School,026010,059026010,210036000059,NKCES,905,513,35,14.7
20192020,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,NKCES,905,623,44,14.2
20192020,059,KENTON,026,Beechwood Independent,420,Guardian Angel,026420,059026420,210036002409,NKCES,905,61,5,12.2
20192020,007,BELL,031,Bell County,"",---District Total---,031,"","",SESC,907,2189,165,13.3
20192020,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039001881,SESC,907,516,33,15.6
20192020,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039001882,SESC,907,355,25,14.2
20192020,007,BELL,031,Bell County,040,Bell County High School,031040,007031040,210039000062,SESC,907,440,37,11.9
20192020,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000067,SESC,907,215,12,17.9
20192020,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000068,SESC,907,158,15,10.5
20192020,007,BELL,031,Bell County,340,Bell County Alternative School,031340,007031340,210039000002,SESC,907,26,1,26
20192020,007,BELL,031,Bell County,345,Right Fork School Center,031345,007031345,210039000072,SESC,907,199,16,12.4
20192020,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000074,SESC,907,387,35,11.1
20192020,019,CAMPBELL,032,Bellevue Independent,"",---District Total---,032,"","",NKCES,905,364,40,9.1
20192020,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,NKCES,905,250,23,10.9
20192020,019,CAMPBELL,032,Bellevue Independent,020,Grandview Elementary School,032020,019032020,210042000076,NKCES,905,115,18,6.4
20192020,073,MADISON,034,Berea Independent,"",---District Total---,034,"","",SESC,907,902,69,13.1
20192020,073,MADISON,034,Berea Independent,010,Berea Community Elementary School,034010,073034010,210048000077,SESC,907,357,26,13.7
20192020,073,MADISON,034,Berea Independent,015,Berea Community Middle School,034015,073034015,210048001658,SESC,907,432,34,12.7
20192020,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,073034020,210048000078,SESC,907,405,29,14
20192020,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,15511,1223,12.7
20192020,008,BOONE,035,Boone County,005,A M Yealey Elementary School,035005,008035005,210051000079,NKCES,905,526,30,17.5
20192020,008,BOONE,035,Boone County,006,Erpenbeck Elementary School,035006,008035006,210051001710,NKCES,905,477,36,13.3
20192020,008,BOONE,035,Boone County,008,North Pointe Elementary School,035008,008035008,210051001883,NKCES,905,499,33,15.1
20192020,008,BOONE,035,Boone County,010,Camp Ernst Middle School,035010,008035010,210051001971,NKCES,905,646,58,11.1
20192020,008,BOONE,035,Boone County,011,Shirley Mann Elementary School,035011,008035011,210051002022,NKCES,905,733,46,15.9
20192020,008,BOONE,035,Boone County,012,Thornwilde Elementary School,035012,008035012,210051002290,NKCES,905,433,35,12.4
20192020,008,BOONE,035,Boone County,015,Randall K. Cooper High School,035015,008035015,210051002206,NKCES,905,955,83,11.5
20192020,008,BOONE,035,Boone County,017,Longbranch Elementary School,035017,008035017,210051002245,NKCES,905,542,41,13.2
20192020,008,BOONE,035,Boone County,020,Rector A. Jones Middle School,035020,008035020,210051000080,NKCES,905,544,53,10.3
20192020,008,BOONE,035,Boone County,025,Ballyshannon Middle School,035025,008035025,210051002460,NKCES,905,477,47,10.1
20192020,008,BOONE,035,Boone County,030,Boone County High School,035030,008035030,210051000081,NKCES,905,1235,88,14
20192020,008,BOONE,035,Boone County,040,Burlington Elementary School,035040,008035040,210051000082,NKCES,905,640,43,14.9
20192020,008,BOONE,035,Boone County,041,Charles H. Kelly Elementary School,035041,008035041,210051001519,NKCES,905,331,21,15.8
20192020,008,BOONE,035,Boone County,043,Conner Middle School,035043,008035043,210051000083,NKCES,905,948,70,13.5
20192020,008,BOONE,035,Boone County,045,Conner High School,035045,008035045,210051000084,NKCES,905,1101,91,12.1
20192020,008,BOONE,035,Boone County,050,Florence Elementary School,035050,008035050,210051000085,NKCES,905,298,35,8.5
20192020,008,BOONE,035,Boone County,055,Chester Goodridge Elementary School,035055,008035055,210051000086,NKCES,905,460,40,11.5
20192020,008,BOONE,035,Boone County,065,Hillard Collins Elementary School,035065,008035065,210051001608,NKCES,905,492,44,11.2
20192020,008,BOONE,035,Boone County,071,Larry A. Ryle High School,035071,008035071,210051000011,NKCES,905,1520,116,13.1
20192020,008,BOONE,035,Boone County,075,Gray Middle School,035075,008035075,210051000638,NKCES,905,899,62,14.5
20192020,008,BOONE,035,Boone County,080,New Haven Elementary School,035080,008035080,210051000088,NKCES,905,651,50,13
20192020,008,BOONE,035,Boone County,081,Ockerman Elementary School,035081,008035081,210051000089,NKCES,905,516,44,11.7
20192020,008,BOONE,035,Boone County,083,Stephens Elementary School,035083,008035083,210051001695,NKCES,905,476,39,12.2
20192020,008,BOONE,035,Boone County,085,Ockerman Middle School,035085,008035085,210051000090,NKCES,905,609,46,13.2
20192020,008,BOONE,035,Boone County,170,Boone County Alternative Center,035170,008035170,210051002266,NKCES,905,221,22,10
20192020,009,BOURBON,041,Bourbon County,"",---District Total---,041,"","",CKEC,901,1689,165,10.2
20192020,009,BOURBON,041,Bourbon County,010,Bourbon Central Elementary School,041010,009041010,210054001576,CKEC,901,234,26,9
20192020,009,BOURBON,041,Bourbon County,011,Bourbon County Preschool Headstart,041011,009041011,210054002054,CKEC,901,73,10,7.3
20192020,009,BOURBON,041,Bourbon County,030,Cane Ridge Elementary School,041030,009041030,210054000024,CKEC,901,382,31,12.3
20192020,009,BOURBON,041,Bourbon County,090,North Middletown Elementary School,041090,009041090,210054000096,CKEC,901,46,8,5.8
20192020,009,BOURBON,041,Bourbon County,110,Bourbon County High School,041110,009041110,210054000098,CKEC,901,498,52,9.6
20192020,009,BOURBON,041,Bourbon County,120,Bourbon County Middle School,041120,009041120,210054000099,CKEC,901,523,41,12.8
20192020,114,WARREN,042,Bowling Green Independent,"",---District Total---,042,"","",GRREC,902,3262,266,12.3
20192020,114,WARREN,042,Bowling Green Independent,010,Dishman McGinnis Elementary School,042010,114042010,210057000100,GRREC,902,473,34,13.9
20192020,114,WARREN,042,Bowling Green Independent,011,Childrens Crisis Stabilization Unit,042011,114042011,210057001830,GRREC,902,13,1,13
20192020,114,WARREN,042,Bowling Green Independent,013,Warren Regional Juvenile Detention Ctr,042013,114042013,210057001911,GRREC,902,57,3,19
20192020,114,WARREN,042,Bowling Green Independent,057,Parker-Bennett-Curry School,042057,114042057,210057000102,GRREC,902,300,26,11.5
20192020,114,WARREN,042,Bowling Green Independent,060,Potter Gray Elementary,042060,114042060,210057000103,GRREC,902,377,25,15.1
20192020,114,WARREN,042,Bowling Green Independent,065,Bowling Green Junior High,042065,114042065,210057000104,GRREC,902,769,63,12.2
20192020,114,WARREN,042,Bowling Green Independent,070,Bowling Green High School,042070,114042070,210057000105,GRREC,902,933,81,11.5
20192020,114,WARREN,042,Bowling Green Independent,080,T C Cherry Elementary School,042080,114042080,210057000106,GRREC,902,312,27,11.6
20192020,114,WARREN,042,Bowling Green Independent,090,W R McNeill Elementary School,042090,114042090,210057000107,GRREC,902,336,26,12.9
20192020,114,WARREN,042,Bowling Green Independent,098,Bowling Green Learning Center,042098,114042098,210057001696,GRREC,902,68,6,11.3
20192020,010,BOYD,045,Boyd County,"",---District Total---,045,"","",KEDC,903,2735,223,12.3
20192020,010,BOYD,045,Boyd County,010,Boyd County High School,045010,010045010,210062000108,KEDC,903,914,64,14.3
20192020,010,BOYD,045,Boyd County,020,Cannonsburg Elementary School,045020,010045020,210062000109,KEDC,903,251,19,13.2
20192020,010,BOYD,045,Boyd County,035,Boyd County Middle School,045035,010045035,210062000112,KEDC,903,473,44,10.8
20192020,010,BOYD,045,Boyd County,045,Boyd County Central School,045045,010045045,210062002466,KEDC,903,33,3,11
20192020,010,BOYD,045,Boyd County,080,Summit Elementary School,045080,010045080,210062000117,KEDC,903,436,29,15
20192020,010,BOYD,045,Boyd County,085,Ramey-Estep High School,045085,010045085,210062000640,KEDC,903,138,15,9.2
20192020,010,BOYD,045,Boyd County,095,Catlettsburg Elementary School,045095,010045095,210062000118,KEDC,903,220,18,12.2
20192020,010,BOYD,045,Boyd County,097,Ponderosa Elementary School,045097,010045097,210062000030,KEDC,903,258,21,12.3
20192020,010,BOYD,045,Boyd County,198,Boyd Co Early Childhood Academy,045198,010045198,210062001923,KEDC,903,116,14,8.3
20192020,011,BOYLE,051,Boyle County,"",---District Total---,051,"","",CKEC,901,1977,163,12.1
20192020,011,BOYLE,051,Boyle County,003,Boyle County Middle School,051003,011051003,210063000119,CKEC,901,514,41,12.5
20192020,011,BOYLE,051,Boyle County,004,Boyle County Day Treatment,051004,011051004,210063001713,CKEC,901,32,2,16
