Fiscal Year,District,Rank,Years,,I,II,III
2015 - 2016,001 Adair County,I,0,,42523,0,0
2015 - 2016,001 Adair County,I,1,,42523,0,0
2015 - 2016,001 Adair County,I,2,,42523,0,0
2015 - 2016,001 Adair County,I,3,,42523,0,0
2015 - 2016,001 Adair County,I,4,,46445,0,0
2015 - 2016,001 Adair County,I,5,,46445,0,0
2015 - 2016,001 Adair County,I,6,,46445,0,0
2015 - 2016,001 Adair County,I,7,,46445,0,0
2015 - 2016,001 Adair County,I,8,,46445,0,0
2015 - 2016,001 Adair County,I,9,,46445,0,0
2015 - 2016,001 Adair County,I,10,,51536,0,0
2015 - 2016,001 Adair County,I,11,,51536,0,0
2015 - 2016,001 Adair County,I,12,,51536,0,0
2015 - 2016,001 Adair County,I,13,,51536,0,0
2015 - 2016,001 Adair County,I,14,,51536,0,0
2015 - 2016,001 Adair County,I,15,,53032,0,0
2015 - 2016,001 Adair County,I,16,,53032,0,0
2015 - 2016,001 Adair County,I,17,,53032,0,0
2015 - 2016,001 Adair County,I,18,,53032,0,0
2015 - 2016,001 Adair County,I,19,,53032,0,0
2015 - 2016,001 Adair County,I,20,,53772,0,0
2015 - 2016,001 Adair County,I,21,,53772,0,0
2015 - 2016,001 Adair County,I,22,,53772,0,0
2015 - 2016,001 Adair County,I,23,,53772,0,0
2015 - 2016,001 Adair County,I,24,,53772,0,0
2015 - 2016,001 Adair County,I,25,,53772,0,0
2015 - 2016,001 Adair County,I,26,,53772,0,0
2015 - 2016,001 Adair County,I,27,,53772,0,0
2015 - 2016,001 Adair County,I,28,,53772,0,0
2015 - 2016,001 Adair County,I,29,,53772,0,0
2015 - 2016,001 Adair County,I,30,,53772,0,0
2015 - 2016,001 Adair County,I,31,,53772,0,0
2015 - 2016,001 Adair County,I,32,,53772,0,0
2015 - 2016,001 Adair County,I,33,,53772,0,0
2015 - 2016,001 Adair County,I,34,,53772,0,0
2015 - 2016,001 Adair County,I,35,,53772,0,0
2015 - 2016,001 Adair County,I,36,,53772,0,0
2015 - 2016,001 Adair County,I,37,,53772,0,0
2015 - 2016,001 Adair County,I,38,,53772,0,0
2015 - 2016,001 Adair County,I,39,,53772,0,0
2015 - 2016,001 Adair County,I,40,,53772,0,0
2015 - 2016,001 Adair County,II,0,,38602,0,0
2015 - 2016,001 Adair County,II,1,,38602,0,0
2015 - 2016,001 Adair County,II,2,,38602,0,0
2015 - 2016,001 Adair County,II,3,,38602,0,0
2015 - 2016,001 Adair County,II,4,,42523,0,0
2015 - 2016,001 Adair County,II,5,,42523,0,0
2015 - 2016,001 Adair County,II,6,,42523,0,0
2015 - 2016,001 Adair County,II,7,,42523,0,0
2015 - 2016,001 Adair County,II,8,,42523,0,0
2015 - 2016,001 Adair County,II,9,,42523,0,0
2015 - 2016,001 Adair County,II,10,,47581,0,0
2015 - 2016,001 Adair County,II,11,,47581,0,0
2015 - 2016,001 Adair County,II,12,,47581,0,0
2015 - 2016,001 Adair County,II,13,,47581,0,0
2015 - 2016,001 Adair County,II,14,,47581,0,0
2015 - 2016,001 Adair County,II,15,,49093,0,0
2015 - 2016,001 Adair County,II,16,,49093,0,0
2015 - 2016,001 Adair County,II,17,,49093,0,0
2015 - 2016,001 Adair County,II,18,,49093,0,0
2015 - 2016,001 Adair County,II,19,,49093,0,0
2015 - 2016,001 Adair County,II,20,,49833,0,0
2015 - 2016,001 Adair County,II,21,,49833,0,0
2015 - 2016,001 Adair County,II,22,,49833,0,0
2015 - 2016,001 Adair County,II,23,,49833,0,0
2015 - 2016,001 Adair County,II,24,,49833,0,0
2015 - 2016,001 Adair County,II,25,,49833,0,0
2015 - 2016,001 Adair County,II,26,,49833,0,0
2015 - 2016,001 Adair County,II,27,,49833,0,0
2015 - 2016,001 Adair County,II,28,,49833,0,0
2015 - 2016,001 Adair County,II,29,,49833,0,0
2015 - 2016,001 Adair County,II,30,,49833,0,0
2015 - 2016,001 Adair County,II,31,,49833,0,0
2015 - 2016,001 Adair County,II,32,,49833,0,0
2015 - 2016,001 Adair County,II,33,,49833,0,0
2015 - 2016,001 Adair County,II,34,,49833,0,0
2015 - 2016,001 Adair County,II,35,,49833,0,0
2015 - 2016,001 Adair County,II,36,,49833,0,0
2015 - 2016,001 Adair County,II,37,,49833,0,0
2015 - 2016,001 Adair County,II,38,,49833,0,0
2015 - 2016,001 Adair County,II,39,,49833,0,0
2015 - 2016,001 Adair County,II,40,,49833,0,0
2015 - 2016,001 Adair County,III,0,,34646,0,0
2015 - 2016,001 Adair County,III,1,,34646,0,0
2015 - 2016,001 Adair County,III,2,,34646,0,0
2015 - 2016,001 Adair County,III,3,,34646,0,0
2015 - 2016,001 Adair County,III,4,,38602,0,0
2015 - 2016,001 Adair County,III,5,,38602,0,0
2015 - 2016,001 Adair County,III,6,,38602,0,0
2015 - 2016,001 Adair County,III,7,,38602,0,0
2015 - 2016,001 Adair County,III,8,,38602,0,0
2015 - 2016,001 Adair County,III,9,,38602,0,0
2015 - 2016,001 Adair County,III,10,,43625,0,0
2015 - 2016,001 Adair County,III,11,,43625,0,0
2015 - 2016,001 Adair County,III,12,,43625,0,0
2015 - 2016,001 Adair County,III,13,,43625,0,0
2015 - 2016,001 Adair County,III,14,,43625,0,0
2015 - 2016,001 Adair County,III,15,,45138,0,0
2015 - 2016,001 Adair County,III,16,,45138,0,0
2015 - 2016,001 Adair County,III,17,,45138,0,0
2015 - 2016,001 Adair County,III,18,,45138,0,0
2015 - 2016,001 Adair County,III,19,,45138,0,0
2015 - 2016,001 Adair County,III,20,,45861,0,0
2015 - 2016,001 Adair County,III,21,,45861,0,0
2015 - 2016,001 Adair County,III,22,,45861,0,0
2015 - 2016,001 Adair County,III,23,,45861,0,0
2015 - 2016,001 Adair County,III,24,,45861,0,0
2015 - 2016,001 Adair County,III,25,,45861,0,0
2015 - 2016,001 Adair County,III,26,,45861,0,0
2015 - 2016,001 Adair County,III,27,,45861,0,0
2015 - 2016,001 Adair County,III,28,,45861,0,0
2015 - 2016,001 Adair County,III,29,,45861,0,0
2015 - 2016,001 Adair County,III,30,,45861,0,0
2015 - 2016,001 Adair County,III,31,,45861,0,0
2015 - 2016,001 Adair County,III,32,,45861,0,0
2015 - 2016,001 Adair County,III,33,,45861,0,0
2015 - 2016,001 Adair County,III,34,,45861,0,0
2015 - 2016,001 Adair County,III,35,,45861,0,0
2015 - 2016,001 Adair County,III,36,,45861,0,0
2015 - 2016,001 Adair County,III,37,,45861,0,0
2015 - 2016,001 Adair County,III,38,,45861,0,0
2015 - 2016,001 Adair County,III,39,,45861,0,0
2015 - 2016,001 Adair County,III,40,,45861,0,0
2015 - 2016,001 Adair County,IV,0,,30533,0,0
2015 - 2016,001 Adair County,IV,1,,30533,0,0
2015 - 2016,001 Adair County,IV,2,,30533,0,0
2015 - 2016,001 Adair County,IV,3,,30533,0,0
2015 - 2016,001 Adair County,IV,4,,30533,0,0
2015 - 2016,001 Adair County,IV,5,,30533,0,0
2015 - 2016,001 Adair County,IV,6,,30533,0,0
2015 - 2016,001 Adair County,IV,7,,30533,0,0
2015 - 2016,001 Adair County,IV,8,,30533,0,0
