Fiscal Year,District,Rank,Years,,I,II,III
2018 - 2019,001 Adair County,I,0,,44000,0,0
2018 - 2019,001 Adair County,I,1,,44800,0,0
2018 - 2019,001 Adair County,I,2,,45778,0,0
2018 - 2019,001 Adair County,I,3,,46693,0,0
2018 - 2019,001 Adair County,I,4,,47627,0,0
2018 - 2019,001 Adair County,I,5,,48580,0,0
2018 - 2019,001 Adair County,I,6,,49551,0,0
2018 - 2019,001 Adair County,I,7,,50542,0,0
2018 - 2019,001 Adair County,I,8,,51553,0,0
2018 - 2019,001 Adair County,I,9,,52584,0,0
2018 - 2019,001 Adair County,I,10,,53500,0,0
2018 - 2019,001 Adair County,I,11,,54035,0,0
2018 - 2019,001 Adair County,I,12,,54575,0,0
2018 - 2019,001 Adair County,I,13,,55121,0,0
2018 - 2019,001 Adair County,I,14,,55672,0,0
2018 - 2019,001 Adair County,I,15,,55811,0,0
2018 - 2019,001 Adair County,I,16,,55951,0,0
2018 - 2019,001 Adair County,I,17,,56091,0,0
2018 - 2019,001 Adair County,I,18,,56231,0,0
2018 - 2019,001 Adair County,I,19,,56372,0,0
2018 - 2019,001 Adair County,I,20,,56513,0,0
2018 - 2019,001 Adair County,I,21,,56654,0,0
2018 - 2019,001 Adair County,I,22,,56796,0,0
2018 - 2019,001 Adair County,I,23,,56938,0,0
2018 - 2019,001 Adair County,I,24,,57080,0,0
2018 - 2019,001 Adair County,I,25,,57223,0,0
2018 - 2019,001 Adair County,I,26,,57366,0,0
2018 - 2019,001 Adair County,I,27,,57509,0,0
2018 - 2019,001 Adair County,I,28,,57653,0,0
2018 - 2019,001 Adair County,I,29,,57797,0,0
2018 - 2019,001 Adair County,I,30,,57941,0,0
2018 - 2019,001 Adair County,I,31,,57941,0,0
2018 - 2019,001 Adair County,I,32,,57941,0,0
2018 - 2019,001 Adair County,I,33,,57941,0,0
2018 - 2019,001 Adair County,I,34,,57941,0,0
2018 - 2019,001 Adair County,I,35,,57941,0,0
2018 - 2019,001 Adair County,I,36,,57941,0,0
2018 - 2019,001 Adair County,I,37,,57941,0,0
2018 - 2019,001 Adair County,I,38,,57941,0,0
2018 - 2019,001 Adair County,I,39,,57941,0,0
2018 - 2019,001 Adair County,I,40,,57941,0,0
2018 - 2019,001 Adair County,II,0,,40000,0,0
2018 - 2019,001 Adair County,II,1,,40800,0,0
2018 - 2019,001 Adair County,II,2,,41616,0,0
2018 - 2019,001 Adair County,II,3,,42448,0,0
2018 - 2019,001 Adair County,II,4,,43500,0,0
2018 - 2019,001 Adair County,II,5,,44370,0,0
2018 - 2019,001 Adair County,II,6,,45257,0,0
2018 - 2019,001 Adair County,II,7,,46163,0,0
2018 - 2019,001 Adair County,II,8,,47086,0,0
