Fiscal Year,District,Rank,Years,I,II,III
2020 - 2021,001 Adair County,I,0.00,44000,0,0
2020 - 2021,001 Adair County,I,1.00,44800,0,0
2020 - 2021,001 Adair County,I,2.00,45778,0,0
2020 - 2021,001 Adair County,I,3.00,46693,0,0
2020 - 2021,001 Adair County,I,4.00,47627,0,0
2020 - 2021,001 Adair County,I,5.00,48580,0,0
2020 - 2021,001 Adair County,I,6.00,49551,0,0
2020 - 2021,001 Adair County,I,7.00,50542,0,0
2020 - 2021,001 Adair County,I,8.00,51553,0,0
2020 - 2021,001 Adair County,I,9.00,52584,0,0
2020 - 2021,001 Adair County,I,10.00,53500,0,0
2020 - 2021,001 Adair County,I,11.00,54035,0,0
2020 - 2021,001 Adair County,I,12.00,54575,0,0
2020 - 2021,001 Adair County,I,13.00,55121,0,0
2020 - 2021,001 Adair County,I,14.00,55672,0,0
2020 - 2021,001 Adair County,I,15.00,55811,0,0
2020 - 2021,001 Adair County,I,16.00,55951,0,0
2020 - 2021,001 Adair County,I,17.00,56091,0,0
2020 - 2021,001 Adair County,I,18.00,56231,0,0
2020 - 2021,001 Adair County,I,19.00,56372,0,0
2020 - 2021,001 Adair County,I,20.00,56513,0,0
2020 - 2021,001 Adair County,I,21.00,56654,0,0
2020 - 2021,001 Adair County,I,22.00,56796,0,0
2020 - 2021,001 Adair County,I,23.00,56938,0,0
2020 - 2021,001 Adair County,I,24.00,57080,0,0
2020 - 2021,001 Adair County,I,25.00,57223,0,0
2020 - 2021,001 Adair County,I,26.00,57366,0,0
2020 - 2021,001 Adair County,I,27.00,57509,0,0
2020 - 2021,001 Adair County,I,28.00,57653,0,0
2020 - 2021,001 Adair County,I,29.00,57797,0,0
2020 - 2021,001 Adair County,I,30.00,57941,0,0
2020 - 2021,001 Adair County,I,31.00,57941,0,0
2020 - 2021,001 Adair County,I,32.00,57941,0,0
2020 - 2021,001 Adair County,I,33.00,57941,0,0
2020 - 2021,001 Adair County,I,34.00,57941,0,0
2020 - 2021,001 Adair County,I,35.00,57941,0,0
2020 - 2021,001 Adair County,I,36.00,57941,0,0
2020 - 2021,001 Adair County,I,37.00,57941,0,0
2020 - 2021,001 Adair County,I,38.00,57941,0,0
2020 - 2021,001 Adair County,I,39.00,57941,0,0
2020 - 2021,001 Adair County,I,40.00,57941,0,0
2020 - 2021,001 Adair County,II,0.00,40000,0,0
2020 - 2021,001 Adair County,II,1.00,40800,0,0
2020 - 2021,001 Adair County,II,2.00,41616,0,0
2020 - 2021,001 Adair County,II,3.00,42448,0,0
2020 - 2021,001 Adair County,II,4.00,43500,0,0
2020 - 2021,001 Adair County,II,5.00,44370,0,0
2020 - 2021,001 Adair County,II,6.00,45257,0,0
2020 - 2021,001 Adair County,II,7.00,46163,0,0
2020 - 2021,001 Adair County,II,8.00,47086,0,0
2020 - 2021,001 Adair County,II,9.00,48028,0,0
2020 - 2021,001 Adair County,II,10.00,49500,0,0
2020 - 2021,001 Adair County,II,11.00,49995,0,0
2020 - 2021,001 Adair County,II,12.00,50495,0,0
2020 - 2021,001 Adair County,II,13.00,51000,0,0
2020 - 2021,001 Adair County,II,14.00,51510,0,0
2020 - 2021,001 Adair County,II,15.00,51639,0,0
2020 - 2021,001 Adair County,II,16.00,51768,0,0
2020 - 2021,001 Adair County,II,17.00,51897,0,0
2020 - 2021,001 Adair County,II,18.00,52027,0,0
2020 - 2021,001 Adair County,II,19.00,52157,0,0
2020 - 2021,001 Adair County,II,20.00,52418,0,0
2020 - 2021,001 Adair County,II,21.00,52549,0,0
