Fiscal Year,District,Rank,Years,I,II,III
2020 - 2021,001 Adair County,II,22.00,52680,0,0
2020 - 2021,001 Adair County,II,23.00,52812,0,0
2020 - 2021,001 Adair County,II,24.00,52944,0,0
2020 - 2021,001 Adair County,II,25.00,53076,0,0
2020 - 2021,001 Adair County,II,26.00,53209,0,0
2020 - 2021,001 Adair County,II,27.00,53342,0,0
2020 - 2021,001 Adair County,II,28.00,53475,0,0
2020 - 2021,001 Adair County,II,29.00,53609,0,0
2020 - 2021,001 Adair County,II,30.00,53743,0,0
2020 - 2021,001 Adair County,II,31.00,53743,0,0
2020 - 2021,001 Adair County,II,32.00,53743,0,0
2020 - 2021,001 Adair County,II,33.00,53743,0,0
2020 - 2021,001 Adair County,II,34.00,53743,0,0
2020 - 2021,001 Adair County,II,35.00,53743,0,0
2020 - 2021,001 Adair County,II,36.00,53743,0,0
2020 - 2021,001 Adair County,II,37.00,53743,0,0
2020 - 2021,001 Adair County,II,38.00,53743,0,0
2020 - 2021,001 Adair County,II,39.00,53743,0,0
2020 - 2021,001 Adair County,II,40.00,53743,0,0
2020 - 2021,001 Adair County,III,0.00,36000,0,0
2020 - 2021,001 Adair County,III,1.00,36720,0,0
2020 - 2021,001 Adair County,III,2.00,37454,0,0
2020 - 2021,001 Adair County,III,3.00,38203,0,0
2020 - 2021,001 Adair County,III,4.00,39000,0,0
2020 - 2021,001 Adair County,III,5.00,39780,0,0
2020 - 2021,001 Adair County,III,6.00,40576,0,0
2020 - 2021,001 Adair County,III,7.00,41387,0,0
2020 - 2021,001 Adair County,III,8.00,42215,0,0
2020 - 2021,001 Adair County,III,9.00,43059,0,0
2020 - 2021,001 Adair County,III,10.00,44500,0,0
2020 - 2021,001 Adair County,III,11.00,44945,0,0
2020 - 2021,001 Adair County,III,12.00,45394,0,0
2020 - 2021,001 Adair County,III,13.00,45848,0,0
2020 - 2021,001 Adair County,III,14.00,46307,0,0
2020 - 2021,001 Adair County,III,15.00,46770,0,0
2020 - 2021,001 Adair County,III,16.00,47238,0,0
2020 - 2021,001 Adair County,III,17.00,47710,0,0
2020 - 2021,001 Adair County,III,18.00,48187,0,0
2020 - 2021,001 Adair County,III,19.00,48669,0,0
2020 - 2021,001 Adair County,III,20.00,48791,0,0
2020 - 2021,001 Adair County,III,21.00,48913,0,0
2020 - 2021,001 Adair County,III,22.00,49035,0,0
2020 - 2021,001 Adair County,III,23.00,49158,0,0
2020 - 2021,001 Adair County,III,24.00,49280,0,0
2020 - 2021,001 Adair County,III,25.00,49404,0,0
2020 - 2021,001 Adair County,III,26.00,49527,0,0
2020 - 2021,001 Adair County,III,27.00,49651,0,0
2020 - 2021,001 Adair County,III,28.00,49775,0,0
2020 - 2021,001 Adair County,III,29.00,49899,0,0
2020 - 2021,001 Adair County,III,30.00,50024,0,0
2020 - 2021,001 Adair County,III,31.00,50024,0,0
2020 - 2021,001 Adair County,III,32.00,50024,0,0
2020 - 2021,001 Adair County,III,33.00,50024,0,0
2020 - 2021,001 Adair County,III,34.00,50024,0,0
2020 - 2021,001 Adair County,III,35.00,50024,0,0
2020 - 2021,001 Adair County,III,36.00,50024,0,0
2020 - 2021,001 Adair County,III,37.00,50024,0,0
2020 - 2021,001 Adair County,III,38.00,50024,0,0
2020 - 2021,001 Adair County,III,39.00,50024,0,0
2020 - 2021,001 Adair County,III,40.00,50024,0,0
2020 - 2021,001 Adair County,IV,0.00,30533,0,0
2020 - 2021,001 Adair County,IV,1.00,30533,0,0
2020 - 2021,001 Adair County,IV,2.00,30533,0,0
2020 - 2021,001 Adair County,IV,3.00,30533,0,0
2020 - 2021,001 Adair County,IV,4.00,30533,0,0
2020 - 2021,001 Adair County,IV,5.00,30533,0,0
2020 - 2021,001 Adair County,IV,6.00,30533,0,0
2020 - 2021,001 Adair County,IV,7.00,30533,0,0
2020 - 2021,001 Adair County,IV,8.00,30533,0,0
2020 - 2021,001 Adair County,IV,9.00,30533,0,0
2020 - 2021,001 Adair County,IV,10.00,30533,0,0
2020 - 2021,001 Adair County,IV,11.00,30533,0,0
2020 - 2021,001 Adair County,IV,12.00,30533,0,0
2020 - 2021,001 Adair County,IV,13.00,30533,0,0
2020 - 2021,001 Adair County,IV,14.00,30533,0,0
2020 - 2021,001 Adair County,IV,15.00,30533,0,0
2020 - 2021,001 Adair County,IV,16.00,30533,0,0
2020 - 2021,001 Adair County,IV,17.00,30533,0,0
2020 - 2021,001 Adair County,IV,18.00,30533,0,0
2020 - 2021,001 Adair County,IV,19.00,30533,0,0
2020 - 2021,001 Adair County,IV,20.00,30533,0,0
2020 - 2021,001 Adair County,IV,21.00,30533,0,0
2020 - 2021,001 Adair County,IV,22.00,30533,0,0
2020 - 2021,001 Adair County,IV,23.00,30533,0,0
2020 - 2021,001 Adair County,IV,24.00,30533,0,0
2020 - 2021,001 Adair County,IV,25.00,30533,0,0
2020 - 2021,001 Adair County,IV,26.00,30533,0,0
2020 - 2021,001 Adair County,IV,27.00,30533,0,0
2020 - 2021,001 Adair County,IV,28.00,30533,0,0
2020 - 2021,001 Adair County,IV,29.00,30533,0,0
2020 - 2021,001 Adair County,IV,30.00,30533,0,0
2020 - 2021,001 Adair County,IV,31.00,30533,0,0
2020 - 2021,001 Adair County,IV,32.00,30533,0,0
2020 - 2021,001 Adair County,IV,33.00,30533,0,0
2020 - 2021,001 Adair County,IV,34.00,30533,0,0
2020 - 2021,001 Adair County,IV,35.00,30533,0,0
2020 - 2021,001 Adair County,IV,36.00,30533,0,0
2020 - 2021,001 Adair County,IV,37.00,30533,0,0
2020 - 2021,001 Adair County,IV,38.00,30533,0,0
2020 - 2021,001 Adair County,IV,39.00,30533,0,0
2020 - 2021,001 Adair County,IV,40.00,30533,0,0
2020 - 2021,001 Adair County,V,0.00,28541,0,0
2020 - 2021,001 Adair County,V,1.00,28541,0,0
2020 - 2021,001 Adair County,V,2.00,28541,0,0
2020 - 2021,001 Adair County,V,3.00,28541,0,0
2020 - 2021,001 Adair County,V,4.00,28541,0,0
2020 - 2021,001 Adair County,V,5.00,28541,0,0
2020 - 2021,001 Adair County,V,6.00,28541,0,0
2020 - 2021,001 Adair County,V,7.00,28541,0,0
2020 - 2021,001 Adair County,V,8.00,28541,0,0
2020 - 2021,001 Adair County,V,9.00,28541,0,0
2020 - 2021,001 Adair County,V,10.00,28541,0,0
2020 - 2021,001 Adair County,V,11.00,28541,0,0
2020 - 2021,001 Adair County,V,12.00,28541,0,0
2020 - 2021,001 Adair County,V,13.00,28541,0,0
2020 - 2021,001 Adair County,V,14.00,28541,0,0
2020 - 2021,001 Adair County,V,15.00,28541,0,0
2020 - 2021,001 Adair County,V,16.00,28541,0,0
2020 - 2021,001 Adair County,V,17.00,28541,0,0
2020 - 2021,001 Adair County,V,18.00,28541,0,0
2020 - 2021,001 Adair County,V,19.00,28541,0,0
2020 - 2021,001 Adair County,V,20.00,28541,0,0
2020 - 2021,001 Adair County,V,21.00,28541,0,0
2020 - 2021,001 Adair County,V,22.00,28541,0,0
2020 - 2021,001 Adair County,V,23.00,28541,0,0
2020 - 2021,001 Adair County,V,24.00,28541,0,0
2020 - 2021,001 Adair County,V,25.00,28541,0,0
2020 - 2021,001 Adair County,V,26.00,28541,0,0
2020 - 2021,001 Adair County,V,27.00,28541,0,0
2020 - 2021,001 Adair County,V,28.00,28541,0,0
2020 - 2021,001 Adair County,V,29.00,28541,0,0
2020 - 2021,001 Adair County,V,30.00,28541,0,0
2020 - 2021,001 Adair County,V,31.00,28541,0,0
2020 - 2021,001 Adair County,V,32.00,28541,0,0
2020 - 2021,001 Adair County,V,33.00,28541,0,0
2020 - 2021,001 Adair County,V,34.00,28541,0,0
2020 - 2021,001 Adair County,V,35.00,28541,0,0
2020 - 2021,001 Adair County,V,36.00,28541,0,0
2020 - 2021,001 Adair County,V,37.00,28541,0,0
2020 - 2021,001 Adair County,V,38.00,28541,0,0
2020 - 2021,001 Adair County,V,39.00,28541,0,0
2020 - 2021,001 Adair County,V,40.00,28541,0,0
2020 - 2021,005 Allen County,I,0.00,46104,"48,350.00",0
2020 - 2021,005 Allen County,I,1.00,46194,"48,441.00",0
2020 - 2021,005 Allen County,I,2.00,46290,"48,540.00",0
2020 - 2021,005 Allen County,I,3.00,46377,"48,628.00",0
2020 - 2021,005 Allen County,I,4.00,50717,"52,966.00",0
2020 - 2021,005 Allen County,I,5.00,50806,"53,058.00",0
2020 - 2021,005 Allen County,I,6.00,50898,"53,153.00",0
2020 - 2021,005 Allen County,I,7.00,50987,"53,242.00",0
2020 - 2021,005 Allen County,I,8.00,51078,"53,335.00",0
2020 - 2021,005 Allen County,I,9.00,51169,"53,426.00",0
2020 - 2021,005 Allen County,I,10.00,56882,"59,138.00",0
2020 - 2021,005 Allen County,I,11.00,56971,"59,229.00",0
2020 - 2021,005 Allen County,I,12.00,57062,"59,317.00",0
2020 - 2021,005 Allen County,I,13.00,57150,"59,409.00",0
2020 - 2021,005 Allen County,I,14.00,57238,"59,501.00",0
2020 - 2021,005 Allen County,I,15.00,58504,"60,764.00",0
2020 - 2021,005 Allen County,I,16.00,58592,"60,856.00",0
2020 - 2021,005 Allen County,I,17.00,58685,"60,947.00",0
2020 - 2021,005 Allen County,I,18.00,58775,"61,041.00",0
2020 - 2021,005 Allen County,I,19.00,58869,"61,135.00",0
2020 - 2021,005 Allen County,I,20.00,59778,"62,047.00",0
2020 - 2021,005 Allen County,I,21.00,59871,"62,139.00",0
2020 - 2021,005 Allen County,I,22.00,59965,"62,234.00",0
2020 - 2021,005 Allen County,I,23.00,60056,"62,328.00",0
2020 - 2021,005 Allen County,I,24.00,60148,"62,423.00",0
2020 - 2021,005 Allen County,I,25.00,60856,"63,131.00",0
2020 - 2021,005 Allen County,I,26.00,60980,"63,254.00",0
2020 - 2021,005 Allen County,I,27.00,61101,"63,374.00",0
2020 - 2021,005 Allen County,I,28.00,61223,"63,502.00",0
2020 - 2021,005 Allen County,I,29.00,61346,"63,623.00",0
2020 - 2021,005 Allen County,I,30.00,63187,"65,466.00",0
2020 - 2021,005 Allen County,I,31.00,63187,"65,466.00",0
2020 - 2021,005 Allen County,I,32.00,63187,"65,466.00",0
2020 - 2021,005 Allen County,I,33.00,63187,"65,466.00",0
2020 - 2021,005 Allen County,I,34.00,63187,"65,466.00",0
2020 - 2021,005 Allen County,I,35.00,63187,"65,466.00",0
2020 - 2021,005 Allen County,I,36.00,63187,"65,466.00",0
2020 - 2021,005 Allen County,I,37.00,63187,"65,466.00",0
2020 - 2021,005 Allen County,I,38.00,63187,"65,466.00",0
2020 - 2021,005 Allen County,I,39.00,63187,"65,466.00",0
2020 - 2021,005 Allen County,I,40.00,63187,"65,466.00",0
2020 - 2021,005 Allen County,II,0.00,42117,0,0
2020 - 2021,005 Allen County,II,1.00,42207,0,0
2020 - 2021,005 Allen County,II,2.00,42293,0,0
2020 - 2021,005 Allen County,II,3.00,42381,0,0
2020 - 2021,005 Allen County,II,4.00,46039,0,0
2020 - 2021,005 Allen County,II,5.00,46131,0,0
2020 - 2021,005 Allen County,II,6.00,46218,0,0
2020 - 2021,005 Allen County,II,7.00,46310,0,0
2020 - 2021,005 Allen County,II,8.00,46402,0,0
2020 - 2021,005 Allen County,II,9.00,46491,0,0
2020 - 2021,005 Allen County,II,10.00,52635,0,0
2020 - 2021,005 Allen County,II,11.00,52726,0,0
2020 - 2021,005 Allen County,II,12.00,52816,0,0
2020 - 2021,005 Allen County,II,13.00,52904,0,0
2020 - 2021,005 Allen County,II,14.00,52996,0,0
2020 - 2021,005 Allen County,II,15.00,54275,0,0
2020 - 2021,005 Allen County,II,16.00,54367,0,0
2020 - 2021,005 Allen County,II,17.00,54458,0,0
2020 - 2021,005 Allen County,II,18.00,54546,0,0
2020 - 2021,005 Allen County,II,19.00,54639,0,0
2020 - 2021,005 Allen County,II,20.00,56370,0,0
2020 - 2021,005 Allen County,II,21.00,56464,0,0
2020 - 2021,005 Allen County,II,22.00,56555,0,0
2020 - 2021,005 Allen County,II,23.00,56647,0,0
2020 - 2021,005 Allen County,II,24.00,56741,0,0
2020 - 2021,005 Allen County,II,25.00,57446,0,0
2020 - 2021,005 Allen County,II,26.00,57569,0,0
2020 - 2021,005 Allen County,II,27.00,57692,0,0
2020 - 2021,005 Allen County,II,28.00,57814,0,0
2020 - 2021,005 Allen County,II,29.00,57938,0,0
2020 - 2021,005 Allen County,II,30.00,59780,0,0
2020 - 2021,005 Allen County,II,31.00,59780,0,0
2020 - 2021,005 Allen County,II,32.00,59780,0,0
2020 - 2021,005 Allen County,II,33.00,59780,0,0
2020 - 2021,005 Allen County,II,34.00,59780,0,0
2020 - 2021,005 Allen County,II,35.00,59780,0,0
2020 - 2021,005 Allen County,II,36.00,59780,0,0
2020 - 2021,005 Allen County,II,37.00,59780,0,0
2020 - 2021,005 Allen County,II,38.00,59780,0,0
2020 - 2021,005 Allen County,II,39.00,59780,0,0
2020 - 2021,005 Allen County,II,40.00,59780,0,0
2020 - 2021,005 Allen County,III,0.00,37729,0,0
2020 - 2021,005 Allen County,III,1.00,37815,0,0
2020 - 2021,005 Allen County,III,2.00,37903,0,0
2020 - 2021,005 Allen County,III,3.00,37986,0,0
2020 - 2021,005 Allen County,III,4.00,41866,0,0
2020 - 2021,005 Allen County,III,5.00,41953,0,0
2020 - 2021,005 Allen County,III,6.00,42039,0,0
2020 - 2021,005 Allen County,III,7.00,42128,0,0
2020 - 2021,005 Allen County,III,8.00,42216,0,0
2020 - 2021,005 Allen County,III,9.00,42306,0,0
2020 - 2021,005 Allen County,III,10.00,48220,0,0
2020 - 2021,005 Allen County,III,11.00,48312,0,0
2020 - 2021,005 Allen County,III,12.00,48397,0,0
2020 - 2021,005 Allen County,III,13.00,48489,0,0
2020 - 2021,005 Allen County,III,14.00,48583,0,0
2020 - 2021,005 Allen County,III,15.00,49861,0,0
2020 - 2021,005 Allen County,III,16.00,49953,0,0
2020 - 2021,005 Allen County,III,17.00,50046,0,0
2020 - 2021,005 Allen County,III,18.00,50135,0,0
2020 - 2021,005 Allen County,III,19.00,50223,0,0
2020 - 2021,005 Allen County,III,20.00,52776,0,0
2020 - 2021,005 Allen County,III,21.00,52866,0,0
2020 - 2021,005 Allen County,III,22.00,52959,0,0
2020 - 2021,005 Allen County,III,23.00,53049,0,0
2020 - 2021,005 Allen County,III,24.00,53138,0,0
2020 - 2021,005 Allen County,III,25.00,53842,0,0
2020 - 2021,005 Allen County,III,26.00,53966,0,0
2020 - 2021,005 Allen County,III,27.00,54090,0,0
2020 - 2021,005 Allen County,III,28.00,54211,0,0
2020 - 2021,005 Allen County,III,29.00,54334,0,0
2020 - 2021,005 Allen County,III,30.00,56176,0,0
2020 - 2021,005 Allen County,III,31.00,56176,0,0
2020 - 2021,005 Allen County,III,32.00,56176,0,0
2020 - 2021,005 Allen County,III,33.00,56176,0,0
2020 - 2021,005 Allen County,III,34.00,56176,0,0
2020 - 2021,005 Allen County,III,35.00,56176,0,0
2020 - 2021,005 Allen County,III,36.00,56176,0,0
2020 - 2021,005 Allen County,III,37.00,56176,0,0
2020 - 2021,005 Allen County,III,38.00,56176,0,0
2020 - 2021,005 Allen County,III,39.00,56176,0,0
2020 - 2021,005 Allen County,III,40.00,56176,0,0
2020 - 2021,005 Allen County,IV,0.00,32539,0,0
2020 - 2021,005 Allen County,IV,1.00,32539,0,0
2020 - 2021,005 Allen County,IV,2.00,32539,0,0
2020 - 2021,005 Allen County,IV,3.00,32539,0,0
2020 - 2021,005 Allen County,IV,4.00,32539,0,0
2020 - 2021,005 Allen County,IV,5.00,32539,0,0
2020 - 2021,005 Allen County,IV,6.00,32539,0,0
2020 - 2021,005 Allen County,IV,7.00,32539,0,0
2020 - 2021,005 Allen County,IV,8.00,32539,0,0
2020 - 2021,005 Allen County,IV,9.00,32539,0,0
2020 - 2021,005 Allen County,IV,10.00,32539,0,0
2020 - 2021,005 Allen County,IV,11.00,32539,0,0
2020 - 2021,005 Allen County,IV,12.00,32539,0,0
2020 - 2021,005 Allen County,IV,13.00,32539,0,0
2020 - 2021,005 Allen County,IV,14.00,32539,0,0
2020 - 2021,005 Allen County,IV,15.00,32539,0,0
2020 - 2021,005 Allen County,IV,16.00,32539,0,0
2020 - 2021,005 Allen County,IV,17.00,32539,0,0
2020 - 2021,005 Allen County,IV,18.00,32539,0,0
2020 - 2021,005 Allen County,IV,19.00,32539,0,0
2020 - 2021,005 Allen County,IV,20.00,32539,0,0
2020 - 2021,005 Allen County,IV,21.00,32539,0,0
2020 - 2021,005 Allen County,IV,22.00,32539,0,0
2020 - 2021,005 Allen County,IV,23.00,32539,0,0
2020 - 2021,005 Allen County,IV,24.00,32539,0,0
2020 - 2021,005 Allen County,IV,25.00,32539,0,0
2020 - 2021,005 Allen County,IV,26.00,32539,0,0
2020 - 2021,005 Allen County,IV,27.00,32539,0,0
2020 - 2021,005 Allen County,IV,28.00,32539,0,0
2020 - 2021,005 Allen County,IV,29.00,32539,0,0
2020 - 2021,005 Allen County,IV,30.00,32539,0,0
2020 - 2021,005 Allen County,IV,31.00,32539,0,0
2020 - 2021,005 Allen County,IV,32.00,32539,0,0
2020 - 2021,005 Allen County,IV,33.00,32539,0,0
2020 - 2021,005 Allen County,IV,34.00,32539,0,0
2020 - 2021,005 Allen County,IV,35.00,32539,0,0
2020 - 2021,005 Allen County,IV,36.00,32539,0,0
2020 - 2021,005 Allen County,IV,37.00,32539,0,0
2020 - 2021,005 Allen County,IV,38.00,32539,0,0
2020 - 2021,005 Allen County,IV,39.00,32539,0,0
2020 - 2021,005 Allen County,IV,40.00,32539,0,0
2020 - 2021,005 Allen County,V,0.00,31118,0,0
2020 - 2021,005 Allen County,V,1.00,31118,0,0
2020 - 2021,005 Allen County,V,2.00,31118,0,0
2020 - 2021,005 Allen County,V,3.00,31118,0,0
2020 - 2021,005 Allen County,V,4.00,31118,0,0
2020 - 2021,005 Allen County,V,5.00,31118,0,0
2020 - 2021,005 Allen County,V,6.00,31118,0,0
2020 - 2021,005 Allen County,V,7.00,31118,0,0
2020 - 2021,005 Allen County,V,8.00,31118,0,0
2020 - 2021,005 Allen County,V,9.00,31118,0,0
2020 - 2021,005 Allen County,V,10.00,31118,0,0
2020 - 2021,005 Allen County,V,11.00,31118,0,0
2020 - 2021,005 Allen County,V,12.00,31118,0,0
2020 - 2021,005 Allen County,V,13.00,31118,0,0
2020 - 2021,005 Allen County,V,14.00,31118,0,0
2020 - 2021,005 Allen County,V,15.00,31118,0,0
2020 - 2021,005 Allen County,V,16.00,31118,0,0
2020 - 2021,005 Allen County,V,17.00,31118,0,0
2020 - 2021,005 Allen County,V,18.00,31118,0,0
2020 - 2021,005 Allen County,V,19.00,31118,0,0
2020 - 2021,005 Allen County,V,20.00,31118,0,0
2020 - 2021,005 Allen County,V,21.00,31118,0,0
2020 - 2021,005 Allen County,V,22.00,31118,0,0
2020 - 2021,005 Allen County,V,23.00,31118,0,0
2020 - 2021,005 Allen County,V,24.00,31118,0,0
2020 - 2021,005 Allen County,V,25.00,31118,0,0
2020 - 2021,005 Allen County,V,26.00,31118,0,0
2020 - 2021,005 Allen County,V,27.00,31118,0,0
2020 - 2021,005 Allen County,V,28.00,31118,0,0
2020 - 2021,005 Allen County,V,29.00,31118,0,0
2020 - 2021,005 Allen County,V,30.00,31118,0,0
2020 - 2021,005 Allen County,V,31.00,31118,0,0
2020 - 2021,005 Allen County,V,32.00,31118,0,0
2020 - 2021,005 Allen County,V,33.00,31118,0,0
2020 - 2021,005 Allen County,V,34.00,31118,0,0
2020 - 2021,005 Allen County,V,35.00,31118,0,0
2020 - 2021,005 Allen County,V,36.00,31118,0,0
2020 - 2021,005 Allen County,V,37.00,31118,0,0
2020 - 2021,005 Allen County,V,38.00,31118,0,0
2020 - 2021,005 Allen County,V,39.00,31118,0,0
2020 - 2021,005 Allen County,V,40.00,31118,0,0
2020 - 2021,006 Anchorage Independent,I,0.00,52694,"55,068.00",0
2020 - 2021,006 Anchorage Independent,I,1.00,53790,"56,163.00",0
2020 - 2021,006 Anchorage Independent,I,2.00,54884,"58,357.00",0
2020 - 2021,006 Anchorage Independent,I,3.00,55981,"59,463.00",0
2020 - 2021,006 Anchorage Independent,I,4.00,57077,"60,590.00",0
2020 - 2021,006 Anchorage Independent,I,5.00,58174,"61,714.00",0
2020 - 2021,006 Anchorage Independent,I,6.00,59277,"62,840.00",0
2020 - 2021,006 Anchorage Independent,I,7.00,60402,"63,966.00",0
2020 - 2021,006 Anchorage Independent,I,8.00,61340,"65,092.00",0
2020 - 2021,006 Anchorage Independent,I,9.00,62465,"66,220.00",0
2020 - 2021,006 Anchorage Independent,I,10.00,63591,"67,344.00",0
2020 - 2021,006 Anchorage Independent,I,11.00,66781,"68,470.00",0
2020 - 2021,006 Anchorage Independent,I,12.00,68281,"69,595.00",0
2020 - 2021,006 Anchorage Independent,I,13.00,69783,"70,722.00",0
2020 - 2021,006 Anchorage Independent,I,14.00,71285,"71,847.00",0
2020 - 2021,006 Anchorage Independent,I,15.00,72786,"72,975.00",0
2020 - 2021,006 Anchorage Independent,I,16.00,74286,"74,475.00",0
2020 - 2021,006 Anchorage Independent,I,17.00,75787,"76,163.00",0
2020 - 2021,006 Anchorage Independent,I,18.00,77289,"77,853.00",0
2020 - 2021,006 Anchorage Independent,I,19.00,78040,"78,602.00",0
2020 - 2021,006 Anchorage Independent,I,20.00,79542,"80,105.00",0
2020 - 2021,006 Anchorage Independent,I,21.00,79727,"80,854.00",0
2020 - 2021,006 Anchorage Independent,I,22.00,79916,"81,604.00",0
2020 - 2021,006 Anchorage Independent,I,23.00,80011,"82,354.00",0
2020 - 2021,006 Anchorage Independent,I,24.00,80105,"83,106.00",0
2020 - 2021,006 Anchorage Independent,I,25.00,80872,"84,232.00",0
2020 - 2021,006 Anchorage Independent,I,26.00,81042,"85,357.00",0
2020 - 2021,006 Anchorage Independent,I,27.00,82542,"86,294.00",0
2020 - 2021,006 Anchorage Independent,I,28.00,82542,"86,294.00",0
2020 - 2021,006 Anchorage Independent,I,29.00,82542,"86,294.00",0
2020 - 2021,006 Anchorage Independent,I,30.00,82542,"86,294.00",0
2020 - 2021,006 Anchorage Independent,I,31.00,82542,"86,294.00",0
2020 - 2021,006 Anchorage Independent,I,32.00,82542,"86,294.00",0
2020 - 2021,006 Anchorage Independent,I,33.00,82542,"86,294.00",0
2020 - 2021,006 Anchorage Independent,I,34.00,82542,"86,294.00",0
2020 - 2021,006 Anchorage Independent,I,35.00,82542,"86,294.00",0
2020 - 2021,006 Anchorage Independent,I,36.00,82542,"86,294.00",0
2020 - 2021,006 Anchorage Independent,I,37.00,82542,"86,294.00",0
2020 - 2021,006 Anchorage Independent,I,38.00,82542,"86,294.00",0
2020 - 2021,006 Anchorage Independent,I,39.00,82542,"86,294.00",0
2020 - 2021,006 Anchorage Independent,I,40.00,82542,"86,294.00",0
2020 - 2021,006 Anchorage Independent,II,0.00,46920,"48,673.00",0
2020 - 2021,006 Anchorage Independent,II,1.00,47833,"49,403.00",0
2020 - 2021,006 Anchorage Independent,II,2.00,48746,"50,135.00",0
2020 - 2021,006 Anchorage Independent,II,3.00,49660,"50,865.00",0
2020 - 2021,006 Anchorage Independent,II,4.00,50938,"51,595.00",0
2020 - 2021,006 Anchorage Independent,II,5.00,52034,"53,056.00",0
2020 - 2021,006 Anchorage Independent,II,6.00,52949,"54,520.00",0
2020 - 2021,006 Anchorage Independent,II,7.00,54045,"55,981.00",0
2020 - 2021,006 Anchorage Independent,II,8.00,55323,"57,444.00",0
2020 - 2021,006 Anchorage Independent,II,9.00,56785,"58,903.00",0
2020 - 2021,006 Anchorage Independent,II,10.00,58247,"60,402.00",0
2020 - 2021,006 Anchorage Independent,II,11.00,61227,"63,029.00",0
2020 - 2021,006 Anchorage Independent,II,12.00,63103,"64,529.00",0
2020 - 2021,006 Anchorage Independent,II,13.00,64606,"66,031.00",0
2020 - 2021,006 Anchorage Independent,II,14.00,66107,"67,533.00",0
2020 - 2021,006 Anchorage Independent,II,15.00,67606,"69,034.00",0
2020 - 2021,006 Anchorage Independent,II,16.00,69859,"72,411.00",0
2020 - 2021,006 Anchorage Independent,II,17.00,72486,"74,286.00",0
