Fiscal Year,District,Rank,Years,I,II,III
2021 - 2022,001 Adair County,I,0,44000,0,0
2021 - 2022,001 Adair County,I,1,44800,0,0
2021 - 2022,001 Adair County,I,2,45778,0,0
2021 - 2022,001 Adair County,I,3,46693,0,0
2021 - 2022,001 Adair County,I,4,47627,0,0
2021 - 2022,001 Adair County,I,5,48580,0,0
2021 - 2022,001 Adair County,I,6,49551,0,0
2021 - 2022,001 Adair County,I,7,50542,0,0
2021 - 2022,001 Adair County,I,8,51553,0,0
2021 - 2022,001 Adair County,I,9,52584,0,0
2021 - 2022,001 Adair County,I,10,53500,0,0
2021 - 2022,001 Adair County,I,11,54035,0,0
2021 - 2022,001 Adair County,I,12,54575,0,0
2021 - 2022,001 Adair County,I,13,55121,0,0
2021 - 2022,001 Adair County,I,14,55672,0,0
2021 - 2022,001 Adair County,I,15,55811,0,0
2021 - 2022,001 Adair County,I,16,55951,0,0
2021 - 2022,001 Adair County,I,17,56091,0,0
2021 - 2022,001 Adair County,I,18,56231,0,0
2021 - 2022,001 Adair County,I,19,56372,0,0
2021 - 2022,001 Adair County,I,20,56513,0,0
2021 - 2022,001 Adair County,I,21,56654,0,0
2021 - 2022,001 Adair County,I,22,56796,0,0
2021 - 2022,001 Adair County,I,23,56938,0,0
2021 - 2022,001 Adair County,I,24,57080,0,0
2021 - 2022,001 Adair County,I,25,57223,0,0
2021 - 2022,001 Adair County,I,26,57366,0,0
2021 - 2022,001 Adair County,I,27,57509,0,0
2021 - 2022,001 Adair County,I,28,57653,0,0
2021 - 2022,001 Adair County,I,29,57797,0,0
2021 - 2022,001 Adair County,I,30,57941,0,0
2021 - 2022,001 Adair County,I,31,57941,0,0
2021 - 2022,001 Adair County,I,32,57941,0,0
2021 - 2022,001 Adair County,I,33,57941,0,0
2021 - 2022,001 Adair County,I,34,57941,0,0
2021 - 2022,001 Adair County,I,35,57941,0,0
2021 - 2022,001 Adair County,I,36,57941,0,0
2021 - 2022,001 Adair County,I,37,57941,0,0
2021 - 2022,001 Adair County,I,38,57941,0,0
2021 - 2022,001 Adair County,I,39,57941,0,0
2021 - 2022,001 Adair County,I,40,57941,0,0
2021 - 2022,001 Adair County,II,0,40000,0,0
2021 - 2022,001 Adair County,II,1,40800,0,0
2021 - 2022,001 Adair County,II,2,41616,0,0
2021 - 2022,001 Adair County,II,3,42448,0,0
2021 - 2022,001 Adair County,II,4,43500,0,0
2021 - 2022,001 Adair County,II,5,44370,0,0
2021 - 2022,001 Adair County,II,6,45257,0,0
2021 - 2022,001 Adair County,II,7,46163,0,0
2021 - 2022,001 Adair County,II,8,47086,0,0
2021 - 2022,001 Adair County,II,9,48028,0,0
2021 - 2022,001 Adair County,II,10,49500,0,0
2021 - 2022,001 Adair County,II,11,49995,0,0
2021 - 2022,001 Adair County,II,12,50495,0,0
2021 - 2022,001 Adair County,II,13,51000,0,0
2021 - 2022,001 Adair County,II,14,51510,0,0
2021 - 2022,001 Adair County,II,15,51639,0,0
2021 - 2022,001 Adair County,II,16,51768,0,0
2021 - 2022,001 Adair County,II,17,51897,0,0
2021 - 2022,001 Adair County,II,18,52027,0,0
2021 - 2022,001 Adair County,II,19,52157,0,0
2021 - 2022,001 Adair County,II,20,52418,0,0
2021 - 2022,001 Adair County,II,21,52549,0,0
2021 - 2022,001 Adair County,II,22,52680,0,0
2021 - 2022,001 Adair County,II,23,52812,0,0
2021 - 2022,001 Adair County,II,24,52944,0,0
2021 - 2022,001 Adair County,II,25,53076,0,0
2021 - 2022,001 Adair County,II,26,53209,0,0
2021 - 2022,001 Adair County,II,27,53342,0,0
2021 - 2022,001 Adair County,II,28,53475,0,0
2021 - 2022,001 Adair County,II,29,53609,0,0
2021 - 2022,001 Adair County,II,30,53743,0,0
2021 - 2022,001 Adair County,II,31,53743,0,0
2021 - 2022,001 Adair County,II,32,53743,0,0
2021 - 2022,001 Adair County,II,33,53743,0,0
2021 - 2022,001 Adair County,II,34,53743,0,0
2021 - 2022,001 Adair County,II,35,53743,0,0
2021 - 2022,001 Adair County,II,36,53743,0,0
2021 - 2022,001 Adair County,II,37,53743,0,0
2021 - 2022,001 Adair County,II,38,53743,0,0
2021 - 2022,001 Adair County,II,39,53743,0,0
2021 - 2022,001 Adair County,II,40,53743,0,0
2021 - 2022,001 Adair County,III,0,36000,0,0
2021 - 2022,001 Adair County,III,1,36720,0,0
2021 - 2022,001 Adair County,III,2,37454,0,0
2021 - 2022,001 Adair County,III,3,38203,0,0
2021 - 2022,001 Adair County,III,4,39000,0,0
2021 - 2022,001 Adair County,III,5,39780,0,0
2021 - 2022,001 Adair County,III,6,40576,0,0
2021 - 2022,001 Adair County,III,7,41387,0,0
2021 - 2022,001 Adair County,III,8,42215,0,0
2021 - 2022,001 Adair County,III,9,43059,0,0
2021 - 2022,001 Adair County,III,10,44500,0,0
2021 - 2022,001 Adair County,III,11,44945,0,0
2021 - 2022,001 Adair County,III,12,45394,0,0
2021 - 2022,001 Adair County,III,13,45848,0,0
2021 - 2022,001 Adair County,III,14,46307,0,0
2021 - 2022,001 Adair County,III,15,46770,0,0
2021 - 2022,001 Adair County,III,16,47238,0,0
2021 - 2022,001 Adair County,III,17,47710,0,0
2021 - 2022,001 Adair County,III,18,48187,0,0
2021 - 2022,001 Adair County,III,19,48669,0,0
2021 - 2022,001 Adair County,III,20,48791,0,0
2021 - 2022,001 Adair County,III,21,48913,0,0
2021 - 2022,001 Adair County,III,22,49035,0,0
2021 - 2022,001 Adair County,III,23,49158,0,0
2021 - 2022,001 Adair County,III,24,49280,0,0
2021 - 2022,001 Adair County,III,25,49404,0,0
2021 - 2022,001 Adair County,III,26,49527,0,0
2021 - 2022,001 Adair County,III,27,49651,0,0
2021 - 2022,001 Adair County,III,28,49775,0,0
2021 - 2022,001 Adair County,III,29,49899,0,0
2021 - 2022,001 Adair County,III,30,50024,0,0
2021 - 2022,001 Adair County,III,31,50024,0,0
2021 - 2022,001 Adair County,III,32,50024,0,0
2021 - 2022,001 Adair County,III,33,50024,0,0
2021 - 2022,001 Adair County,III,34,50024,0,0
2021 - 2022,001 Adair County,III,35,50024,0,0
2021 - 2022,001 Adair County,III,36,50024,0,0
2021 - 2022,001 Adair County,III,37,50024,0,0
2021 - 2022,001 Adair County,III,38,50024,0,0
2021 - 2022,001 Adair County,III,39,50024,0,0
2021 - 2022,001 Adair County,III,40,50024,0,0
2021 - 2022,001 Adair County,IV,0,30533,0,0
2021 - 2022,001 Adair County,IV,1,30533,0,0
2021 - 2022,001 Adair County,IV,2,30533,0,0
2021 - 2022,001 Adair County,IV,3,30533,0,0
2021 - 2022,001 Adair County,IV,4,30533,0,0
2021 - 2022,001 Adair County,IV,5,30533,0,0
2021 - 2022,001 Adair County,IV,6,30533,0,0
2021 - 2022,001 Adair County,IV,7,30533,0,0
2021 - 2022,001 Adair County,IV,8,30533,0,0
2021 - 2022,001 Adair County,IV,9,30533,0,0
2021 - 2022,001 Adair County,IV,10,30533,0,0
2021 - 2022,001 Adair County,IV,11,30533,0,0
2021 - 2022,001 Adair County,IV,12,30533,0,0
2021 - 2022,001 Adair County,IV,13,30533,0,0
2021 - 2022,001 Adair County,IV,14,30533,0,0
2021 - 2022,001 Adair County,IV,15,30533,0,0
2021 - 2022,001 Adair County,IV,16,30533,0,0
2021 - 2022,001 Adair County,IV,17,30533,0,0
2021 - 2022,001 Adair County,IV,18,30533,0,0
2021 - 2022,001 Adair County,IV,19,30533,0,0
2021 - 2022,001 Adair County,IV,20,30533,0,0
2021 - 2022,001 Adair County,IV,21,30533,0,0
2021 - 2022,001 Adair County,IV,22,30533,0,0
2021 - 2022,001 Adair County,IV,23,30533,0,0
2021 - 2022,001 Adair County,IV,24,30533,0,0
2021 - 2022,001 Adair County,IV,25,30533,0,0
2021 - 2022,001 Adair County,IV,26,30533,0,0
2021 - 2022,001 Adair County,IV,27,30533,0,0
2021 - 2022,001 Adair County,IV,28,30533,0,0
2021 - 2022,001 Adair County,IV,29,30533,0,0
2021 - 2022,001 Adair County,IV,30,30533,0,0
2021 - 2022,001 Adair County,IV,31,30533,0,0
2021 - 2022,001 Adair County,IV,32,30533,0,0
2021 - 2022,001 Adair County,IV,33,30533,0,0
2021 - 2022,001 Adair County,IV,34,30533,0,0
2021 - 2022,001 Adair County,IV,35,30533,0,0
2021 - 2022,001 Adair County,IV,36,30533,0,0
2021 - 2022,001 Adair County,IV,37,30533,0,0
2021 - 2022,001 Adair County,IV,38,30533,0,0
2021 - 2022,001 Adair County,IV,39,30533,0,0
2021 - 2022,001 Adair County,IV,40,30533,0,0
2021 - 2022,001 Adair County,V,0,28541,0,0
2021 - 2022,001 Adair County,V,1,28541,0,0
2021 - 2022,001 Adair County,V,2,28541,0,0
2021 - 2022,001 Adair County,V,3,28541,0,0
2021 - 2022,001 Adair County,V,4,28541,0,0
2021 - 2022,001 Adair County,V,5,28541,0,0
2021 - 2022,001 Adair County,V,6,28541,0,0
2021 - 2022,001 Adair County,V,7,28541,0,0
2021 - 2022,001 Adair County,V,8,28541,0,0
2021 - 2022,001 Adair County,V,9,28541,0,0
2021 - 2022,001 Adair County,V,10,28541,0,0
2021 - 2022,001 Adair County,V,11,28541,0,0
2021 - 2022,001 Adair County,V,12,28541,0,0
2021 - 2022,001 Adair County,V,13,28541,0,0
2021 - 2022,001 Adair County,V,14,28541,0,0
2021 - 2022,001 Adair County,V,15,28541,0,0
2021 - 2022,001 Adair County,V,16,28541,0,0
2021 - 2022,001 Adair County,V,17,28541,0,0
2021 - 2022,001 Adair County,V,18,28541,0,0
2021 - 2022,001 Adair County,V,19,28541,0,0
2021 - 2022,001 Adair County,V,20,28541,0,0
2021 - 2022,001 Adair County,V,21,28541,0,0
2021 - 2022,001 Adair County,V,22,28541,0,0
2021 - 2022,001 Adair County,V,23,28541,0,0
2021 - 2022,001 Adair County,V,24,28541,0,0
2021 - 2022,001 Adair County,V,25,28541,0,0
2021 - 2022,001 Adair County,V,26,28541,0,0
2021 - 2022,001 Adair County,V,27,28541,0,0
2021 - 2022,001 Adair County,V,28,28541,0,0
2021 - 2022,001 Adair County,V,29,28541,0,0
2021 - 2022,001 Adair County,V,30,28541,0,0
2021 - 2022,001 Adair County,V,31,28541,0,0
2021 - 2022,001 Adair County,V,32,28541,0,0
2021 - 2022,001 Adair County,V,33,28541,0,0
2021 - 2022,001 Adair County,V,34,28541,0,0
2021 - 2022,001 Adair County,V,35,28541,0,0
2021 - 2022,001 Adair County,V,36,28541,0,0
2021 - 2022,001 Adair County,V,37,28541,0,0
2021 - 2022,001 Adair County,V,38,28541,0,0
2021 - 2022,001 Adair County,V,39,28541,0,0
2021 - 2022,001 Adair County,V,40,28541,0,0
2021 - 2022,005 Allen County,I,0,46565,48834,0
2021 - 2022,005 Allen County,I,1,46656,48925,0
2021 - 2022,005 Allen County,I,2,46753,49025,0
2021 - 2022,005 Allen County,I,3,46841,49114,0
2021 - 2022,005 Allen County,I,4,51224,53496,0
2021 - 2022,005 Allen County,I,5,51314,53589,0
2021 - 2022,005 Allen County,I,6,51407,53685,0
2021 - 2022,005 Allen County,I,7,51497,53774,0
2021 - 2022,005 Allen County,I,8,51589,53868,0
2021 - 2022,005 Allen County,I,9,51681,53960,0
2021 - 2022,005 Allen County,I,10,57451,59729,0
2021 - 2022,005 Allen County,I,11,57541,59821,0
2021 - 2022,005 Allen County,I,12,57633,59910,0
2021 - 2022,005 Allen County,I,13,57722,60003,0
2021 - 2022,005 Allen County,I,14,57810,60096,0
2021 - 2022,005 Allen County,I,15,59089,61372,0
2021 - 2022,005 Allen County,I,16,59178,61465,0
2021 - 2022,005 Allen County,I,17,59272,61556,0
2021 - 2022,005 Allen County,I,18,59363,61651,0
2021 - 2022,005 Allen County,I,19,59458,61746,0
2021 - 2022,005 Allen County,I,20,60376,62667,0
2021 - 2022,005 Allen County,I,21,60470,62760,0
2021 - 2022,005 Allen County,I,22,60565,62856,0
2021 - 2022,005 Allen County,I,23,60657,62951,0
2021 - 2022,005 Allen County,I,24,60749,63047,0
2021 - 2022,005 Allen County,I,25,61465,63762,0
2021 - 2022,005 Allen County,I,26,61590,63887,0
2021 - 2022,005 Allen County,I,27,61712,64008,0
2021 - 2022,005 Allen County,I,28,61835,64137,0
2021 - 2022,005 Allen County,I,29,61959,64259,0
2021 - 2022,005 Allen County,I,30,63819,66121,0
2021 - 2022,005 Allen County,I,31,63819,66121,0
2021 - 2022,005 Allen County,I,32,63819,66121,0
2021 - 2022,005 Allen County,I,33,63819,66121,0
2021 - 2022,005 Allen County,I,34,63819,66121,0
2021 - 2022,005 Allen County,I,35,63819,66121,0
2021 - 2022,005 Allen County,I,36,63819,66121,0
2021 - 2022,005 Allen County,I,37,63819,66121,0
2021 - 2022,005 Allen County,I,38,63819,66121,0
2021 - 2022,005 Allen County,I,39,63819,66121,0
2021 - 2022,005 Allen County,I,40,63819,66121,0
2021 - 2022,005 Allen County,II,0,42538,0,0
2021 - 2022,005 Allen County,II,1,42629,0,0
2021 - 2022,005 Allen County,II,2,42716,0,0
2021 - 2022,005 Allen County,II,3,42805,0,0
2021 - 2022,005 Allen County,II,4,46499,0,0
2021 - 2022,005 Allen County,II,5,46592,0,0
2021 - 2022,005 Allen County,II,6,46680,0,0
2021 - 2022,005 Allen County,II,7,46773,0,0
2021 - 2022,005 Allen County,II,8,46866,0,0
2021 - 2022,005 Allen County,II,9,46956,0,0
2021 - 2022,005 Allen County,II,10,53161,0,0
2021 - 2022,005 Allen County,II,11,53253,0,0
2021 - 2022,005 Allen County,II,12,53344,0,0
2021 - 2022,005 Allen County,II,13,53433,0,0
2021 - 2022,005 Allen County,II,14,53526,0,0
2021 - 2022,005 Allen County,II,15,54818,0,0
2021 - 2022,005 Allen County,II,16,54911,0,0
2021 - 2022,005 Allen County,II,17,55003,0,0
2021 - 2022,005 Allen County,II,18,55091,0,0
2021 - 2022,005 Allen County,II,19,55185,0,0
2021 - 2022,005 Allen County,II,20,56934,0,0
2021 - 2022,005 Allen County,II,21,57029,0,0
2021 - 2022,005 Allen County,II,22,57121,0,0
2021 - 2022,005 Allen County,II,23,57213,0,0
2021 - 2022,005 Allen County,II,24,57308,0,0
2021 - 2022,005 Allen County,II,25,58020,0,0
2021 - 2022,005 Allen County,II,26,58145,0,0
2021 - 2022,005 Allen County,II,27,58269,0,0
2021 - 2022,005 Allen County,II,28,58392,0,0
2021 - 2022,005 Allen County,II,29,58517,0,0
2021 - 2022,005 Allen County,II,30,60378,0,0
2021 - 2022,005 Allen County,II,31,60378,0,0
2021 - 2022,005 Allen County,II,32,60378,0,0
2021 - 2022,005 Allen County,II,33,60378,0,0
2021 - 2022,005 Allen County,II,34,60378,0,0
2021 - 2022,005 Allen County,II,35,60378,0,0
2021 - 2022,005 Allen County,II,36,60378,0,0
2021 - 2022,005 Allen County,II,37,60378,0,0
2021 - 2022,005 Allen County,II,38,60378,0,0
2021 - 2022,005 Allen County,II,39,60378,0,0
2021 - 2022,005 Allen County,II,40,60378,0,0
2021 - 2022,005 Allen County,III,0,38106,0,0
2021 - 2022,005 Allen County,III,1,38193,0,0
2021 - 2022,005 Allen County,III,2,38282,0,0
2021 - 2022,005 Allen County,III,3,38366,0,0
2021 - 2022,005 Allen County,III,4,42285,0,0
2021 - 2022,005 Allen County,III,5,42373,0,0
2021 - 2022,005 Allen County,III,6,42459,0,0
2021 - 2022,005 Allen County,III,7,42549,0,0
2021 - 2022,005 Allen County,III,8,42638,0,0
2021 - 2022,005 Allen County,III,9,42729,0,0
2021 - 2022,005 Allen County,III,10,48702,0,0
2021 - 2022,005 Allen County,III,11,48795,0,0
2021 - 2022,005 Allen County,III,12,48881,0,0
2021 - 2022,005 Allen County,III,13,48974,0,0
2021 - 2022,005 Allen County,III,14,49069,0,0
2021 - 2022,005 Allen County,III,15,50360,0,0
2021 - 2022,005 Allen County,III,16,50453,0,0
2021 - 2022,005 Allen County,III,17,50546,0,0
2021 - 2022,005 Allen County,III,18,50636,0,0
2021 - 2022,005 Allen County,III,19,50725,0,0
2021 - 2022,005 Allen County,III,20,53304,0,0
2021 - 2022,005 Allen County,III,21,53395,0,0
2021 - 2022,005 Allen County,III,22,53489,0,0
2021 - 2022,005 Allen County,III,23,53579,0,0
2021 - 2022,005 Allen County,III,24,53669,0,0
2021 - 2022,005 Allen County,III,25,54380,0,0
2021 - 2022,005 Allen County,III,26,54506,0,0
2021 - 2022,005 Allen County,III,27,54631,0,0
2021 - 2022,005 Allen County,III,28,54753,0,0
2021 - 2022,005 Allen County,III,29,54877,0,0
2021 - 2022,005 Allen County,III,30,56738,0,0
2021 - 2022,005 Allen County,III,31,56738,0,0
2021 - 2022,005 Allen County,III,32,56738,0,0
2021 - 2022,005 Allen County,III,33,56738,0,0
2021 - 2022,005 Allen County,III,34,56738,0,0
2021 - 2022,005 Allen County,III,35,56738,0,0
2021 - 2022,005 Allen County,III,36,56738,0,0
2021 - 2022,005 Allen County,III,37,56738,0,0
2021 - 2022,005 Allen County,III,38,56738,0,0
2021 - 2022,005 Allen County,III,39,56738,0,0
2021 - 2022,005 Allen County,III,40,56738,0,0
2021 - 2022,005 Allen County,IV,0,32864,0,0
2021 - 2022,005 Allen County,IV,1,32864,0,0
2021 - 2022,005 Allen County,IV,2,32864,0,0
2021 - 2022,005 Allen County,IV,3,32864,0,0
2021 - 2022,005 Allen County,IV,4,32864,0,0
2021 - 2022,005 Allen County,IV,5,32864,0,0
2021 - 2022,005 Allen County,IV,6,32864,0,0
2021 - 2022,005 Allen County,IV,7,32864,0,0
2021 - 2022,005 Allen County,IV,8,32864,0,0
2021 - 2022,005 Allen County,IV,9,32864,0,0
2021 - 2022,005 Allen County,IV,10,32864,0,0
2021 - 2022,005 Allen County,IV,11,32864,0,0
2021 - 2022,005 Allen County,IV,12,32864,0,0
2021 - 2022,005 Allen County,IV,13,32864,0,0
2021 - 2022,005 Allen County,IV,14,32864,0,0
2021 - 2022,005 Allen County,IV,15,32864,0,0
2021 - 2022,005 Allen County,IV,16,32864,0,0
2021 - 2022,005 Allen County,IV,17,32864,0,0
2021 - 2022,005 Allen County,IV,18,32864,0,0
2021 - 2022,005 Allen County,IV,19,32864,0,0
2021 - 2022,005 Allen County,IV,20,32864,0,0
2021 - 2022,005 Allen County,IV,21,32864,0,0
2021 - 2022,005 Allen County,IV,22,32864,0,0
2021 - 2022,005 Allen County,IV,23,32864,0,0
2021 - 2022,005 Allen County,IV,24,32864,0,0
2021 - 2022,005 Allen County,IV,25,32864,0,0
2021 - 2022,005 Allen County,IV,26,32864,0,0
2021 - 2022,005 Allen County,IV,27,32864,0,0
2021 - 2022,005 Allen County,IV,28,32864,0,0
2021 - 2022,005 Allen County,IV,29,32864,0,0
2021 - 2022,005 Allen County,IV,30,32864,0,0
2021 - 2022,005 Allen County,IV,31,32864,0,0
2021 - 2022,005 Allen County,IV,32,32864,0,0
2021 - 2022,005 Allen County,IV,33,32864,0,0
2021 - 2022,005 Allen County,IV,34,32864,0,0
2021 - 2022,005 Allen County,IV,35,32864,0,0
2021 - 2022,005 Allen County,IV,36,32864,0,0
2021 - 2022,005 Allen County,IV,37,32864,0,0
2021 - 2022,005 Allen County,IV,38,32864,0,0
2021 - 2022,005 Allen County,IV,39,32864,0,0
2021 - 2022,005 Allen County,IV,40,32864,0,0
2021 - 2022,005 Allen County,V,0,31429,0,0
2021 - 2022,005 Allen County,V,1,31429,0,0
2021 - 2022,005 Allen County,V,2,31429,0,0
2021 - 2022,005 Allen County,V,3,31429,0,0
2021 - 2022,005 Allen County,V,4,31429,0,0
2021 - 2022,005 Allen County,V,5,31429,0,0
2021 - 2022,005 Allen County,V,6,31429,0,0
2021 - 2022,005 Allen County,V,7,31429,0,0
2021 - 2022,005 Allen County,V,8,31429,0,0
2021 - 2022,005 Allen County,V,9,31429,0,0
2021 - 2022,005 Allen County,V,10,31429,0,0
2021 - 2022,005 Allen County,V,11,31429,0,0
2021 - 2022,005 Allen County,V,12,31429,0,0
2021 - 2022,005 Allen County,V,13,31429,0,0
2021 - 2022,005 Allen County,V,14,31429,0,0
2021 - 2022,005 Allen County,V,15,31429,0,0
2021 - 2022,005 Allen County,V,16,31429,0,0
2021 - 2022,005 Allen County,V,17,31429,0,0
2021 - 2022,005 Allen County,V,18,31429,0,0
2021 - 2022,005 Allen County,V,19,31429,0,0
2021 - 2022,005 Allen County,V,20,31429,0,0
2021 - 2022,005 Allen County,V,21,31429,0,0
2021 - 2022,005 Allen County,V,22,31429,0,0
2021 - 2022,005 Allen County,V,23,31429,0,0
2021 - 2022,005 Allen County,V,24,31429,0,0
2021 - 2022,005 Allen County,V,25,31429,0,0
2021 - 2022,005 Allen County,V,26,31429,0,0
2021 - 2022,005 Allen County,V,27,31429,0,0
2021 - 2022,005 Allen County,V,28,31429,0,0
2021 - 2022,005 Allen County,V,29,31429,0,0
2021 - 2022,005 Allen County,V,30,31429,0,0
2021 - 2022,005 Allen County,V,31,31429,0,0
2021 - 2022,005 Allen County,V,32,31429,0,0
2021 - 2022,005 Allen County,V,33,31429,0,0
2021 - 2022,005 Allen County,V,34,31429,0,0
2021 - 2022,005 Allen County,V,35,31429,0,0
2021 - 2022,005 Allen County,V,36,31429,0,0
2021 - 2022,005 Allen County,V,37,31429,0,0
2021 - 2022,005 Allen County,V,38,31429,0,0
2021 - 2022,005 Allen County,V,39,31429,0,0
2021 - 2022,005 Allen County,V,40,31429,0,0
2021 - 2022,006 Anchorage Independent,I,0,53616,56032,0
2021 - 2022,006 Anchorage Independent,I,1,54731,57146,0
2021 - 2022,006 Anchorage Independent,I,2,55844,59378,0
2021 - 2022,006 Anchorage Independent,I,3,56961,60504,0
2021 - 2022,006 Anchorage Independent,I,4,58076,61650,0
2021 - 2022,006 Anchorage Independent,I,5,59192,62794,0
2021 - 2022,006 Anchorage Independent,I,6,60314,63940,0
2021 - 2022,006 Anchorage Independent,I,7,61459,65085,0
2021 - 2022,006 Anchorage Independent,I,8,62413,66231,0
2021 - 2022,006 Anchorage Independent,I,9,63558,67379,0
2021 - 2022,006 Anchorage Independent,I,10,64704,68523,0
2021 - 2022,006 Anchorage Independent,I,11,67950,69668,0
2021 - 2022,006 Anchorage Independent,I,12,69476,70813,0
2021 - 2022,006 Anchorage Independent,I,13,71004,71960,0
2021 - 2022,006 Anchorage Independent,I,14,72532,73104,0
2021 - 2022,006 Anchorage Independent,I,15,74060,74252,0
2021 - 2022,006 Anchorage Independent,I,16,75586,75778,0
2021 - 2022,006 Anchorage Independent,I,17,77113,77496,0
2021 - 2022,006 Anchorage Independent,I,18,78642,79215,0
2021 - 2022,006 Anchorage Independent,I,19,79406,79978,0
2021 - 2022,006 Anchorage Independent,I,20,80934,81507,0
2021 - 2022,006 Anchorage Independent,I,21,81122,82269,0
2021 - 2022,006 Anchorage Independent,I,22,81315,83032,0
2021 - 2022,006 Anchorage Independent,I,23,81411,83795,0
2021 - 2022,006 Anchorage Independent,I,24,81507,84560,0
2021 - 2022,006 Anchorage Independent,I,25,82287,85706,0
2021 - 2022,006 Anchorage Independent,I,26,82460,86851,0
2021 - 2022,006 Anchorage Independent,I,27,83986,87804,0
2021 - 2022,006 Anchorage Independent,I,28,83986,87804,0
2021 - 2022,006 Anchorage Independent,I,29,83986,87804,0
2021 - 2022,006 Anchorage Independent,I,30,83986,87804,0
2021 - 2022,006 Anchorage Independent,I,31,83986,87804,0
2021 - 2022,006 Anchorage Independent,I,32,83986,87804,0
2021 - 2022,006 Anchorage Independent,I,33,83986,87804,0
2021 - 2022,006 Anchorage Independent,I,34,83986,87804,0
2021 - 2022,006 Anchorage Independent,I,35,83986,87804,0
2021 - 2022,006 Anchorage Independent,I,36,83986,87804,0
2021 - 2022,006 Anchorage Independent,I,37,83986,87804,0
2021 - 2022,006 Anchorage Independent,I,38,83986,87804,0
2021 - 2022,006 Anchorage Independent,I,39,83986,87804,0
2021 - 2022,006 Anchorage Independent,I,40,83986,87804,0
2021 - 2022,006 Anchorage Independent,II,0,47741,49525,0
2021 - 2022,006 Anchorage Independent,II,1,48670,50268,0
2021 - 2022,006 Anchorage Independent,II,2,49599,51012,0
2021 - 2022,006 Anchorage Independent,II,3,50529,51755,0
2021 - 2022,006 Anchorage Independent,II,4,51829,52498,0
2021 - 2022,006 Anchorage Independent,II,5,52945,53984,0
2021 - 2022,006 Anchorage Independent,II,6,53876,55474,0
2021 - 2022,006 Anchorage Independent,II,7,54991,56961,0
2021 - 2022,006 Anchorage Independent,II,8,56291,58449,0
2021 - 2022,006 Anchorage Independent,II,9,57779,59934,0
2021 - 2022,006 Anchorage Independent,II,10,59266,61459,0
2021 - 2022,006 Anchorage Independent,II,11,62298,64132,0
2021 - 2022,006 Anchorage Independent,II,12,64207,65658,0
2021 - 2022,006 Anchorage Independent,II,13,65737,67187,0
2021 - 2022,006 Anchorage Independent,II,14,67264,68715,0
2021 - 2022,006 Anchorage Independent,II,15,68789,70242,0
2021 - 2022,006 Anchorage Independent,II,16,71082,73678,0
2021 - 2022,006 Anchorage Independent,II,17,73755,75586,0
2021 - 2022,006 Anchorage Independent,II,18,74136,75777,0
2021 - 2022,006 Anchorage Independent,II,19,74518,75967,0
2021 - 2022,006 Anchorage Independent,II,20,75283,76732,0
2021 - 2022,006 Anchorage Independent,II,21,75663,77113,0
2021 - 2022,006 Anchorage Independent,II,22,75853,77496,0
2021 - 2022,006 Anchorage Independent,II,23,76045,77877,0
2021 - 2022,006 Anchorage Independent,II,24,76237,78070,0
2021 - 2022,006 Anchorage Independent,II,25,76619,78260,0
2021 - 2022,006 Anchorage Independent,II,26,76808,78642,0
2021 - 2022,006 Anchorage Independent,II,27,78260,80169,0
2021 - 2022,006 Anchorage Independent,II,28,78260,80169,0
2021 - 2022,006 Anchorage Independent,II,29,78260,80169,0
2021 - 2022,006 Anchorage Independent,II,30,78260,80169,0
2021 - 2022,006 Anchorage Independent,II,31,78260,80169,0
2021 - 2022,006 Anchorage Independent,II,32,78260,80169,0
2021 - 2022,006 Anchorage Independent,II,33,78260,80169,0
2021 - 2022,006 Anchorage Independent,II,34,78260,80169,0
2021 - 2022,006 Anchorage Independent,II,35,78260,80169,0
2021 - 2022,006 Anchorage Independent,II,36,78260,80169,0
2021 - 2022,006 Anchorage Independent,II,37,78260,80169,0
2021 - 2022,006 Anchorage Independent,II,38,78260,80169,0
2021 - 2022,006 Anchorage Independent,II,39,78260,80169,0
2021 - 2022,006 Anchorage Independent,II,40,78260,80169,0
2021 - 2022,006 Anchorage Independent,III,0,42460,43947,0
2021 - 2022,006 Anchorage Independent,III,1,43203,44878,0
2021 - 2022,006 Anchorage Independent,III,2,43947,45808,0
2021 - 2022,006 Anchorage Independent,III,3,44692,46738,0
2021 - 2022,006 Anchorage Independent,III,4,46178,47665,0
2021 - 2022,006 Anchorage Independent,III,5,47481,48595,0
2021 - 2022,006 Anchorage Independent,III,6,48780,50082,0
2021 - 2022,006 Anchorage Independent,III,7,49898,51197,0
2021 - 2022,006 Anchorage Independent,III,8,51197,52314,0
2021 - 2022,006 Anchorage Independent,III,9,52498,53428,0
2021 - 2022,006 Anchorage Independent,III,10,53802,55844,0
2021 - 2022,006 Anchorage Independent,III,11,56773,56961,0
2021 - 2022,006 Anchorage Independent,III,12,57518,57892,0
2021 - 2022,006 Anchorage Independent,III,13,58819,59006,0
2021 - 2022,006 Anchorage Independent,III,14,59006,60123,0
2021 - 2022,006 Anchorage Independent,III,15,59934,61269,0
2021 - 2022,006 Anchorage Independent,III,16,62033,63558,0
2021 - 2022,006 Anchorage Independent,III,17,63367,64704,0
2021 - 2022,006 Anchorage Independent,III,18,64704,65851,0
2021 - 2022,006 Anchorage Independent,III,19,66041,66995,0
2021 - 2022,006 Anchorage Independent,III,20,67379,68142,0
