Fiscal Year,District,Rank,Years,,I,II,III
2009 - 2010,001 Adair County,I,0,,41092,0,0
2009 - 2010,001 Adair County,I,1,,41092,0,0
2009 - 2010,001 Adair County,I,2,,41092,0,0
2009 - 2010,001 Adair County,I,3,,41092,0,0
2009 - 2010,001 Adair County,I,4,,44881,0,0
2009 - 2010,001 Adair County,I,5,,44881,0,0
2009 - 2010,001 Adair County,I,6,,44881,0,0
2009 - 2010,001 Adair County,I,7,,44881,0,0
2009 - 2010,001 Adair County,I,8,,44881,0,0
2009 - 2010,001 Adair County,I,9,,44881,0,0
2009 - 2010,001 Adair County,I,10,,49800,0,0
2009 - 2010,001 Adair County,I,11,,49800,0,0
2009 - 2010,001 Adair County,I,12,,49800,0,0
2009 - 2010,001 Adair County,I,13,,49800,0,0
2009 - 2010,001 Adair County,I,14,,49800,0,0
2009 - 2010,001 Adair County,I,15,,51247,0,0
2009 - 2010,001 Adair County,I,16,,51247,0,0
2009 - 2010,001 Adair County,I,17,,51247,0,0
2009 - 2010,001 Adair County,I,18,,51247,0,0
2009 - 2010,001 Adair County,I,19,,51247,0,0
2009 - 2010,001 Adair County,I,20,,51962,0,0
2009 - 2010,001 Adair County,I,21,,51962,0,0
2009 - 2010,001 Adair County,I,22,,51962,0,0
2009 - 2010,001 Adair County,I,23,,51962,0,0
2009 - 2010,001 Adair County,I,24,,51962,0,0
2009 - 2010,001 Adair County,I,25,,51962,0,0
2009 - 2010,001 Adair County,I,26,,51962,0,0
2009 - 2010,001 Adair County,I,27,,51962,0,0
2009 - 2010,001 Adair County,I,28,,51962,0,0
2009 - 2010,001 Adair County,I,29,,51962,0,0
2009 - 2010,001 Adair County,I,30,,51962,0,0
2009 - 2010,001 Adair County,I,31,,51962,0,0
2009 - 2010,001 Adair County,I,32,,51962,0,0
2009 - 2010,001 Adair County,I,33,,51962,0,0
2009 - 2010,001 Adair County,I,34,,51962,0,0
2009 - 2010,001 Adair County,I,35,,51962,0,0
2009 - 2010,001 Adair County,I,36,,51962,0,0
2009 - 2010,001 Adair County,I,37,,51962,0,0
2009 - 2010,001 Adair County,I,38,,51962,0,0
2009 - 2010,001 Adair County,I,39,,51962,0,0
2009 - 2010,001 Adair County,I,40,,51962,0,0
2009 - 2010,001 Adair County,II,0,,37302,0,0
2009 - 2010,001 Adair County,II,1,,37302,0,0
2009 - 2010,001 Adair County,II,2,,37302,0,0
2009 - 2010,001 Adair County,II,3,,37302,0,0
2009 - 2010,001 Adair County,II,4,,41092,0,0
2009 - 2010,001 Adair County,II,5,,41092,0,0
2009 - 2010,001 Adair County,II,6,,41092,0,0
