Fiscal Year,District,Rank,Years,I,II,III
2022 - 2023,001 Adair County,I,0,47000,0,0
2022 - 2023,001 Adair County,I,1,48480,0,0
2022 - 2023,001 Adair County,I,2,49450,0,0
2022 - 2023,001 Adair County,I,3,50439,0,0
2022 - 2023,001 Adair County,I,4,51448,0,0
2022 - 2023,001 Adair County,I,5,52477,0,0
2022 - 2023,001 Adair County,I,6,53526,0,0
2022 - 2023,001 Adair County,I,7,54597,0,0
2022 - 2023,001 Adair County,I,8,55689,0,0
2022 - 2023,001 Adair County,I,9,56803,0,0
2022 - 2023,001 Adair County,I,10,57939,0,0
2022 - 2023,001 Adair County,I,11,58084,0,0
2022 - 2023,001 Adair County,I,12,58664,0,0
2022 - 2023,001 Adair County,I,13,59251,0,0
2022 - 2023,001 Adair County,I,14,59844,0,0
2022 - 2023,001 Adair County,I,15,59993,0,0
2022 - 2023,001 Adair County,I,16,60143,0,0
2022 - 2023,001 Adair County,I,17,60294,0,0
2022 - 2023,001 Adair County,I,18,60444,0,0
2022 - 2023,001 Adair County,I,19,60595,0,0
2022 - 2023,001 Adair County,I,20,60747,0,0
2022 - 2023,001 Adair County,I,21,60899,0,0
2022 - 2023,001 Adair County,I,22,61051,0,0
2022 - 2023,001 Adair County,I,23,61204,0,0
2022 - 2023,001 Adair County,I,24,61357,0,0
2022 - 2023,001 Adair County,I,25,61510,0,0
2022 - 2023,001 Adair County,I,26,61664,0,0
2022 - 2023,001 Adair County,I,27,61818,0,0
2022 - 2023,001 Adair County,I,28,61973,0,0
2022 - 2023,001 Adair County,I,29,62127,0,0
2022 - 2023,001 Adair County,I,30,62283,0,0
2022 - 2023,001 Adair County,I,31,62283,0,0
2022 - 2023,001 Adair County,I,32,62283,0,0
2022 - 2023,001 Adair County,I,33,62283,0,0
2022 - 2023,001 Adair County,I,34,62283,0,0
2022 - 2023,001 Adair County,I,35,62283,0,0
2022 - 2023,001 Adair County,I,36,62283,0,0
2022 - 2023,001 Adair County,I,37,62283,0,0
2022 - 2023,001 Adair County,I,38,62283,0,0
2022 - 2023,001 Adair County,I,39,62283,0,0
2022 - 2023,001 Adair County,I,40,62283,0,0
2022 - 2023,001 Adair County,II,0,42680,44000,0
2022 - 2023,001 Adair County,II,1,43533,45100,0
