Fiscal Year,District,Rank,Years,I,II,III
2022 - 2023,001 Adair County,II,2,44404,46228,0
2022 - 2023,001 Adair County,II,3,45292,47383,0
2022 - 2023,001 Adair County,II,4,46198,48568,0
2022 - 2023,001 Adair County,II,5,47122,49782,0
2022 - 2023,001 Adair County,II,6,48064,51027,0
2022 - 2023,001 Adair County,II,7,49025,52302,0
2022 - 2023,001 Adair County,II,8,50006,53610,0
2022 - 2023,001 Adair County,II,9,51006,54950,0
2022 - 2023,001 Adair County,II,10,52100,57000,0
2022 - 2023,001 Adair County,II,11,52621,57114,0
2022 - 2023,001 Adair County,II,12,53147,57228,0
2022 - 2023,001 Adair County,II,13,53679,57343,0
2022 - 2023,001 Adair County,II,14,54215,57457,0
2022 - 2023,001 Adair County,II,15,54351,57572,0
2022 - 2023,001 Adair County,II,16,54487,57687,0
2022 - 2023,001 Adair County,II,17,54623,57803,0
2022 - 2023,001 Adair County,II,18,54760,57918,0
2022 - 2023,001 Adair County,II,19,54897,58034,0
2022 - 2023,001 Adair County,II,20,55171,58150,0
2022 - 2023,001 Adair County,II,21,55309,58267,0
2022 - 2023,001 Adair County,II,22,55447,58383,0
2022 - 2023,001 Adair County,II,23,55586,58500,0
2022 - 2023,001 Adair County,II,24,55725,58617,0
2022 - 2023,001 Adair County,II,25,55864,58734,0
2022 - 2023,001 Adair County,II,26,56004,58852,0
2022 - 2023,001 Adair County,II,27,56144,58969,0
2022 - 2023,001 Adair County,II,28,56284,59087,0
2022 - 2023,001 Adair County,II,29,56425,59205,0
2022 - 2023,001 Adair County,II,30,56560,59324,0
2022 - 2023,001 Adair County,II,31,56560,59324,0
2022 - 2023,001 Adair County,II,32,56560,59324,0
2022 - 2023,001 Adair County,II,33,56560,59324,0
2022 - 2023,001 Adair County,II,34,56560,59324,0
2022 - 2023,001 Adair County,II,35,56560,59324,0
2022 - 2023,001 Adair County,II,36,56560,59324,0
2022 - 2023,001 Adair County,II,37,56560,59324,0
2022 - 2023,001 Adair County,II,38,56560,59324,0
2022 - 2023,001 Adair County,II,39,56560,59324,0
2022 - 2023,001 Adair County,II,40,56560,59324,0
2022 - 2023,001 Adair County,III,0,38000,0,0
2022 - 2023,001 Adair County,III,1,38760,0,0
2022 - 2023,001 Adair County,III,2,39535,0,0
2022 - 2023,001 Adair County,III,3,40326,0,0
2022 - 2023,001 Adair County,III,4,41132,0,0
2022 - 2023,001 Adair County,III,5,41995,0,0
2022 - 2023,001 Adair County,III,6,42794,0,0
2022 - 2023,001 Adair County,III,7,43650,0,0
2022 - 2023,001 Adair County,III,8,44523,0,0
2022 - 2023,001 Adair County,III,9,45414,0,0
2022 - 2023,001 Adair County,III,10,46322,0,0
2022 - 2023,001 Adair County,III,11,47248,0,0
2022 - 2023,001 Adair County,III,12,48193,0,0
2022 - 2023,001 Adair County,III,13,49157,0,0
2022 - 2023,001 Adair County,III,14,49403,0,0
2022 - 2023,001 Adair County,III,15,49650,0,0
2022 - 2023,001 Adair County,III,16,49898,0,0
2022 - 2023,001 Adair County,III,17,50148,0,0
2022 - 2023,001 Adair County,III,18,50398,0,0
2022 - 2023,001 Adair County,III,19,50650,0,0
2022 - 2023,001 Adair County,III,20,50904,0,0
2022 - 2023,001 Adair County,III,21,51158,0,0
2022 - 2023,001 Adair County,III,22,51414,0,0
2022 - 2023,001 Adair County,III,23,51671,0,0
2022 - 2023,001 Adair County,III,24,51929,0,0
2022 - 2023,001 Adair County,III,25,52189,0,0
2022 - 2023,001 Adair County,III,26,52450,0,0
2022 - 2023,001 Adair County,III,27,52712,0,0
2022 - 2023,001 Adair County,III,28,52976,0,0
2022 - 2023,001 Adair County,III,29,53241,0,0
2022 - 2023,001 Adair County,III,30,53507,0,0
2022 - 2023,001 Adair County,III,31,53507,0,0
2022 - 2023,001 Adair County,III,32,53507,0,0
2022 - 2023,001 Adair County,III,33,53507,0,0
2022 - 2023,001 Adair County,III,34,53507,0,0
2022 - 2023,001 Adair County,III,35,53507,0,0
2022 - 2023,001 Adair County,III,36,53507,0,0
2022 - 2023,001 Adair County,III,37,53507,0,0
2022 - 2023,001 Adair County,III,38,53507,0,0
2022 - 2023,001 Adair County,III,39,53507,0,0
2022 - 2023,001 Adair County,III,40,53507,0,0
2022 - 2023,001 Adair County,IV,0,30533,0,0
2022 - 2023,001 Adair County,IV,1,30533,0,0
2022 - 2023,001 Adair County,IV,2,30533,0,0
2022 - 2023,001 Adair County,IV,3,30533,0,0
2022 - 2023,001 Adair County,IV,4,30533,0,0
2022 - 2023,001 Adair County,IV,5,30533,0,0
2022 - 2023,001 Adair County,IV,6,30533,0,0
2022 - 2023,001 Adair County,IV,7,30533,0,0
2022 - 2023,001 Adair County,IV,8,30533,0,0
2022 - 2023,001 Adair County,IV,9,30533,0,0
2022 - 2023,001 Adair County,IV,10,30533,0,0
2022 - 2023,001 Adair County,IV,11,30533,0,0
2022 - 2023,001 Adair County,IV,12,30533,0,0
2022 - 2023,001 Adair County,IV,13,30533,0,0
2022 - 2023,001 Adair County,IV,14,30533,0,0
2022 - 2023,001 Adair County,IV,15,30533,0,0
2022 - 2023,001 Adair County,IV,16,30533,0,0
2022 - 2023,001 Adair County,IV,17,30533,0,0
2022 - 2023,001 Adair County,IV,18,30533,0,0
2022 - 2023,001 Adair County,IV,19,30533,0,0
2022 - 2023,001 Adair County,IV,20,30533,0,0
2022 - 2023,001 Adair County,IV,21,30533,0,0
2022 - 2023,001 Adair County,IV,22,30533,0,0
2022 - 2023,001 Adair County,IV,23,30533,0,0
2022 - 2023,001 Adair County,IV,24,30533,0,0
2022 - 2023,001 Adair County,IV,25,30533,0,0
2022 - 2023,001 Adair County,IV,26,30533,0,0
2022 - 2023,001 Adair County,IV,27,30533,0,0
2022 - 2023,001 Adair County,IV,28,30533,0,0
2022 - 2023,001 Adair County,IV,29,30533,0,0
2022 - 2023,001 Adair County,IV,30,30533,0,0
2022 - 2023,001 Adair County,IV,31,30533,0,0
2022 - 2023,001 Adair County,IV,32,30533,0,0
2022 - 2023,001 Adair County,IV,33,30533,0,0
2022 - 2023,001 Adair County,IV,34,30533,0,0
2022 - 2023,001 Adair County,IV,35,30533,0,0
2022 - 2023,001 Adair County,IV,36,30533,0,0
2022 - 2023,001 Adair County,IV,37,30533,0,0
2022 - 2023,001 Adair County,IV,38,30533,0,0
2022 - 2023,001 Adair County,IV,39,30533,0,0
2022 - 2023,001 Adair County,IV,40,30533,0,0
2022 - 2023,001 Adair County,V,0,28541,0,0
2022 - 2023,001 Adair County,V,1,28541,0,0
2022 - 2023,001 Adair County,V,2,28541,0,0
2022 - 2023,001 Adair County,V,3,28541,0,0
2022 - 2023,001 Adair County,V,4,28541,0,0
2022 - 2023,001 Adair County,V,5,28541,0,0
2022 - 2023,001 Adair County,V,6,28541,0,0
2022 - 2023,001 Adair County,V,7,28541,0,0
2022 - 2023,001 Adair County,V,8,28541,0,0
2022 - 2023,001 Adair County,V,9,28541,0,0
2022 - 2023,001 Adair County,V,10,28541,0,0
2022 - 2023,001 Adair County,V,11,28541,0,0
2022 - 2023,001 Adair County,V,12,28541,0,0
2022 - 2023,001 Adair County,V,13,28541,0,0
2022 - 2023,001 Adair County,V,14,28541,0,0
2022 - 2023,001 Adair County,V,15,28541,0,0
2022 - 2023,001 Adair County,V,16,28541,0,0
2022 - 2023,001 Adair County,V,17,28541,0,0
2022 - 2023,001 Adair County,V,18,28541,0,0
2022 - 2023,001 Adair County,V,19,28541,0,0
2022 - 2023,001 Adair County,V,20,28541,0,0
2022 - 2023,001 Adair County,V,21,28541,0,0
2022 - 2023,001 Adair County,V,22,28541,0,0
2022 - 2023,001 Adair County,V,23,28541,0,0
2022 - 2023,001 Adair County,V,24,28541,0,0
2022 - 2023,001 Adair County,V,25,28541,0,0
2022 - 2023,001 Adair County,V,26,28541,0,0
2022 - 2023,001 Adair County,V,27,28541,0,0
2022 - 2023,001 Adair County,V,28,28541,0,0
2022 - 2023,001 Adair County,V,29,28541,0,0
2022 - 2023,001 Adair County,V,30,28541,0,0
2022 - 2023,001 Adair County,V,31,28541,0,0
2022 - 2023,001 Adair County,V,32,28541,0,0
2022 - 2023,001 Adair County,V,33,28541,0,0
2022 - 2023,001 Adair County,V,34,28541,0,0
2022 - 2023,001 Adair County,V,35,28541,0,0
2022 - 2023,001 Adair County,V,36,28541,0,0
2022 - 2023,001 Adair County,V,37,28541,0,0
2022 - 2023,001 Adair County,V,38,28541,0,0
2022 - 2023,001 Adair County,V,39,28541,0,0
2022 - 2023,001 Adair County,V,40,28541,0,0
2022 - 2023,005 Allen County,I,0,47962,50299,0
2022 - 2023,005 Allen County,I,1,48056,50393,0
2022 - 2023,005 Allen County,I,2,48156,50496,0
2022 - 2023,005 Allen County,I,3,48246,50587,0
2022 - 2023,005 Allen County,I,4,52761,55101,0
2022 - 2023,005 Allen County,I,5,52853,55197,0
2022 - 2023,005 Allen County,I,6,52949,55296,0
2022 - 2023,005 Allen County,I,7,53042,55387,0
2022 - 2023,005 Allen County,I,8,53137,55484,0
2022 - 2023,005 Allen County,I,9,53231,55579,0
2022 - 2023,005 Allen County,I,10,59175,61521,0
2022 - 2023,005 Allen County,I,11,59267,61616,0
2022 - 2023,005 Allen County,I,12,59362,61707,0
2022 - 2023,005 Allen County,I,13,59454,61803,0
2022 - 2023,005 Allen County,I,14,59544,61899,0
2022 - 2023,005 Allen County,I,15,60862,63213,0
2022 - 2023,005 Allen County,I,16,60953,63309,0
2022 - 2023,005 Allen County,I,17,61050,63403,0
2022 - 2023,005 Allen County,I,18,61144,63501,0
2022 - 2023,005 Allen County,I,19,61242,63598,0
2022 - 2023,005 Allen County,I,20,62187,64547,0
2022 - 2023,005 Allen County,I,21,62284,64643,0
2022 - 2023,005 Allen County,I,22,62382,64742,0
2022 - 2023,005 Allen County,I,23,62477,64840,0
2022 - 2023,005 Allen County,I,24,62571,64938,0
2022 - 2023,005 Allen County,I,25,63309,65675,0
2022 - 2023,005 Allen County,I,26,63438,65804,0
2022 - 2023,005 Allen County,I,27,63563,65928,0
2022 - 2023,005 Allen County,I,28,63690,66061,0
2022 - 2023,005 Allen County,I,29,63818,66187,0
2022 - 2023,005 Allen County,I,30,65734,68105,0
2022 - 2023,005 Allen County,I,31,65734,68105,0
2022 - 2023,005 Allen County,I,32,65734,68105,0
2022 - 2023,005 Allen County,I,33,65734,68105,0
2022 - 2023,005 Allen County,I,34,65734,68105,0
2022 - 2023,005 Allen County,I,35,65734,68105,0
2022 - 2023,005 Allen County,I,36,65734,68105,0
2022 - 2023,005 Allen County,I,37,65734,68105,0
2022 - 2023,005 Allen County,I,38,65734,68105,0
2022 - 2023,005 Allen County,I,39,65734,68105,0
2022 - 2023,005 Allen County,I,40,65734,68105,0
2022 - 2023,005 Allen County,II,0,43814,0,0
2022 - 2023,005 Allen County,II,1,43908,0,0
2022 - 2023,005 Allen County,II,2,43997,0,0
2022 - 2023,005 Allen County,II,3,44089,0,0
2022 - 2023,005 Allen County,II,4,47894,0,0
2022 - 2023,005 Allen County,II,5,47990,0,0
2022 - 2023,005 Allen County,II,6,48080,0,0
2022 - 2023,005 Allen County,II,7,48176,0,0
2022 - 2023,005 Allen County,II,8,48272,0,0
2022 - 2023,005 Allen County,II,9,48365,0,0
2022 - 2023,005 Allen County,II,10,54756,0,0
2022 - 2023,005 Allen County,II,11,54851,0,0
2022 - 2023,005 Allen County,II,12,54944,0,0
2022 - 2023,005 Allen County,II,13,55036,0,0
2022 - 2023,005 Allen County,II,14,55132,0,0
2022 - 2023,005 Allen County,II,15,56463,0,0
2022 - 2023,005 Allen County,II,16,56558,0,0
2022 - 2023,005 Allen County,II,17,56653,0,0
2022 - 2023,005 Allen County,II,18,56744,0,0
2022 - 2023,005 Allen County,II,19,56841,0,0
2022 - 2023,005 Allen County,II,20,58642,0,0
2022 - 2023,005 Allen County,II,21,58740,0,0
2022 - 2023,005 Allen County,II,22,58835,0,0
2022 - 2023,005 Allen County,II,23,58929,0,0
2022 - 2023,005 Allen County,II,24,59027,0,0
2022 - 2023,005 Allen County,II,25,59761,0,0
2022 - 2023,005 Allen County,II,26,59889,0,0
2022 - 2023,005 Allen County,II,27,60017,0,0
2022 - 2023,005 Allen County,II,28,60144,0,0
2022 - 2023,005 Allen County,II,29,60273,0,0
2022 - 2023,005 Allen County,II,30,62189,0,0
2022 - 2023,005 Allen County,II,31,62189,0,0
2022 - 2023,005 Allen County,II,32,62189,0,0
2022 - 2023,005 Allen County,II,33,62189,0,0
2022 - 2023,005 Allen County,II,34,62189,0,0
2022 - 2023,005 Allen County,II,35,62189,0,0
2022 - 2023,005 Allen County,II,36,62189,0,0
2022 - 2023,005 Allen County,II,37,62189,0,0
2022 - 2023,005 Allen County,II,38,62189,0,0
2022 - 2023,005 Allen County,II,39,62189,0,0
2022 - 2023,005 Allen County,II,40,62189,0,0
2022 - 2023,005 Allen County,III,0,39249,0,0
2022 - 2023,005 Allen County,III,1,39339,0,0
2022 - 2023,005 Allen County,III,2,39430,0,0
2022 - 2023,005 Allen County,III,3,39517,0,0
2022 - 2023,005 Allen County,III,4,43554,0,0
2022 - 2023,005 Allen County,III,5,43644,0,0
2022 - 2023,005 Allen County,III,6,43733,0,0
2022 - 2023,005 Allen County,III,7,43825,0,0
2022 - 2023,005 Allen County,III,8,43917,0,0
2022 - 2023,005 Allen County,III,9,44011,0,0
2022 - 2023,005 Allen County,III,10,50163,0,0
2022 - 2023,005 Allen County,III,11,50259,0,0
2022 - 2023,005 Allen County,III,12,50347,0,0
2022 - 2023,005 Allen County,III,13,50443,0,0
2022 - 2023,005 Allen County,III,14,50541,0,0
2022 - 2023,005 Allen County,III,15,51871,0,0
2022 - 2023,005 Allen County,III,16,51967,0,0
2022 - 2023,005 Allen County,III,17,52062,0,0
2022 - 2023,005 Allen County,III,18,52155,0,0
2022 - 2023,005 Allen County,III,19,52247,0,0
2022 - 2023,005 Allen County,III,20,54903,0,0
2022 - 2023,005 Allen County,III,21,54997,0,0
2022 - 2023,005 Allen County,III,22,55094,0,0
2022 - 2023,005 Allen County,III,23,55186,0,0
2022 - 2023,005 Allen County,III,24,55279,0,0
2022 - 2023,005 Allen County,III,25,56011,0,0
2022 - 2023,005 Allen County,III,26,56141,0,0
2022 - 2023,005 Allen County,III,27,56270,0,0
2022 - 2023,005 Allen County,III,28,56396,0,0
2022 - 2023,005 Allen County,III,29,56523,0,0
2022 - 2023,005 Allen County,III,30,58440,0,0
2022 - 2023,005 Allen County,III,31,58440,0,0
2022 - 2023,005 Allen County,III,32,58440,0,0
2022 - 2023,005 Allen County,III,33,58440,0,0
2022 - 2023,005 Allen County,III,34,58440,0,0
2022 - 2023,005 Allen County,III,35,58440,0,0
2022 - 2023,005 Allen County,III,36,58440,0,0
2022 - 2023,005 Allen County,III,37,58440,0,0
2022 - 2023,005 Allen County,III,38,58440,0,0
2022 - 2023,005 Allen County,III,39,58440,0,0
2022 - 2023,005 Allen County,III,40,58440,0,0
2022 - 2023,005 Allen County,IV,0,33850,0,0
2022 - 2023,005 Allen County,IV,1,33850,0,0
2022 - 2023,005 Allen County,IV,2,33850,0,0
2022 - 2023,005 Allen County,IV,3,33850,0,0
2022 - 2023,005 Allen County,IV,4,33850,0,0
2022 - 2023,005 Allen County,IV,5,33850,0,0
2022 - 2023,005 Allen County,IV,6,33850,0,0
2022 - 2023,005 Allen County,IV,7,33850,0,0
2022 - 2023,005 Allen County,IV,8,33850,0,0
2022 - 2023,005 Allen County,IV,9,33850,0,0
2022 - 2023,005 Allen County,IV,10,33850,0,0
2022 - 2023,005 Allen County,IV,11,33850,0,0
2022 - 2023,005 Allen County,IV,12,33850,0,0
2022 - 2023,005 Allen County,IV,13,33850,0,0
2022 - 2023,005 Allen County,IV,14,33850,0,0
2022 - 2023,005 Allen County,IV,15,33850,0,0
2022 - 2023,005 Allen County,IV,16,33850,0,0
2022 - 2023,005 Allen County,IV,17,33850,0,0
2022 - 2023,005 Allen County,IV,18,33850,0,0
2022 - 2023,005 Allen County,IV,19,33850,0,0
2022 - 2023,005 Allen County,IV,20,33850,0,0
2022 - 2023,005 Allen County,IV,21,33850,0,0
2022 - 2023,005 Allen County,IV,22,33850,0,0
2022 - 2023,005 Allen County,IV,23,33850,0,0
2022 - 2023,005 Allen County,IV,24,33850,0,0
2022 - 2023,005 Allen County,IV,25,33850,0,0
2022 - 2023,005 Allen County,IV,26,33850,0,0
2022 - 2023,005 Allen County,IV,27,33850,0,0
2022 - 2023,005 Allen County,IV,28,33850,0,0
2022 - 2023,005 Allen County,IV,29,33850,0,0
2022 - 2023,005 Allen County,IV,30,33850,0,0
2022 - 2023,005 Allen County,IV,31,33850,0,0
2022 - 2023,005 Allen County,IV,32,33850,0,0
2022 - 2023,005 Allen County,IV,33,33850,0,0
2022 - 2023,005 Allen County,IV,34,33850,0,0
2022 - 2023,005 Allen County,IV,35,33850,0,0
2022 - 2023,005 Allen County,IV,36,33850,0,0
2022 - 2023,005 Allen County,IV,37,33850,0,0
2022 - 2023,005 Allen County,IV,38,33850,0,0
2022 - 2023,005 Allen County,IV,39,33850,0,0
2022 - 2023,005 Allen County,IV,40,33850,0,0
2022 - 2023,005 Allen County,V,0,32372,0,0
2022 - 2023,005 Allen County,V,1,32372,0,0
2022 - 2023,005 Allen County,V,2,32372,0,0
2022 - 2023,005 Allen County,V,3,32372,0,0
2022 - 2023,005 Allen County,V,4,32372,0,0
2022 - 2023,005 Allen County,V,5,32372,0,0
2022 - 2023,005 Allen County,V,6,32372,0,0
2022 - 2023,005 Allen County,V,7,32372,0,0
2022 - 2023,005 Allen County,V,8,32372,0,0
2022 - 2023,005 Allen County,V,9,32372,0,0
2022 - 2023,005 Allen County,V,10,32372,0,0
2022 - 2023,005 Allen County,V,11,32372,0,0
2022 - 2023,005 Allen County,V,12,32372,0,0
2022 - 2023,005 Allen County,V,13,32372,0,0
2022 - 2023,005 Allen County,V,14,32372,0,0
2022 - 2023,005 Allen County,V,15,32372,0,0
2022 - 2023,005 Allen County,V,16,32372,0,0
2022 - 2023,005 Allen County,V,17,32372,0,0
2022 - 2023,005 Allen County,V,18,32372,0,0
2022 - 2023,005 Allen County,V,19,32372,0,0
2022 - 2023,005 Allen County,V,20,32372,0,0
2022 - 2023,005 Allen County,V,21,32372,0,0
2022 - 2023,005 Allen County,V,22,32372,0,0
2022 - 2023,005 Allen County,V,23,32372,0,0
2022 - 2023,005 Allen County,V,24,32372,0,0
2022 - 2023,005 Allen County,V,25,32372,0,0
2022 - 2023,005 Allen County,V,26,32372,0,0
2022 - 2023,005 Allen County,V,27,32372,0,0
2022 - 2023,005 Allen County,V,28,32372,0,0
2022 - 2023,005 Allen County,V,29,32372,0,0
2022 - 2023,005 Allen County,V,30,32372,0,0
2022 - 2023,005 Allen County,V,31,32372,0,0
2022 - 2023,005 Allen County,V,32,32372,0,0
2022 - 2023,005 Allen County,V,33,32372,0,0
2022 - 2023,005 Allen County,V,34,32372,0,0
2022 - 2023,005 Allen County,V,35,32372,0,0
2022 - 2023,005 Allen County,V,36,32372,0,0
2022 - 2023,005 Allen County,V,37,32372,0,0
2022 - 2023,005 Allen County,V,38,32372,0,0
2022 - 2023,005 Allen County,V,39,32372,0,0
2022 - 2023,005 Allen County,V,40,32372,0,0
2022 - 2023,006 Anchorage Independent,I,0,54420,56872,0
2022 - 2023,006 Anchorage Independent,I,1,55552,58003,0
2022 - 2023,006 Anchorage Independent,I,2,56682,60269,0
2022 - 2023,006 Anchorage Independent,I,3,57815,61412,0
2022 - 2023,006 Anchorage Independent,I,4,58947,62575,0
2022 - 2023,006 Anchorage Independent,I,5,60080,63736,0
2022 - 2023,006 Anchorage Independent,I,6,61219,64899,0
2022 - 2023,006 Anchorage Independent,I,7,62381,66061,0
2022 - 2023,006 Anchorage Independent,I,8,63349,67224,0
2022 - 2023,006 Anchorage Independent,I,9,64511,68390,0
2022 - 2023,006 Anchorage Independent,I,10,65675,69551,0
2022 - 2023,006 Anchorage Independent,I,11,68969,70713,0
2022 - 2023,006 Anchorage Independent,I,12,70518,71875,0
2022 - 2023,006 Anchorage Independent,I,13,72069,73039,0
2022 - 2023,006 Anchorage Independent,I,14,73620,74201,0
2022 - 2023,006 Anchorage Independent,I,15,75171,75366,0
2022 - 2023,006 Anchorage Independent,I,16,76720,76915,0
2022 - 2023,006 Anchorage Independent,I,17,78270,78658,0
2022 - 2023,006 Anchorage Independent,I,18,79822,80403,0
2022 - 2023,006 Anchorage Independent,I,19,80597,81178,0
2022 - 2023,006 Anchorage Independent,I,20,82148,82730,0
2022 - 2023,006 Anchorage Independent,I,21,82339,83503,0
2022 - 2023,006 Anchorage Independent,I,22,82535,84277,0
2022 - 2023,006 Anchorage Independent,I,23,82632,85052,0
2022 - 2023,006 Anchorage Independent,I,24,82730,85828,0
2022 - 2023,006 Anchorage Independent,I,25,83521,86992,0
2022 - 2023,006 Anchorage Independent,I,26,83697,88154,0
2022 - 2023,006 Anchorage Independent,I,27,85246,89121,0
2022 - 2023,006 Anchorage Independent,I,28,85246,89121,0
2022 - 2023,006 Anchorage Independent,I,29,85246,89121,0
2022 - 2023,006 Anchorage Independent,I,30,85246,89121,0
2022 - 2023,006 Anchorage Independent,I,31,85246,89121,0
2022 - 2023,006 Anchorage Independent,I,32,85246,89121,0
2022 - 2023,006 Anchorage Independent,I,33,85246,89121,0
2022 - 2023,006 Anchorage Independent,I,34,85246,89121,0
2022 - 2023,006 Anchorage Independent,I,35,85246,89121,0
2022 - 2023,006 Anchorage Independent,I,36,85246,89121,0
2022 - 2023,006 Anchorage Independent,I,37,85246,89121,0
2022 - 2023,006 Anchorage Independent,I,38,85246,89121,0
2022 - 2023,006 Anchorage Independent,I,39,85246,89121,0
2022 - 2023,006 Anchorage Independent,I,40,85246,89121,0
2022 - 2023,006 Anchorage Independent,II,0,48457,50268,0
2022 - 2023,006 Anchorage Independent,II,1,49400,51022,0
2022 - 2023,006 Anchorage Independent,II,2,50343,51777,0
2022 - 2023,006 Anchorage Independent,II,3,51287,52531,0
2022 - 2023,006 Anchorage Independent,II,4,52606,53285,0
2022 - 2023,006 Anchorage Independent,II,5,53739,54794,0
2022 - 2023,006 Anchorage Independent,II,6,54684,56306,0
2022 - 2023,006 Anchorage Independent,II,7,55816,57815,0
2022 - 2023,006 Anchorage Independent,II,8,57135,59326,0
2022 - 2023,006 Anchorage Independent,II,9,58646,60833,0
2022 - 2023,006 Anchorage Independent,II,10,60155,62381,0
2022 - 2023,006 Anchorage Independent,II,11,63232,65094,0
2022 - 2023,006 Anchorage Independent,II,12,65170,66643,0
2022 - 2023,006 Anchorage Independent,II,13,66723,68195,0
2022 - 2023,006 Anchorage Independent,II,14,68273,69746,0
2022 - 2023,006 Anchorage Independent,II,15,69821,71296,0
2022 - 2023,006 Anchorage Independent,II,16,72148,74783,0
2022 - 2023,006 Anchorage Independent,II,17,74861,76720,0
2022 - 2023,006 Anchorage Independent,II,18,75248,76914,0
2022 - 2023,006 Anchorage Independent,II,19,75636,77107,0
2022 - 2023,006 Anchorage Independent,II,20,76412,77883,0
2022 - 2023,006 Anchorage Independent,II,21,76798,78270,0
2022 - 2023,006 Anchorage Independent,II,22,76991,78658,0
2022 - 2023,006 Anchorage Independent,II,23,77186,79045,0
2022 - 2023,006 Anchorage Independent,II,24,77381,79241,0
2022 - 2023,006 Anchorage Independent,II,25,77768,79434,0
2022 - 2023,006 Anchorage Independent,II,26,77960,79822,0
2022 - 2023,006 Anchorage Independent,II,27,79434,81372,0
2022 - 2023,006 Anchorage Independent,II,28,79434,81372,0
2022 - 2023,006 Anchorage Independent,II,29,79434,81372,0
2022 - 2023,006 Anchorage Independent,II,30,79434,81372,0
2022 - 2023,006 Anchorage Independent,II,31,79434,81372,0
2022 - 2023,006 Anchorage Independent,II,32,79434,81372,0
2022 - 2023,006 Anchorage Independent,II,33,79434,81372,0
2022 - 2023,006 Anchorage Independent,II,34,79434,81372,0
2022 - 2023,006 Anchorage Independent,II,35,79434,81372,0
2022 - 2023,006 Anchorage Independent,II,36,79434,81372,0
2022 - 2023,006 Anchorage Independent,II,37,79434,81372,0
2022 - 2023,006 Anchorage Independent,II,38,79434,81372,0
2022 - 2023,006 Anchorage Independent,II,39,79434,81372,0
2022 - 2023,006 Anchorage Independent,II,40,79434,81372,0
2022 - 2023,006 Anchorage Independent,III,0,43097,44606,0
2022 - 2023,006 Anchorage Independent,III,1,43851,45551,0
2022 - 2023,006 Anchorage Independent,III,2,44606,46495,0
2022 - 2023,006 Anchorage Independent,III,3,45362,47439,0
2022 - 2023,006 Anchorage Independent,III,4,46871,48380,0
2022 - 2023,006 Anchorage Independent,III,5,48193,49324,0
2022 - 2023,006 Anchorage Independent,III,6,49512,50833,0
2022 - 2023,006 Anchorage Independent,III,7,50646,51965,0
2022 - 2023,006 Anchorage Independent,III,8,51965,53099,0
2022 - 2023,006 Anchorage Independent,III,9,53285,54229,0
2022 - 2023,006 Anchorage Independent,III,10,54609,56682,0
2022 - 2023,006 Anchorage Independent,III,11,57625,57815,0
2022 - 2023,006 Anchorage Independent,III,12,58381,58760,0
2022 - 2023,006 Anchorage Independent,III,13,59701,59891,0
2022 - 2023,006 Anchorage Independent,III,14,59891,61025,0
2022 - 2023,006 Anchorage Independent,III,15,60833,62188,0
2022 - 2023,006 Anchorage Independent,III,16,62963,64511,0
2022 - 2023,006 Anchorage Independent,III,17,64318,65675,0
