Fiscal Year,District,Rank,Years,,I,II,III
2010 - 2011,001 Adair County,I,0,,40872,0,0
2010 - 2011,001 Adair County,I,1,,40872,0,0
2010 - 2011,001 Adair County,I,2,,40872,0,0
2010 - 2011,001 Adair County,I,3,,40872,0,0
2010 - 2011,001 Adair County,I,4,,44641,0,0
2010 - 2011,001 Adair County,I,5,,44641,0,0
2010 - 2011,001 Adair County,I,6,,44641,0,0
2010 - 2011,001 Adair County,I,7,,44641,0,0
2010 - 2011,001 Adair County,I,8,,44641,0,0
2010 - 2011,001 Adair County,I,9,,44641,0,0
2010 - 2011,001 Adair County,I,10,,49534,0,0
2010 - 2011,001 Adair County,I,11,,49534,0,0
2010 - 2011,001 Adair County,I,12,,49534,0,0
2010 - 2011,001 Adair County,I,13,,49534,0,0
2010 - 2011,001 Adair County,I,14,,49534,0,0
2010 - 2011,001 Adair County,I,15,,50973,0,0
2010 - 2011,001 Adair County,I,16,,50973,0,0
2010 - 2011,001 Adair County,I,17,,50973,0,0
2010 - 2011,001 Adair County,I,18,,50973,0,0
2010 - 2011,001 Adair County,I,19,,50973,0,0
2010 - 2011,001 Adair County,I,20,,51684,0,0
2010 - 2011,001 Adair County,I,21,,51684,0,0
2010 - 2011,001 Adair County,I,22,,51684,0,0
2010 - 2011,001 Adair County,I,23,,51684,0,0
2010 - 2011,001 Adair County,I,24,,51684,0,0
2010 - 2011,001 Adair County,I,25,,51684,0,0
2010 - 2011,001 Adair County,I,26,,51684,0,0
2010 - 2011,001 Adair County,I,27,,51684,0,0
2010 - 2011,001 Adair County,I,28,,51684,0,0
2010 - 2011,001 Adair County,I,29,,51684,0,0
2010 - 2011,001 Adair County,I,30,,51684,0,0
2010 - 2011,001 Adair County,I,31,,51684,0,0
2010 - 2011,001 Adair County,I,32,,51684,0,0
2010 - 2011,001 Adair County,I,33,,51684,0,0
2010 - 2011,001 Adair County,I,34,,51684,0,0
2010 - 2011,001 Adair County,I,35,,51684,0,0
2010 - 2011,001 Adair County,I,36,,51684,0,0
2010 - 2011,001 Adair County,I,37,,51684,0,0
2010 - 2011,001 Adair County,I,38,,51684,0,0
2010 - 2011,001 Adair County,I,39,,51684,0,0
2010 - 2011,001 Adair County,I,40,,51684,0,0
2010 - 2011,001 Adair County,II,0,,37103,0,0
2010 - 2011,001 Adair County,II,1,,37103,0,0
2010 - 2011,001 Adair County,II,2,,37103,0,0
2010 - 2011,001 Adair County,II,3,,37103,0,0
2010 - 2011,001 Adair County,II,4,,40872,0,0
2010 - 2011,001 Adair County,II,5,,40872,0,0
2010 - 2011,001 Adair County,II,6,,40872,0,0
2010 - 2011,001 Adair County,II,7,,40872,0,0
2010 - 2011,001 Adair County,II,8,,40872,0,0
2010 - 2011,001 Adair County,II,9,,40872,0,0
2010 - 2011,001 Adair County,II,10,,45733,0,0
2010 - 2011,001 Adair County,II,11,,45733,0,0
2010 - 2011,001 Adair County,II,12,,45733,0,0
2010 - 2011,001 Adair County,II,13,,45733,0,0
2010 - 2011,001 Adair County,II,14,,45733,0,0
2010 - 2011,001 Adair County,II,15,,47186,0,0
2010 - 2011,001 Adair County,II,16,,47186,0,0
2010 - 2011,001 Adair County,II,17,,47186,0,0
2010 - 2011,001 Adair County,II,18,,47186,0,0
2010 - 2011,001 Adair County,II,19,,47186,0,0
2010 - 2011,001 Adair County,II,20,,47898,0,0
2010 - 2011,001 Adair County,II,21,,47898,0,0
2010 - 2011,001 Adair County,II,22,,47898,0,0
