Fiscal Year,District,Rank,Years,,I,II,III
2014 - 2015,001 Adair County,I,0,,41689,0,0
2014 - 2015,001 Adair County,I,1,,41689,0,0
2014 - 2015,001 Adair County,I,2,,41689,0,0
2014 - 2015,001 Adair County,I,3,,41689,0,0
2014 - 2015,001 Adair County,I,4,,45534,0,0
2014 - 2015,001 Adair County,I,5,,45534,0,0
2014 - 2015,001 Adair County,I,6,,45534,0,0
2014 - 2015,001 Adair County,I,7,,45534,0,0
2014 - 2015,001 Adair County,I,8,,45534,0,0
2014 - 2015,001 Adair County,I,9,,45534,0,0
2014 - 2015,001 Adair County,I,10,,50525,0,0
2014 - 2015,001 Adair County,I,11,,50525,0,0
2014 - 2015,001 Adair County,I,12,,50525,0,0
2014 - 2015,001 Adair County,I,13,,50525,0,0
2014 - 2015,001 Adair County,I,14,,50525,0,0
2014 - 2015,001 Adair County,I,15,,51992,0,0
2014 - 2015,001 Adair County,I,16,,51992,0,0
2014 - 2015,001 Adair County,I,17,,51992,0,0
2014 - 2015,001 Adair County,I,18,,51992,0,0
2014 - 2015,001 Adair County,I,19,,51992,0,0
2014 - 2015,001 Adair County,I,20,,52718,0,0
2014 - 2015,001 Adair County,I,21,,52718,0,0
2014 - 2015,001 Adair County,I,22,,52718,0,0
2014 - 2015,001 Adair County,I,23,,52718,0,0
2014 - 2015,001 Adair County,I,24,,52718,0,0
2014 - 2015,001 Adair County,I,25,,52718,0,0
2014 - 2015,001 Adair County,I,26,,52718,0,0
2014 - 2015,001 Adair County,I,27,,52718,0,0
2014 - 2015,001 Adair County,I,28,,52718,0,0
2014 - 2015,001 Adair County,I,29,,52718,0,0
2014 - 2015,001 Adair County,I,30,,52718,0,0
2014 - 2015,001 Adair County,I,31,,52718,0,0
2014 - 2015,001 Adair County,I,32,,52718,0,0
2014 - 2015,001 Adair County,I,33,,52718,0,0
2014 - 2015,001 Adair County,I,34,,52718,0,0
2014 - 2015,001 Adair County,I,35,,52718,0,0
2014 - 2015,001 Adair County,I,36,,52718,0,0
2014 - 2015,001 Adair County,I,37,,52718,0,0
2014 - 2015,001 Adair County,I,38,,52718,0,0
2014 - 2015,001 Adair County,I,39,,52718,0,0
2014 - 2015,001 Adair County,I,40,,52718,0,0
2014 - 2015,001 Adair County,II,0,,37845,0,0
2014 - 2015,001 Adair County,II,1,,37845,0,0
2014 - 2015,001 Adair County,II,2,,37845,0,0
2014 - 2015,001 Adair County,II,3,,37845,0,0
2014 - 2015,001 Adair County,II,4,,41689,0,0
2014 - 2015,001 Adair County,II,5,,41689,0,0
2014 - 2015,001 Adair County,II,6,,41689,0,0
2014 - 2015,001 Adair County,II,7,,41689,0,0
2014 - 2015,001 Adair County,II,8,,41689,0,0
2014 - 2015,001 Adair County,II,9,,41689,0,0
2014 - 2015,001 Adair County,II,10,,46648,0,0
2014 - 2015,001 Adair County,II,11,,46648,0,0
2014 - 2015,001 Adair County,II,12,,46648,0,0
2014 - 2015,001 Adair County,II,13,,46648,0,0
2014 - 2015,001 Adair County,II,14,,46648,0,0
2014 - 2015,001 Adair County,II,15,,48130,0,0
2014 - 2015,001 Adair County,II,16,,48130,0,0
2014 - 2015,001 Adair County,II,17,,48130,0,0
2014 - 2015,001 Adair County,II,18,,48130,0,0
2014 - 2015,001 Adair County,II,19,,48130,0,0
2014 - 2015,001 Adair County,II,20,,48856,0,0
2014 - 2015,001 Adair County,II,21,,48856,0,0
2014 - 2015,001 Adair County,II,22,,48856,0,0
2014 - 2015,001 Adair County,II,23,,48856,0,0
2014 - 2015,001 Adair County,II,24,,48856,0,0
2014 - 2015,001 Adair County,II,25,,48856,0,0
2014 - 2015,001 Adair County,II,26,,48856,0,0
2014 - 2015,001 Adair County,II,27,,48856,0,0
2014 - 2015,001 Adair County,II,28,,48856,0,0
2014 - 2015,001 Adair County,II,29,,48856,0,0
2014 - 2015,001 Adair County,II,30,,48856,0,0
2014 - 2015,001 Adair County,II,31,,48856,0,0
2014 - 2015,001 Adair County,II,32,,48856,0,0
2014 - 2015,001 Adair County,II,33,,48856,0,0
2014 - 2015,001 Adair County,II,34,,48856,0,0
2014 - 2015,001 Adair County,II,35,,48856,0,0
2014 - 2015,001 Adair County,II,36,,48856,0,0
2014 - 2015,001 Adair County,II,37,,48856,0,0
2014 - 2015,001 Adair County,II,38,,48856,0,0
2014 - 2015,001 Adair County,II,39,,48856,0,0
2014 - 2015,001 Adair County,II,40,,48856,0,0
2014 - 2015,001 Adair County,III,0,,33967,0,0
2014 - 2015,001 Adair County,III,1,,33967,0,0
2014 - 2015,001 Adair County,III,2,,33967,0,0
2014 - 2015,001 Adair County,III,3,,33967,0,0
2014 - 2015,001 Adair County,III,4,,37845,0,0
2014 - 2015,001 Adair County,III,5,,37845,0,0
2014 - 2015,001 Adair County,III,6,,37845,0,0
2014 - 2015,001 Adair County,III,7,,37845,0,0
2014 - 2015,001 Adair County,III,8,,37845,0,0
2014 - 2015,001 Adair County,III,9,,37845,0,0
2014 - 2015,001 Adair County,III,10,,42770,0,0
2014 - 2015,001 Adair County,III,11,,42770,0,0
2014 - 2015,001 Adair County,III,12,,42770,0,0
2014 - 2015,001 Adair County,III,13,,42770,0,0
2014 - 2015,001 Adair County,III,14,,42770,0,0
2014 - 2015,001 Adair County,III,15,,44253,0,0
2014 - 2015,001 Adair County,III,16,,44253,0,0
2014 - 2015,001 Adair County,III,17,,44253,0,0
2014 - 2015,001 Adair County,III,18,,44253,0,0
2014 - 2015,001 Adair County,III,19,,44253,0,0
2014 - 2015,001 Adair County,III,20,,44962,0,0
2014 - 2015,001 Adair County,III,21,,44962,0,0
2014 - 2015,001 Adair County,III,22,,44962,0,0
2014 - 2015,001 Adair County,III,23,,44962,0,0
2014 - 2015,001 Adair County,III,24,,44962,0,0
2014 - 2015,001 Adair County,III,25,,44962,0,0
2014 - 2015,001 Adair County,III,26,,44962,0,0
2014 - 2015,001 Adair County,III,27,,44962,0,0
2014 - 2015,001 Adair County,III,28,,44962,0,0
2014 - 2015,001 Adair County,III,29,,44962,0,0
2014 - 2015,001 Adair County,III,30,,44962,0,0
2014 - 2015,001 Adair County,III,31,,44962,0,0
2014 - 2015,001 Adair County,III,32,,44962,0,0
2014 - 2015,001 Adair County,III,33,,44962,0,0
2014 - 2015,001 Adair County,III,34,,44962,0,0
2014 - 2015,001 Adair County,III,35,,44962,0,0
2014 - 2015,001 Adair County,III,36,,44962,0,0
2014 - 2015,001 Adair County,III,37,,44962,0,0
2014 - 2015,001 Adair County,III,38,,44962,0,0
2014 - 2015,001 Adair County,III,39,,44962,0,0
2014 - 2015,001 Adair County,III,40,,44962,0,0
2014 - 2015,001 Adair County,IV,0,,29934,0,0
2014 - 2015,001 Adair County,IV,1,,29934,0,0
2014 - 2015,001 Adair County,IV,2,,29934,0,0
2014 - 2015,001 Adair County,IV,3,,29934,0,0
2014 - 2015,001 Adair County,IV,4,,29934,0,0
2014 - 2015,001 Adair County,IV,5,,29934,0,0
2014 - 2015,001 Adair County,IV,6,,29934,0,0
2014 - 2015,001 Adair County,IV,7,,29934,0,0
2014 - 2015,001 Adair County,IV,8,,29934,0,0
2014 - 2015,001 Adair County,IV,9,,29934,0,0
2014 - 2015,001 Adair County,IV,10,,29934,0,0
2014 - 2015,001 Adair County,IV,11,,29934,0,0
2014 - 2015,001 Adair County,IV,12,,29934,0,0
2014 - 2015,001 Adair County,IV,13,,29934,0,0
2014 - 2015,001 Adair County,IV,14,,29934,0,0
2014 - 2015,001 Adair County,IV,15,,29934,0,0
2014 - 2015,001 Adair County,IV,16,,29934,0,0
2014 - 2015,001 Adair County,IV,17,,29934,0,0
2014 - 2015,001 Adair County,IV,18,,29934,0,0
2014 - 2015,001 Adair County,IV,19,,29934,0,0
2014 - 2015,001 Adair County,IV,20,,29934,0,0
2014 - 2015,001 Adair County,IV,21,,29934,0,0
2014 - 2015,001 Adair County,IV,22,,29934,0,0
2014 - 2015,001 Adair County,IV,23,,29934,0,0
2014 - 2015,001 Adair County,IV,24,,29934,0,0
2014 - 2015,001 Adair County,IV,25,,29934,0,0
2014 - 2015,001 Adair County,IV,26,,29934,0,0
2014 - 2015,001 Adair County,IV,27,,29934,0,0
2014 - 2015,001 Adair County,IV,28,,29934,0,0
2014 - 2015,001 Adair County,IV,29,,29934,0,0
2014 - 2015,001 Adair County,IV,30,,29934,0,0
2014 - 2015,001 Adair County,IV,31,,29934,0,0
2014 - 2015,001 Adair County,IV,32,,29934,0,0
2014 - 2015,001 Adair County,IV,33,,29934,0,0
2014 - 2015,001 Adair County,IV,34,,29934,0,0
2014 - 2015,001 Adair County,IV,35,,29934,0,0
2014 - 2015,001 Adair County,IV,36,,29934,0,0
2014 - 2015,001 Adair County,IV,37,,29934,0,0
2014 - 2015,001 Adair County,IV,38,,29934,0,0
2014 - 2015,001 Adair County,IV,39,,29934,0,0
2014 - 2015,001 Adair County,IV,40,,29934,0,0
2014 - 2015,001 Adair County,V,0,,27981,0,0
2014 - 2015,001 Adair County,V,1,,27981,0,0
2014 - 2015,001 Adair County,V,2,,27981,0,0
2014 - 2015,001 Adair County,V,3,,27981,0,0
2014 - 2015,001 Adair County,V,4,,27981,0,0
2014 - 2015,001 Adair County,V,5,,27981,0,0
2014 - 2015,001 Adair County,V,6,,27981,0,0
2014 - 2015,001 Adair County,V,7,,27981,0,0
2014 - 2015,001 Adair County,V,8,,27981,0,0
2014 - 2015,001 Adair County,V,9,,27981,0,0
2014 - 2015,001 Adair County,V,10,,27981,0,0
2014 - 2015,001 Adair County,V,11,,27981,0,0
2014 - 2015,001 Adair County,V,12,,27981,0,0
2014 - 2015,001 Adair County,V,13,,27981,0,0
2014 - 2015,001 Adair County,V,14,,27981,0,0
2014 - 2015,001 Adair County,V,15,,27981,0,0
2014 - 2015,001 Adair County,V,16,,27981,0,0
2014 - 2015,001 Adair County,V,17,,27981,0,0
2014 - 2015,001 Adair County,V,18,,27981,0,0
2014 - 2015,001 Adair County,V,19,,27981,0,0
2014 - 2015,001 Adair County,V,20,,27981,0,0
2014 - 2015,001 Adair County,V,21,,27981,0,0
2014 - 2015,001 Adair County,V,22,,27981,0,0
2014 - 2015,001 Adair County,V,23,,27981,0,0
2014 - 2015,001 Adair County,V,24,,27981,0,0
2014 - 2015,001 Adair County,V,25,,27981,0,0
2014 - 2015,001 Adair County,V,26,,27981,0,0
2014 - 2015,001 Adair County,V,27,,27981,0,0
2014 - 2015,001 Adair County,V,28,,27981,0,0
2014 - 2015,001 Adair County,V,29,,27981,0,0
2014 - 2015,001 Adair County,V,30,,27981,0,0
2014 - 2015,001 Adair County,V,31,,27981,0,0
