Dist No,District name,1989-90,% CHG,,1990-91,% CHG,,1991-92,% CHG,,1992-93,% CHG,,1993-94,% CHG,,1994-95,% CHG,,1995-96,% CHG,,1996-97,% CHG,,1997-98,% CHG,,1998-99,% CHG,,1999-00,% CHG,,2000-01,% CHG,,2001-02,% CHG,,2002-03,% CHG,,2003-04,% CHG,,2004-05,% CHG,,2005-06,% CHG,,2006-07,% CHG,,2007-08,% CHG,,2008-09,% CHG,,2009-10,% CHG,,2010-11,% CHG,,2011-12,% CHG,,2012-13,% CHG,,2013-14,% CHG,,2014-15,% CHG,,2015-16,% CHG,,2016-17,% CHG,,2017-18,% CHG,,2018-19,% CHG,,2019-20,% CHG,,2020-21,% CHG,,2021-22,% CHG,,2022-23,% CHG,,2023-24,,,,,,,
095,CARLISLE CO,25699.00,10.33,+,28354.00,3.22,+,29266.00,1.91,-,28718.00,1.54,+,29161.00,0.76,-,28942.00,6.45,+,30810.00,3.74,+,31962.00,1.28,+,32372.00,3.90,+,33635.00,0.68,+,33863.00,3.16,+,34933.35,3.29,+,36081.66,0.78,+,36362.91,0.75,+,36635.68,2.82,+,37668.26,0.31,+,37785.22,0.45,+,37956.20,10.80,+,42055.26,0.66,-,41778.91,0.84,+,42131.12,0.24,-,42029.72,0.26,-,41920.39,0.26,-,41812.73,1.14,+,42291.03,1.46,+,42908.49,3.53,+,44424.26,1.41,+,45051.83,2.25,+,46066.95,0.73,+,46402.14,0.19,-,46314.14,3.12,+,47761.22,1.05,+,48262.45,1.46,+,48966.18,2.76,+,50318.24,,,,,,,
101,CARROLL CO,26329.00,14.30,+,30095.00,4.23,+,31367.00,3.52,+,32470.00,1.42,+,32932.00,0.29,+,33028.00,3.06,+,34039.00,1.36,+,34502.00,2.78,+,35460.00,0.18,+,35523.00,2.45,+,36395.00,3.95,+,37832.30,4.79,+,39646.07,4.83,+,41560.00,0.81,-,41223.10,4.19,+,42952.25,1.33,+,43524.93,3.59,+,45087.00,6.91,+,48203.84,2.11,-,47184.76,0.34,-,47024.13,2.14,-,46018.82,0.95,+,46454.85,1.23,+,47024.83,0.03,+,47038.25,1.92,+,47940.10,0.67,+,48260.37,0.35,+,48429.28,1.23,-,47835.43,2.73,+,49139.33,2.38,+,50310.57,2.92,+,51782.08,0.59,+,52085.41,0.93,+,52569.37,4.74,+,55062.21,,,,,,,
105,CARTER CO,24258.00,14.27,+,27719.00,8.33,+,30028.00,3.27,+,31010.00,0.63,+,31206.00,4.51,+,32612.00,2.07,-,31950.00,2.80,+,32843.00,0.01,+,32846.00,3.77,+,34085.00,2.35,+,34886.00,1.35,+,35356.39,2.93,+,36392.35,1.37,+,36890.65,1.77,+,37543.92,3.38,+,38811.64,3.20,+,40055.33,2.15,+,40916.70,8.20,+,44271.58,2.01,+,45160.53,1.38,+,45782.51,1.53,-,45083.54,0.73,+,45410.91,0.32,+,45557.72,0.53,+,45798.40,2.90,+,47124.56,1.62,+,47887.58,0.04,-,47870.44,0.88,+,48293.61,2.37,+,49436.18,1.10,+,49978.46,1.47,+,50712.73,2.04,+,51746.90,2.72,+,53156.30,2.76,+,54621.63,,,,,,,
111,CASEY CO,24158.00,7.86,+,26058.00,9.33,+,28488.00,0.38,+,28595.00,0.46,+,28727.00,6.46,+,30583.00,0.54,+,30747.00,4.09,+,32004.00,2.46,+,32791.00,4.87,+,34387.00,3.50,+,35592.00,1.73,+,36207.83,2.24,+,37019.73,2.17,+,37823.92,4.12,+,39382.02,2.36,+,40312.39,2.72,+,41409.35,1.98,+,42228.20,7.08,+,45218.45,1.00,+,45668.51,2.06,+,46609.42,0.58,-,46337.94,0.68,+,46651.18,0.49,+,46880.82,0.05,+,46904.84,0.03,+,46919.89,1.89,+,47807.36,2.08,-,46812.00,1.15,+,47349.77,0.82,-,46961.92,1.85,+,47828.86,2.36,+,48958.85,1.86,+,49867.09,0.90,+,50318.12,1.87,+,51260.06,,,,,,,
113,CAVERNA,24529.00,9.74,+,26919.00,7.63,+,28973.00,2.40,+,29668.00,0.24,+,29740.00,4.01,+,30934.00,0.47,+,31078.00,3.29,+,32101.00,1.70,+,32647.00,2.44,+,33442.00,0.43,+,33587.00,4.86,+,35220.31,5.45,+,37141.40,2.33,+,38005.39,3.45,+,39316.87,3.47,+,40682.71,0.37,-,40530.68,3.26,+,41852.19,7.09,+,44819.21,4.04,+,46629.66,4.21,+,48594.72,0.98,-,48117.25,1.17,+,48678.39,1.17,+,49249.78,0.01,+,49255.25,0.24,+,49375.42,3.52,+,51115.66,2.36,-,49909.94,1.52,+,50668.46,0.86,-,50232.63,1.23,+,50852.82,1.18,+,51450.74,5.09,+,54069.52,2.04,+,55173.51,0.44,-,54930.73,,,,,,,
115,CHRISTIAN CO,26174.00,9.94,+,28776.00,4.41,+,30045.00,0.04,+,30058.00,0.55,-,29894.00,3.75,+,31016.00,3.32,+,32045.00,1.74,+,32603.00,2.06,+,33273.00,5.37,+,35061.00,0.59,+,35269.00,3.52,+,36511.82,2.05,+,37258.54,2.18,+,38070.36,3.22,+,39297.25,2.10,+,40120.73,2.83,+,41254.72,2.04,+,42095.01,6.23,+,44716.47,1.73,+,45488.10,0.92,+,45908.76,0.88,-,45505.36,1.63,+,46249.27,1.05,+,46733.20,1.43,+,47402.61,1.00,-,46929.00,2.94,+,48306.85,0.33,-,48147.90,0.41,+,48346.64,0.82,-,47948.29,0.76,+,48313.74,0.01,+,48316.85,1.40,-,47640.27,1.37,+,48291.06,0.85,+,48701.28,,,,,,,
121,CLARK CO,25379.00,10.34,+,28004.00,6.89,+,29934.00,1.01,+,30235.00,3.17,+,31192.00,2.17,+,31870.00,3.24,+,32901.00,2.71,+,33791.00,2.73,+,34713.00,2.49,+,35579.00,1.02,+,35943.00,2.25,+,36751.55,1.85,+,37431.52,2.53,+,38379.57,1.65,+,39013.34,1.14,+,39458.34,3.16,+,40705.00,1.53,+,41326.93,9.01,+,45048.48,0.49,+,45269.46,0.67,+,45574.61,0.40,+,45757.11,0.45,+,45964.09,1.36,+,46590.29,1.60,-,45844.69,1.91,+,46719.09,0.17,-,46640.12,2.77,+,47930.39,3.36,+,49541.96,1.68,+,50372.21,0.36,+,50551.64,0.90,+,51006.03,3.55,-,49197.14,5.56,+,51932.70,1.64,+,52783.68,,,,,,,
125,CLAY CO,25341.00,14.83,+,29100.00,2.57,+,29848.00,0.48,-,29705.00,1.27,-,29333.00,3.75,+,30432.00,3.29,+,31432.00,3.12,+,32413.00,1.93,+,33038.00,2.41,+,33835.00,1.60,+,34378.00,3.54,+,35596.21,2.86,+,36613.63,2.18,+,37413.36,4.26,+,39008.84,3.58,+,40404.03,4.51,+,42227.24,4.60,+,44169.48,9.35,+,48298.40,0.57,+,48575.68,0.68,+,48907.20,1.80,-,48026.43,0.12,+,48086.02,0.04,+,48104.75,1.13,-,47561.99,1.02,+,48046.59,1.64,+,48833.64,0.22,+,48939.27,0.12,-,48882.03,0.62,-,48577.83,2.40,+,49741.40,0.55,+,50017.08,0.59,+,50314.18,2.37,+,51506.67,1.87,+,52470.82,,,,,,,
131,CLINTON CO,24749.00,15.11,+,28488.00,7.23,+,30548.00,0.08,+,30572.00,0.84,-,30316.00,2.99,+,31222.00,0.49,-,31070.00,3.14,+,32047.00,2.78,+,32939.00,3.56,+,34111.00,0.00,-,34110.00,3.77,+,35396.25,4.40,+,36953.40,2.65,+,37933.17,4.00,+,39449.27,3.01,+,40636.83,3.40,+,42018.14,2.75,+,43173.00,8.67,+,46915.85,0.61,+,47200.89,0.15,+,47272.31,1.03,-,46787.48,1.36,+,47425.24,0.83,-,47029.54,1.19,+,47589.09,1.15,+,48136.58,2.04,+,49117.32,0.40,+,49315.53,2.17,-,48243.42,0.33,+,48402.82,1.24,+,49004.66,0.00,+,49005.46,0.26,-,48876.72,0.78,+,49257.82,3.20,+,50834.99,,,,,,,
132,CLOVERPORT,23735.00,12.10,+,26608.00,2.54,+,27283.00,2.88,+,28068.00,0.29,+,28148.00,2.40,+,28824.00,4.21,+,30037.00,6.18,+,31894.00,1.78,+,32462.00,2.25,+,33194.00,6.16,+,35239.00,6.92,+,37677.44,4.67,-,35916.39,3.96,-,34493.42,1.30,-,34044.54,2.41,-,33222.52,9.36,+,36332.76,1.99,+,37054.93,14.10,+,42278.34,0.19,+,42358.05,2.69,-,41217.56,0.43,-,41041.39,4.69,-,39118.56,6.96,+,41842.88,3.12,-,40538.80,1.61,+,41190.25,3.60,+,42675.11,0.78,+,43008.20,0.26,+,43119.35,2.70,+,44285.22,0.17,+,44361.17,5.92,+,46987.50,1.81,-,46137.15,0.21,+,46232.69,0.79,+,46599.06,,,,,,,
133,CORBIN,25407.00,14.05,+,28976.00,7.28,+,31086.00,2.19,+,31768.00,2.12,-,31107.00,2.23,+,31800.00,0.81,+,32056.00,3.09,+,33047.00,2.62,+,33912.00,2.11,+,34627.00,2.88,+,35623.00,1.95,+,36317.48,3.41,+,37554.85,2.02,+,38312.99,5.00,+,40229.69,4.96,+,42225.32,3.04,+,43509.70,2.35,+,44531.28,7.71,+,47963.71,1.79,+,48824.51,1.25,-,48215.37,3.42,-,46566.63,0.68,-,46248.65,0.86,+,46645.98,0.15,+,46716.34,1.96,+,47631.10,3.31,+,49208.97,0.36,+,49384.20,2.35,+,50545.18,2.89,+,52006.17,0.81,+,52427.49,4.70,+,54890.56,1.25,+,55576.26,1.79,+,56569.04,1.40,+,57363.41,,,,,,,
134,COVINGTON,24627.00,12.90,+,27803.00,5.93,+,29452.00,2.70,+,30248.00,1.17,+,30601.00,1.82,+,31157.00,1.83,+,31726.00,1.14,+,32088.00,1.54,+,32583.00,6.94,+,34844.00,3.46,+,36049.00,1.51,+,36593.54,0.84,+,36901.11,0.31,-,36787.77,2.81,+,37820.32,3.35,+,39088.24,3.74,+,40550.55,1.81,+,41283.93,7.47,+,44366.22,1.35,+,44965.94,1.15,+,45484.81,3.12,-,44063.86,1.44,+,44700.29,0.12,+,44754.00,3.69,+,46406.44,0.46,+,46621.98,1.40,+,47273.71,1.01,+,47750.34,0.33,+,47908.58,1.24,+,48501.50,2.90,+,49907.41,0.69,-,49563.60,0.33,-,49402.43,5.10,+,51921.44,1.93,+,52923.50,,,,,,,
135,CRITTENDEN CO,24034.00,11.29,+,26748.00,5.47,+,28210.00,0.13,-,28174.00,2.71,+,28937.00,4.00,+,30094.00,0.61,-,29913.00,3.87,+,31072.00,2.80,+,31941.00,3.89,+,33185.00,6.27,+,35267.00,2.38,+,36106.93,5.42,+,38062.26,0.36,+,38198.46,2.73,+,39242.96,1.03,+,39646.19,3.38,+,40987.73,1.44,+,41577.03,8.83,+,45249.41,1.78,+,46054.99,0.68,+,46367.99,2.16,-,45365.01,1.90,-,44504.88,2.03,+,45410.31,1.83,-,44581.28,0.75,+,44915.93,2.11,+,45861.82,0.17,+,45941.47,0.51,+,46176.44,0.68,-,45864.26,1.41,+,46508.86,3.19,+,47991.06,3.04,+,49448.44,2.92,+,50893.97,2.05,+,51935.21,,,,,,,
141,CUMBERLAND CO,24743.00,7.69,+,26646.00,5.23,+,28040.00,1.39,+,28431.00,0.99,+,28713.00,4.68,+,30058.00,4.10,+,31291.00,3.55,+,32402.00,2.38,+,33174.00,2.62,+,34043.00,2.37,+,34850.00,0.21,-,34778.28,1.77,+,35393.65,3.45,+,36613.64,5.56,+,38648.45,3.43,+,39975.48,3.30,+,41293.56,1.19,+,41784.72,9.25,+,45649.96,2.42,+,46756.42,1.37,+,47395.19,2.68,-,46127.05,1.18,-,45580.62,0.39,+,45756.84,2.08,-,44805.16,0.96,-,44376.02,4.06,+,46179.68,0.04,+,46198.01,1.46,-,45522.76,0.09,+,45563.58,0.22,+,45665.78,0.80,-,45302.51,2.96,+,46642.75,2.91,+,48000.06,4.78,+,50294.42,,,,,,,
143,DANVILLE,27022.00,12.06,+,30280.00,4.14,+,31533.00,0.10,+,31565.00,1.40,+,32008.00,1.17,-,31637.00,1.88,+,32233.00,2.65,+,33086.00,2.70,+,33978.00,2.66,+,34882.00,0.37,+,35011.00,1.55,+,35553.57,6.43,+,37841.24,1.43,+,38383.26,3.82,+,39850.19,3.08,+,41078.08,0.15,-,41014.58,0.57,+,41248.93,8.36,+,44696.61,1.40,+,45323.00,2.57,+,46488.70,0.46,-,46276.91,1.99,-,45357.98,3.02,+,46727.79,1.49,+,47425.71,1.10,+,47945.16,4.19,+,49955.40,0.69,-,49611.49,2.08,+,50641.50,0.33,+,50811.07,0.14,+,50882.80,2.45,+,52131.30,0.42,-,51911.11,5.95,+,55000.43,0.11,+,55063.64,,,,,,,
145,DAVIESS CO,27905.00,9.60,+,30584.00,3.56,+,31674.00,0.16,-,31624.00,1.57,+,32119.00,2.91,+,33055.00,0.06,+,33076.00,1.68,+,33631.00,1.25,+,34051.00,2.38,+,34863.00,2.87,+,35865.00,2.41,+,36730.94,6.27,+,39032.20,4.02,+,40601.06,3.58,+,42055.50,2.12,+,42947.54,3.23,+,44333.42,2.60,+,45486.75,8.50,+,49353.01,1.24,+,49965.20,1.57,+,50750.72,1.93,-,49773.73,0.19,+,49869.31,1.00,+,50366.50,0.35,+,50541.07,0.54,+,50816.23,2.88,+,52277.62,0.14,-,52206.39,1.16,+,52810.25,1.67,+,53690.12,1.12,+,54291.87,1.39,+,55044.71,0.11,+,55105.00,3.73,+,57162.79,2.27,+,58459.34,,,,,,,
146,DAWSON SPGS,25466.00,7.04,+,27260.00,6.29,+,28975.00,1.08,+,29288.00,3.92,+,30435.00,2.45,+,31180.00,0.17,+,31234.00,4.22,+,32551.00,5.85,+,34455.00,3.11,+,35528.00,2.00,-,34832.00,4.56,+,36420.76,0.22,-,36339.46,4.58,+,38002.76,6.00,+,40281.93,0.94,+,40661.81,0.17,+,40732.37,3.70,+,42238.96,8.44,+,45803.71,1.33,+,46414.26,1.70,+,47201.92,1.07,-,46697.54,0.90,+,47117.40,3.89,-,45283.99,2.00,+,46191.47,1.06,-,45700.59,2.91,+,47032.39,2.28,-,45960.58,0.13,-,45900.07,0.77,-,45545.12,0.12,+,45599.34,2.19,+,46599.21,4.44,-,44531.52,0.67,+,44829.03,8.36,+,48578.09,,,,,,,
147,DAYTON,24920.00,11.02,+,27665.00,5.14,+,29088.00,4.26,+,30328.00,2.96,+,31225.00,1.67,+,31745.00,4.96,+,33319.00,2.71,+,34222.00,5.10,+,35967.00,3.86,+,37354.00,2.79,+,38395.00,4.02,+,39940.18,0.53,+,40151.56,3.01,+,41360.55,1.53,+,41992.64,2.34,+,42975.26,3.55,+,44501.17,3.58,+,46092.17,6.42,+,49049.64,2.85,+,50445.55,0.18,+,50535.81,6.10,-,47453.14,0.64,-,47150.44,1.46,+,47836.95,3.15,+,49345.77,0.59,-,49052.51,0.46,+,49279.13,1.42,-,48577.21,0.45,+,48796.78,2.08,-,47782.90,4.42,+,49893.56,5.46,+,52618.90,4.00,+,54725.07,1.66,+,55635.94,2.97,+,57286.41,,,,,,,
149,E BERNSTADT,24465.00,12.94,+,27631.00,6.24,+,29355.00,1.80,+,29884.00,1.56,+,30351.00,4.56,+,31736.00,4.85,+,33275.00,3.81,+,34544.00,1.30,+,34993.00,10.44,+,38647.00,5.07,-,36782.00,1.69,-,36160.94,4.02,+,37614.24,4.59,+,39338.91,4.41,+,41073.94,6.02,+,43545.96,2.15,+,44481.52,4.70,+,46570.17,8.08,+,50334.78,1.55,+,51115.61,2.97,+,52632.97,0.03,-,52615.17,0.81,-,52190.16,3.21,-,50515.55,1.46,+,51250.59,2.32,+,52437.43,1.91,+,53437.96,1.79,-,52481.13,1.30,-,51797.92,1.48,-,51030.18,2.08,-,49967.82,3.64,+,51784.48,0.99,-,51274.09,4.76,+,53712.38,3.41,+,55543.61,,,,,,,
151,EDMONSON CO,24386.00,9.70,+,26752.00,7.46,+,28749.00,1.26,+,29110.00,1.34,+,29499.00,4.03,+,30689.00,3.08,+,31634.00,2.38,+,32387.00,1.30,+,32808.00,3.13,+,33834.00,1.71,+,34414.00,3.48,+,35610.58,3.51,+,36861.80,1.18,+,37297.94,3.49,+,38601.00,3.28,+,39865.78,4.85,+,41798.22,2.26,+,42744.77,11.18,+,47524.91,0.47,+,47749.50,1.48,+,48457.90,0.10,-,48410.01,0.65,-,48095.88,0.90,-,47662.61,1.14,+,48204.92,0.07,+,48237.76,2.28,+,49338.33,0.43,+,49551.02,1.03,-,49040.01,0.02,+,49050.80,0.29,+,49194.63,1.38,+,49873.23,0.58,-,49583.12,0.17,-,49499.10,2.11,+,50545.13,,,,,,,
152,ELIZABETHTOWN,27064.00,8.59,+,29389.00,5.68,+,31058.00,2.27,-,30369.00,3.84,+,31534.00,3.96,+,32782.00,0.80,+,33045.00,0.07,+,33067.00,1.67,+,33618.00,2.11,+,34327.00,1.66,+,34897.00,3.57,+,36141.95,5.99,+,38308.40,2.42,+,39233.69,2.71,+,40298.37,5.84,+,42652.97,3.86,+,44301.03,4.61,+,46342.01,8.83,+,50436.16,1.57,+,51228.26,0.10,-,51176.70,3.02,-,49631.71,2.51,+,50879.13,0.08,+,50920.81,0.89,+,51374.41,0.22,+,51488.80,1.72,+,52373.15,2.09,+,53465.65,1.40,+,54214.15,1.41,+,54979.51,0.05,+,55005.54,1.42,+,55784.77,0.53,+,56081.36,0.24,-,55947.34,2.64,+,57427.13,,,,,,,
155,ELLIOTT CO,23417.00,10.71,+,25924.00,9.45,+,28373.00,3.75,-,27348.00,3.33,+,28259.00,4.88,+,29639.00,0.33,+,29738.00,5.26,+,31303.00,5.70,+,33087.00,1.39,+,33547.00,0.56,-,33361.00,3.56,+,34548.35,2.66,+,35466.75,2.44,+,36330.76,3.17,+,37481.10,4.19,+,39051.69,1.33,+,39570.53,1.00,+,39965.25,7.38,+,42915.29,2.09,+,43812.81,0.68,+,44110.84,1.50,-,43450.29,1.60,+,44143.43,1.30,+,44716.04,1.07,+,45195.37,1.39,+,45823.02,0.28,+,45951.35,1.23,+,46514.42,3.00,-,45119.05,0.30,-,44984.83,0.50,-,44759.46,4.02,+,46557.20,0.43,-,46358.07,1.16,-,45821.68,1.98,+,46731.19,,,,,,,
156,EMINENCE,26158.00,6.21,+,27782.00,5.73,+,29373.00,3.07,+,30274.00,0.49,+,30422.00,3.09,+,31362.00,2.02,+,31996.00,3.77,+,33203.00,1.50,+,33700.00,3.03,-,32709.00,2.02,+,33369.00,1.26,-,32949.83,6.47,+,35083.02,4.98,+,36831.60,3.06,+,37960.15,5.33,+,39982.83,2.38,+,40933.32,3.21,+,42246.89,9.86,+,46411.61,1.02,-,45938.90,0.15,-,45870.76,2.67,-,44644.82,0.21,+,44740.21,2.09,+,45677.38,2.28,-,44637.04,0.96,-,44209.77,0.25,-,44099.14,0.48,-,43888.20,1.33,+,44473.58,0.89,+,44868.92,0.33,-,44722.25,2.70,+,45930.68,4.91,+,48183.94,0.06,+,48215.19,0.49,+,48450.81,,,,,,,
157,ERLANGER,24740.00,7.26,+,26537.00,7.43,+,28510.00,1.17,+,28843.00,2.69,+,29619.00,2.61,+,30391.00,2.56,+,31169.00,3.54,+,32273.00,2.33,+,33024.00,6.92,+,35310.00,0.53,-,35125.00,3.44,+,36334.65,0.45,-,36170.73,2.84,+,37197.28,2.10,+,37976.87,8.08,+,41044.69,2.52,+,42080.38,1.53,+,42726.03,8.33,+,46286.28,1.38,+,46923.36,0.87,+,47331.96,2.89,-,45963.73,1.39,+,46603.17,1.82,+,47452.01,1.40,-,46786.10,1.78,+,47617.57,0.06,+,47646.19,0.28,-,47511.03,2.41,+,48658.08,1.86,-,47752.69,2.04,+,48725.77,2.46,+,49922.80,2.11,+,50976.41,3.48,+,52748.46,9.02,+,57505.44,,,,,,,
161,ESTILL CO,24141.00,8.89,+,26288.00,9.56,+,28800.00,4.23,+,30019.00,1.87,+,30579.00,3.24,+,31569.00,2.30,+,32295.00,3.73,+,33499.00,0.17,-,33442.00,4.52,+,34954.00,2.00,+,35654.00,2.21,+,36441.08,3.06,+,37556.55,3.08,+,38713.47,3.89,+,40219.68,3.83,+,41758.50,2.51,+,42806.41,2.55,+,43899.85,6.46,+,46737.84,1.97,+,47657.02,1.10,+,48179.35,1.30,-,47552.77,3.03,+,48994.97,0.59,-,48704.65,2.04,+,49700.33,0.25,+,49826.97,0.09,+,49873.11,0.73,-,49511.08,1.53,+,50266.72,0.31,-,50111.17,1.25,+,50739.50,0.15,-,50660.94,0.30,-,50508.04,1.83,+,51433.41,0.70,+,51792.40,,,,,,,
162,FAIRVIEW,25692.00,10.17,+,28306.00,4.98,+,29715.00,0.72,-,29504.00,2.32,+,30188.00,0.90,+,30459.00,3.40,+,31495.00,0.39,+,31618.00,2.27,+,32336.00,4.85,+,33903.00,1.44,+,34391.00,0.60,-,34185.54,1.72,+,34773.82,1.40,+,35262.18,3.90,+,36637.60,1.34,-,36146.13,3.86,+,37540.64,3.42,+,38823.63,11.66,+,43350.91,2.88,+,44597.97,4.16,+,46454.99,4.22,-,44493.05,0.39,-,44320.06,1.31,-,43738.18,0.35,+,43892.28,1.23,+,44430.54,4.53,+,46443.09,1.64,-,45683.35,0.61,-,45404.84,2.47,+,46528.52,0.84,-,46135.55,0.16,-,46062.64,5.43,+,48563.71,0.13,+,48624.49,1.76,+,49481.99,,,,,,,
165,FAYETTE CO,30380.00,9.95,+,33404.00,2.92,+,34379.00,0.69,+,34615.00,0.81,+,34896.00,0.95,+,35227.00,0.28,-,35129.00,0.79,+,35405.00,2.51,+,36293.00,1.86,+,36967.00,0.24,+,37054.00,2.17,+,37858.99,6.32,+,40251.73,2.01,+,41059.24,2.25,+,41982.98,2.24,+,42922.78,2.41,+,43957.39,1.74,+,44720.99,8.17,+,48373.57,1.85,+,49268.70,3.75,+,51114.31,2.85,+,52573.28,4.32,+,54841.93,3.51,+,56765.83,1.12,+,57403.17,0.10,+,57458.45,1.61,+,58384.79,0.91,+,58914.91,1.46,+,59776.79,0.77,+,60234.94,0.84,+,60742.66,1.26,+,61507.12,1.83,+,62633.69,3.34,+,64725.21,9.68,+,70987.80,,,,,,,
171,FLEMING CO,25641.00,13.00,+,28974.00,5.74,+,30636.00,1.08,-,30310.00,2.62,+,31103.00,3.11,+,32069.00,1.96,+,32698.00,2.36,+,33471.00,0.47,+,33628.00,1.48,+,34127.00,2.61,+,35018.00,3.23,+,36149.34,1.40,+,36656.39,2.83,+,37692.76,2.80,+,38747.85,1.38,+,39282.17,2.77,+,40371.43,2.89,+,41538.69,8.11,+,44908.73,1.52,+,45589.95,1.28,+,46173.35,0.22,+,46272.83,1.00,+,46735.80,1.19,+,47293.76,1.99,+,48234.96,1.30,+,48863.38,0.37,+,49045.66,2.29,-,47921.14,1.49,-,47205.75,0.58,+,47481.00,0.07,+,47516.58,0.54,+,47774.50,1.80,+,48635.42,0.46,-,48413.31,2.72,+,49730.31,,,,,,,
175,FLOYD CO,24121.00,17.36,+,28309.00,11.32,+,31514.00,1.71,-,30984.00,0.30,-,30892.00,2.75,+,31740.00,0.68,+,31957.00,3.26,+,33000.00,1.44,+,33474.00,2.16,+,34197.00,3.34,+,35339.00,0.29,+,35442.88,2.39,+,36289.93,3.38,+,37517.71,3.03,+,38653.52,3.23,+,39900.40,3.29,+,41214.65,4.58,+,43102.57,9.56,+,47223.91,0.53,-,46972.33,0.74,+,47320.07,0.24,-,47207.62,0.71,-,46873.94,1.38,+,47522.94,1.01,+,48004.93,1.85,+,48893.07,1.98,+,49859.12,0.65,-,49537.50,0.08,+,49578.57,0.06,-,49550.00,0.02,+,49557.74,0.32,-,49400.47,1.66,+,50218.10,1.75,+,51094.90,0.08,+,51135.84,,,,,,,
176,FT THOMAS,28680.00,7.52,+,30836.00,5.86,+,32642.00,3.14,+,33666.00,0.12,+,33706.00,2.19,+,34445.00,1.25,+,34877.00,0.05,-,34859.00,2.80,+,35834.00,1.39,+,36332.00,2.68,+,37305.00,1.58,+,37894.43,3.08,+,39061.27,1.68,+,39716.55,10.77,+,43994.25,7.96,+,47497.21,4.36,+,49568.63,3.12,+,51114.91,7.43,+,54912.27,1.42,+,55691.70,0.55,+,55999.91,2.19,-,54772.50,1.01,+,55326.57,1.77,+,56305.13,1.94,+,57399.37,2.34,+,58740.47,2.39,+,60146.99,0.33,+,60348.44,1.34,+,61160.11,1.73,+,62216.60,0.61,+,62597.58,4.66,+,65517.36,0.95,+,66142.36,0.02,+,66154.64,3.20,+,68270.65,,,,,,,
177,FRANKFORT,26053.00,11.14,+,28955.00,1.88,+,29499.00,0.78,+,29728.00,0.47,-,29589.00,0.29,+,29676.00,0.20,+,29735.00,4.85,+,31176.00,3.75,+,32346.00,4.77,+,33889.00,6.81,+,36198.00,1.81,+,36853.95,2.31,+,37706.14,0.30,+,37818.47,3.33,+,39078.55,2.56,+,40080.62,4.87,+,42033.49,0.45,-,41842.52,9.83,+,45953.77,2.02,+,46880.99,0.15,+,46949.33,3.22,-,45437.54,2.23,-,44423.00,2.83,-,43166.96,2.14,+,44092.72,2.81,+,45329.87,0.61,-,45055.14,1.13,+,45564.76,3.10,+,46975.58,0.19,-,46886.22,0.56,+,47150.52,1.40,+,47811.83,4.17,+,49805.10,4.84,+,52213.49,2.22,-,51052.63,,,,,,,
181,FRANKLIN CO,25876.00,9.00,+,28206.00,3.53,+,29203.00,0.01,-,29201.00,1.59,+,29665.00,2.42,+,30382.00,2.17,+,31042.00,3.25,+,32051.00,0.02,+,32056.00,1.69,+,32597.00,3.07,+,33597.00,1.59,+,34132.52,2.37,+,34941.32,2.74,+,35899.57,5.44,+,37852.94,0.59,+,38075.41,3.17,+,39281.25,1.85,+,40008.50,9.17,+,43676.56,1.25,+,44220.69,2.45,+,45302.32,2.30,-,44261.03,2.77,+,45489.21,0.43,-,45295.30,2.38,+,46375.45,2.05,+,47326.48,3.27,+,48872.59,2.01,+,49853.71,0.83,+,50265.85,3.19,+,51867.46,0.87,-,51417.85,1.75,+,52320.05,2.82,+,53795.38,0.01,+,53798.56,2.71,+,55257.58,,,,,,,
185,FULTON CO,25621.00,9.50,+,28054.00,8.19,+,30353.00,0.24,-,30280.00,0.50,+,30432.00,2.01,+,31043.00,1.63,+,31548.00,4.25,+,32890.00,0.62,-,32687.00,3.08,+,33693.00,5.02,+,35386.00,1.44,-,34874.92,4.13,+,36314.30,0.53,+,36507.95,1.11,-,36101.06,0.85,+,36408.95,4.85,+,38173.16,1.40,+,38708.84,8.78,+,42107.05,0.40,-,41938.50,3.74,+,43505.57,1.09,-,43029.80,0.52,+,43253.68,1.03,+,43698.90,1.19,-,43179.20,3.68,+,44768.89,2.51,+,45894.32,0.84,+,46279.49,0.32,+,46429.00,3.33,-,44884.06,2.65,+,46072.83,2.19,+,47082.81,0.47,+,47306.37,0.90,+,47733.11,2.44,+,48896.55,,,,,,,
186,FULTON,25194.00,8.09,+,27232.00,8.38,+,29513.00,0.97,-,29230.00,0.59,+,29403.00,2.10,+,30020.00,0.40,-,29900.00,1.94,+,30479.00,2.07,+,31111.00,4.77,+,32595.00,4.01,+,33903.00,3.89,+,35221.05,0.68,-,34981.57,2.80,+,35959.69,10.79,+,39839.52,1.86,-,39096.54,2.97,-,37936.29,7.04,+,40608.40,5.52,+,42849.95,1.31,+,43412.53,1.96,+,44262.39,1.14,-,43759.32,0.96,+,44179.67,2.41,-,43112.92,1.56,-,42440.69,4.78,+,44470.70,2.16,-,43512.29,0.89,-,43125.10,4.73,-,41086.02,6.53,+,43768.06,4.51,-,41793.08,1.88,+,42579.08,0.89,+,42956.82,3.09,+,44285.07,4.39,+,46231.27,,,,,,,
