Dist No,District name,1989-90,% CHG,,1990-91,% CHG,,1991-92,% CHG,,1992-93,% CHG,,1993-94,% CHG,,1994-95,% CHG,,1995-96,% CHG,,1996-97,% CHG,,1997-98,% CHG,,1998-99,% CHG,,1999-00,% CHG,,2000-01,% CHG,,2001-02,% CHG,,2002-03,% CHG,,2003-04,% CHG,,2004-05,% CHG,,2005-06,% CHG,,2006-07,% CHG,,2007-08,% CHG,,2008-09,% CHG,,2009-10,% CHG,,2010-11,% CHG,,2011-12,% CHG,,2012-13,% CHG,,2013-14,% CHG,,2014-15,% CHG,,2015-16,% CHG,,2016-17,% CHG,,2017-18,% CHG,,2018-19,% CHG,,2019-20,% CHG,,2020-21,% CHG,,2021-22,% CHG,,2022-23,% CHG,,2023-24,,,,,,,
025,BATH CO,25768.00,8.98,+,28081.00,5.46,+,29615.00,0.79,-,29383.00,2.18,+,30023.00,0.38,+,30137.00,0.42,-,30011.00,4.48,+,31354.00,1.84,-,30789.00,3.82,+,31965.00,0.00,+,31966.00,4.90,+,33532.61,3.68,+,34766.57,3.74,+,36065.48,2.38,+,36923.15,1.15,+,37348.19,5.85,+,39533.24,2.39,+,40477.48,9.59,+,44359.65,0.25,+,44468.73,2.02,+,45368.89,3.12,-,43953.12,1.50,+,44610.43,0.82,+,44977.89,1.96,+,45859.18,2.22,+,46878.32,2.11,+,47866.08,1.44,+,48553.14,0.16,+,48632.07,1.48,+,49351.88,0.18,+,49438.30,1.17,+,50014.81,3.80,-,48115.53,1.51,+,48841.38,1.91,+,49776.05,,,,,,,
026,BEECHWOOD,26675.00,6.59,+,28433.00,3.24,+,29353.00,1.29,-,28979.00,1.94,+,29542.00,1.19,-,29195.00,4.25,+,30437.00,4.59,+,31834.00,7.03,+,34071.00,5.76,+,36034.00,1.42,-,35528.00,4.14,+,36997.98,3.95,+,38458.69,3.64,+,39856.75,4.83,+,41781.60,0.73,+,42088.05,4.38,+,43933.49,2.06,+,44839.26,8.36,+,48586.52,1.00,+,49072.87,0.93,+,49528.65,2.51,-,48287.16,0.85,+,48696.97,0.07,-,48660.51,1.72,+,49496.54,2.84,+,50900.28,3.88,+,52873.74,1.35,+,53589.23,1.44,+,54358.80,1.18,+,55000.31,1.71,+,55939.51,2.16,+,57150.34,0.04,-,57125.91,0.18,-,57022.86,2.11,+,58225.38,,,,,,,
031,BELL CO,25188.00,17.72,+,29650.00,6.92,+,31701.00,0.27,+,31787.00,0.80,+,32040.00,0.52,+,32205.00,3.08,+,33197.00,1.52,+,33700.00,2.56,-,32860.00,1.48,+,33346.00,4.24,+,34761.00,0.60,-,34553.00,4.47,+,36096.90,0.42,+,36249.96,3.19,+,37404.71,4.45,+,39067.58,4.70,+,40901.98,3.58,+,42366.06,8.84,+,46110.72,3.16,+,47569.15,2.35,+,48688.92,0.61,-,48393.60,1.20,-,47814.57,0.22,-,47708.69,0.20,-,47615.63,0.40,+,47805.47,0.95,+,48261.42,0.94,+,48715.32,0.88,+,49143.88,1.08,-,48611.90,0.85,+,49027.20,2.28,+,50147.09,0.10,+,50199.65,4.03,+,52224.58,3.95,+,54285.86,,,,,,,
032,BELLEVUE,26827.00,7.29,+,28784.00,5.33,+,30317.00,2.24,+,30997.00,2.76,+,31854.00,3.37,+,32928.00,0.63,+,33137.00,4.57,+,34650.00,0.59,-,34446.00,5.26,-,32724.00,4.79,+,34291.00,1.09,-,33917.70,2.98,+,34927.43,0.99,+,35274.86,6.43,+,37541.76,4.33,+,39168.70,4.83,+,41059.82,5.11,+,43157.96,7.58,+,46428.19,0.70,-,46101.79,1.40,-,45456.83,2.22,-,44448.58,0.72,+,44770.65,0.35,+,44926.96,1.23,+,45479.81,2.23,+,46492.51,1.57,+,47220.28,2.24,+,48275.81,0.30,-,48128.70,1.91,-,47208.02,1.23,+,47790.65,0.88,-,47372.28,0.55,+,47632.45,8.58,+,51721.45,0.95,+,52214.98,,,,,,,
034,BEREA,25777.00,8.35,+,27930.00,5.13,+,29364.00,0.84,+,29611.00,4.05,+,30810.00,0.56,+,30982.00,2.70,+,31817.00,0.61,+,32011.00,0.84,+,32280.00,5.03,+,33905.00,1.15,+,34295.00,5.96,+,36338.86,2.51,+,37249.86,1.13,+,37669.24,4.17,+,39238.95,0.72,-,38956.89,2.87,+,40074.96,3.88,+,41627.95,8.14,+,45017.49,3.29,+,46500.32,2.23,+,47539.03,2.36,-,46415.74,2.17,+,47423.18,1.06,-,46921.15,0.59,+,47197.41,0.73,+,47541.26,3.58,+,49244.53,0.74,+,49608.31,2.13,+,50666.57,0.42,-,50454.26,1.03,+,50973.48,2.30,+,52145.52,4.08,+,54273.61,2.27,+,55505.99,3.69,+,57553.49,,,,,,,
035,BOONE CO,27141.00,9.38,+,29687.00,5.75,+,31394.00,0.64,+,31595.00,3.21,+,32608.00,0.89,-,32319.00,4.55,+,33790.00,2.65,+,34687.00,3.21,+,35801.00,1.41,-,35303.00,5.01,+,37073.00,2.51,+,38001.90,3.67,+,39397.97,1.83,+,40117.48,3.29,+,41438.32,2.39,+,42428.73,2.35,+,43425.46,3.53,+,44960.32,7.16,+,48181.28,1.01,+,48669.94,2.06,+,49673.83,0.26,-,49546.54,1.42,+,50247.84,0.40,+,50447.64,0.99,+,50946.62,0.68,+,51294.54,1.77,+,52201.07,1.39,+,52927.41,1.42,+,53680.89,1.99,+,54749.17,1.53,+,55585.40,1.37,+,56346.57,2.11,+,57535.37,3.87,+,59764.78,3.54,+,61880.62,,,,,,,
041,BOURBON CO,26198.00,10.13,+,28852.00,9.43,+,31573.00,0.92,-,31286.00,1.92,+,31886.00,1.04,+,32217.00,1.09,+,32569.00,3.50,+,33708.00,5.38,+,35521.00,0.36,+,35649.00,2.59,+,36574.00,1.43,+,37096.32,1.34,+,37593.30,1.64,-,36976.18,5.50,+,39008.25,2.55,+,40001.97,3.39,+,41357.71,2.01,+,42188.79,8.78,+,45892.13,0.33,+,46042.57,0.15,+,46110.42,2.08,-,45152.34,0.75,+,45492.30,1.08,+,45985.46,0.02,-,45977.98,1.34,-,45360.17,2.50,+,46495.17,0.26,+,46618.15,0.54,+,46870.20,0.05,+,46893.98,2.26,+,47954.34,0.13,+,48017.73,5.06,+,50448.99,2.87,+,51896.72,0.52,+,52164.42,,,,,,,
042,BOWLING GREEN,26626.00,10.68,+,29470.00,6.98,+,31526.00,0.44,+,31666.00,1.65,+,32190.00,2.13,+,32876.00,1.76,+,33454.00,2.66,+,34344.00,1.69,+,34924.00,0.74,+,35181.00,0.79,+,35460.00,1.85,+,36117.12,3.62,+,37423.41,2.97,+,38533.62,4.81,+,40387.18,3.23,+,41689.73,3.05,+,42962.98,1.98,+,43815.37,7.86,+,47258.87,1.40,+,47922.56,1.48,+,48630.42,2.31,-,47504.97,1.44,+,48187.91,0.68,+,48516.62,0.10,-,48468.44,0.89,+,48897.53,2.54,+,50141.66,0.69,-,49797.08,0.05,+,49823.80,2.20,+,50918.28,1.24,+,51551.85,2.33,+,52754.83,1.95,+,53781.96,1.76,+,54727.30,4.41,+,57141.43,,,,,,,
045,BOYD CO,26338.00,12.66,+,29671.00,5.85,+,31408.00,1.97,+,32026.00,3.06,+,33006.00,1.30,+,33434.00,0.11,+,33472.00,4.04,+,34823.00,2.86,+,35819.00,2.16,+,36593.00,0.83,+,36898.00,0.45,+,37064.19,2.02,+,37812.04,3.19,+,39016.71,0.03,-,39004.93,2.69,+,40053.88,2.38,+,41007.36,3.56,+,42467.41,8.58,+,46111.73,2.09,+,47074.64,1.61,+,47834.25,1.10,-,47308.53,0.11,-,47257.22,0.65,-,46948.25,1.06,+,47447.33,1.96,-,46517.86,2.84,+,47839.80,1.80,-,46978.68,3.25,+,48507.26,3.02,+,49970.22,0.66,+,50301.34,2.34,+,51476.95,1.91,+,52462.25,4.38,+,54762.22,3.31,+,56576.87,,,,,,,
051,BOYLE CO,25540.00,10.60,+,28246.00,7.13,+,30259.00,0.92,+,30538.00,2.38,+,31266.00,1.20,+,31641.00,2.14,+,32319.00,2.00,+,32966.00,4.43,+,34425.00,3.19,+,35524.00,1.87,+,36187.00,2.02,+,36916.49,2.52,+,37846.63,3.64,+,39223.93,2.03,+,40018.94,3.10,+,41260.78,3.05,+,42517.41,2.12,+,43416.73,9.76,+,47655.47,2.06,+,48636.81,1.21,+,49223.37,0.68,-,48887.47,0.66,-,48563.40,0.98,+,49040.82,0.18,+,49127.05,0.07,+,49159.18,1.71,+,49997.59,0.67,-,49662.53,1.79,+,50552.09,0.88,+,50996.64,3.13,+,52594.74,0.40,-,52386.23,5.33,+,55179.17,6.27,+,58639.90,0.18,+,58746.41,,,,,,,
