Fiscal Year,District,Rank,Years,,I,II,III
2016 - 2017,005 Allen County,I,38,,61942,64176,0
2016 - 2017,005 Allen County,I,39,,61942,64176,0
2016 - 2017,005 Allen County,I,40,,61942,64176,0
2016 - 2017,005 Allen County,II,0,,41287,0,0
2016 - 2017,005 Allen County,II,1,,41375,0,0
2016 - 2017,005 Allen County,II,2,,41459,0,0
2016 - 2017,005 Allen County,II,3,,41546,0,0
2016 - 2017,005 Allen County,II,4,,45132,0,0
2016 - 2017,005 Allen County,II,5,,45222,0,0
2016 - 2017,005 Allen County,II,6,,45307,0,0
2016 - 2017,005 Allen County,II,7,,45397,0,0
2016 - 2017,005 Allen County,II,8,,45488,0,0
2016 - 2017,005 Allen County,II,9,,45575,0,0
2016 - 2017,005 Allen County,II,10,,51598,0,0
2016 - 2017,005 Allen County,II,11,,51687,0,0
2016 - 2017,005 Allen County,II,12,,51775,0,0
2016 - 2017,005 Allen County,II,13,,51861,0,0
2016 - 2017,005 Allen County,II,14,,51951,0,0
2016 - 2017,005 Allen County,II,15,,53206,0,0
2016 - 2017,005 Allen County,II,16,,53296,0,0
2016 - 2017,005 Allen County,II,17,,53385,0,0
2016 - 2017,005 Allen County,II,18,,53471,0,0
2016 - 2017,005 Allen County,II,19,,53562,0,0
2016 - 2017,005 Allen County,II,20,,55259,0,0
2016 - 2017,005 Allen County,II,21,,55351,0,0
2016 - 2017,005 Allen County,II,22,,55441,0,0
2016 - 2017,005 Allen County,II,23,,55531,0,0
2016 - 2017,005 Allen County,II,24,,55623,0,0
2016 - 2017,005 Allen County,II,25,,56314,0,0
2016 - 2017,005 Allen County,II,26,,56435,0,0
2016 - 2017,005 Allen County,II,27,,56555,0,0
2016 - 2017,005 Allen County,II,28,,56675,0,0
2016 - 2017,005 Allen County,II,29,,56796,0,0
2016 - 2017,005 Allen County,II,30,,58602,0,0
2016 - 2017,005 Allen County,II,31,,58602,0,0
2016 - 2017,005 Allen County,II,32,,58602,0,0
2016 - 2017,005 Allen County,II,33,,58602,0,0
2016 - 2017,005 Allen County,II,34,,58602,0,0
2016 - 2017,005 Allen County,II,35,,58602,0,0
2016 - 2017,005 Allen County,II,36,,58602,0,0
2016 - 2017,005 Allen County,II,37,,58602,0,0
2016 - 2017,005 Allen County,II,38,,58602,0,0
2016 - 2017,005 Allen County,II,39,,58602,0,0
2016 - 2017,005 Allen County,II,40,,58602,0,0
2016 - 2017,005 Allen County,III,0,,36985,0,0
2016 - 2017,005 Allen County,III,1,,37070,0,0
2016 - 2017,005 Allen County,III,2,,37156,0,0
2016 - 2017,005 Allen County,III,3,,37238,0,0
2016 - 2017,005 Allen County,III,4,,41041,0,0
2016 - 2017,005 Allen County,III,5,,41127,0,0
2016 - 2017,005 Allen County,III,6,,41211,0,0
2016 - 2017,005 Allen County,III,7,,41298,0,0
2016 - 2017,005 Allen County,III,8,,41384,0,0
2016 - 2017,005 Allen County,III,9,,41472,0,0
2016 - 2017,005 Allen County,III,10,,47270,0,0
2016 - 2017,005 Allen County,III,11,,47360,0,0
2016 - 2017,005 Allen County,III,12,,47444,0,0
2016 - 2017,005 Allen County,III,13,,47534,0,0
2016 - 2017,005 Allen County,III,14,,47626,0,0
2016 - 2017,005 Allen County,III,15,,48878,0,0
2016 - 2017,005 Allen County,III,16,,48968,0,0
2016 - 2017,005 Allen County,III,17,,49059,0,0
2016 - 2017,005 Allen County,III,18,,49148,0,0
2016 - 2017,005 Allen County,III,19,,49234,0,0
2016 - 2017,005 Allen County,III,20,,51736,0,0
2016 - 2017,005 Allen County,III,21,,51825,0,0
2016 - 2017,005 Allen County,III,22,,51916,0,0
2016 - 2017,005 Allen County,III,23,,52004,0,0
2016 - 2017,005 Allen County,III,24,,52091,0,0
2016 - 2017,005 Allen County,III,25,,52781,0,0
2016 - 2017,005 Allen County,III,26,,52903,0,0
2016 - 2017,005 Allen County,III,27,,53024,0,0
2016 - 2017,005 Allen County,III,28,,53143,0,0
2016 - 2017,005 Allen County,III,29,,53263,0,0
2016 - 2017,005 Allen County,III,30,,55069,0,0
2016 - 2017,005 Allen County,III,31,,55069,0,0
2016 - 2017,005 Allen County,III,32,,55069,0,0
2016 - 2017,005 Allen County,III,33,,55069,0,0
2016 - 2017,005 Allen County,III,34,,55069,0,0
2016 - 2017,005 Allen County,III,35,,55069,0,0
2016 - 2017,005 Allen County,III,36,,55069,0,0
2016 - 2017,005 Allen County,III,37,,55069,0,0
2016 - 2017,005 Allen County,III,38,,55069,0,0
2016 - 2017,005 Allen County,III,39,,55069,0,0
2016 - 2017,005 Allen County,III,40,,55069,0,0
2016 - 2017,005 Allen County,IV,0,,31898,0,0
2016 - 2017,005 Allen County,IV,1,,31898,0,0
2016 - 2017,005 Allen County,IV,2,,31898,0,0
2016 - 2017,005 Allen County,IV,3,,31898,0,0
2016 - 2017,005 Allen County,IV,4,,31898,0,0
2016 - 2017,005 Allen County,IV,5,,31898,0,0
2016 - 2017,005 Allen County,IV,6,,31898,0,0
2016 - 2017,005 Allen County,IV,7,,31898,0,0
2016 - 2017,005 Allen County,IV,8,,31898,0,0
2016 - 2017,005 Allen County,IV,9,,31898,0,0
2016 - 2017,005 Allen County,IV,10,,31898,0,0
2016 - 2017,005 Allen County,IV,11,,31898,0,0
2016 - 2017,005 Allen County,IV,12,,31898,0,0
2016 - 2017,005 Allen County,IV,13,,31898,0,0
2016 - 2017,005 Allen County,IV,14,,31898,0,0
2016 - 2017,005 Allen County,IV,15,,31898,0,0
2016 - 2017,005 Allen County,IV,16,,31898,0,0
2016 - 2017,005 Allen County,IV,17,,31898,0,0
2016 - 2017,005 Allen County,IV,18,,31898,0,0
2016 - 2017,005 Allen County,IV,19,,31898,0,0
2016 - 2017,005 Allen County,IV,20,,31898,0,0
2016 - 2017,005 Allen County,IV,21,,31898,0,0
2016 - 2017,005 Allen County,IV,22,,31898,0,0
2016 - 2017,005 Allen County,IV,23,,31898,0,0
2016 - 2017,005 Allen County,IV,24,,31898,0,0
2016 - 2017,005 Allen County,IV,25,,31898,0,0
2016 - 2017,005 Allen County,IV,26,,31898,0,0
2016 - 2017,005 Allen County,IV,27,,31898,0,0
2016 - 2017,005 Allen County,IV,28,,31898,0,0
2016 - 2017,005 Allen County,IV,29,,31898,0,0
2016 - 2017,005 Allen County,IV,30,,31898,0,0
2016 - 2017,005 Allen County,IV,31,,31898,0,0
2016 - 2017,005 Allen County,IV,32,,31898,0,0
2016 - 2017,005 Allen County,IV,33,,31898,0,0
2016 - 2017,005 Allen County,IV,34,,31898,0,0
2016 - 2017,005 Allen County,IV,35,,31898,0,0
2016 - 2017,005 Allen County,IV,36,,31898,0,0
2016 - 2017,005 Allen County,IV,37,,31898,0,0
2016 - 2017,005 Allen County,IV,38,,31898,0,0
2016 - 2017,005 Allen County,IV,39,,31898,0,0
2016 - 2017,005 Allen County,IV,40,,31898,0,0
2016 - 2017,005 Allen County,V,0,,30505,0,0
2016 - 2017,005 Allen County,V,1,,30505,0,0
2016 - 2017,005 Allen County,V,2,,30505,0,0
2016 - 2017,005 Allen County,V,3,,30505,0,0
2016 - 2017,005 Allen County,V,4,,30505,0,0
2016 - 2017,005 Allen County,V,5,,30505,0,0
2016 - 2017,005 Allen County,V,6,,30505,0,0
2016 - 2017,005 Allen County,V,7,,30505,0,0
2016 - 2017,005 Allen County,V,8,,30505,0,0
2016 - 2017,005 Allen County,V,9,,30505,0,0
2016 - 2017,005 Allen County,V,10,,30505,0,0
2016 - 2017,005 Allen County,V,11,,30505,0,0
2016 - 2017,005 Allen County,V,12,,30505,0,0
2016 - 2017,005 Allen County,V,13,,30505,0,0
2016 - 2017,005 Allen County,V,14,,30505,0,0
2016 - 2017,005 Allen County,V,15,,30505,0,0
2016 - 2017,005 Allen County,V,16,,30505,0,0
2016 - 2017,005 Allen County,V,17,,30505,0,0
2016 - 2017,005 Allen County,V,18,,30505,0,0
2016 - 2017,005 Allen County,V,19,,30505,0,0
2016 - 2017,005 Allen County,V,20,,30505,0,0
2016 - 2017,005 Allen County,V,21,,30505,0,0
2016 - 2017,005 Allen County,V,22,,30505,0,0
2016 - 2017,005 Allen County,V,23,,30505,0,0
2016 - 2017,005 Allen County,V,24,,30505,0,0
2016 - 2017,005 Allen County,V,25,,30505,0,0
2016 - 2017,005 Allen County,V,26,,30505,0,0
2016 - 2017,005 Allen County,V,27,,30505,0,0
2016 - 2017,005 Allen County,V,28,,30505,0,0
2016 - 2017,005 Allen County,V,29,,30505,0,0
2016 - 2017,005 Allen County,V,30,,30505,0,0
2016 - 2017,005 Allen County,V,31,,30505,0,0
2016 - 2017,005 Allen County,V,32,,30505,0,0
2016 - 2017,005 Allen County,V,33,,30505,0,0
2016 - 2017,005 Allen County,V,34,,30505,0,0
2016 - 2017,005 Allen County,V,35,,30505,0,0
2016 - 2017,005 Allen County,V,36,,30505,0,0
2016 - 2017,005 Allen County,V,37,,30505,0,0
2016 - 2017,005 Allen County,V,38,,30505,0,0
2016 - 2017,005 Allen County,V,39,,30505,0,0
2016 - 2017,005 Allen County,V,40,,30505,0,0
2016 - 2017,006 Anchorage Independent,I,0,,50892,53185,0
2016 - 2017,006 Anchorage Independent,I,1,,51950,54243,0
2016 - 2017,006 Anchorage Independent,I,2,,53008,56361,0
2016 - 2017,006 Anchorage Independent,I,3,,54067,57430,0
2016 - 2017,006 Anchorage Independent,I,4,,55126,58518,0
2016 - 2017,006 Anchorage Independent,I,5,,56185,59604,0
2016 - 2017,006 Anchorage Independent,I,6,,57250,60692,0
2016 - 2017,006 Anchorage Independent,I,7,,58337,61779,0
2016 - 2017,006 Anchorage Independent,I,8,,59243,62867,0
2016 - 2017,006 Anchorage Independent,I,9,,60330,63955,0
2016 - 2017,006 Anchorage Independent,I,10,,61417,65042,0
2016 - 2017,006 Anchorage Independent,I,11,,64498,66129,0
2016 - 2017,006 Anchorage Independent,I,12,,65947,67216,0
2016 - 2017,006 Anchorage Independent,I,13,,67397,68304,0
2016 - 2017,006 Anchorage Independent,I,14,,68848,69391,0
2016 - 2017,006 Anchorage Independent,I,15,,70297,70479,0
2016 - 2017,006 Anchorage Independent,I,16,,71746,71929,0
2016 - 2017,006 Anchorage Independent,I,17,,73196,73559,0
2016 - 2017,006 Anchorage Independent,I,18,,74647,75191,0
2016 - 2017,006 Anchorage Independent,I,19,,75371,75915,0
2016 - 2017,006 Anchorage Independent,I,20,,76822,77366,0
2016 - 2017,006 Anchorage Independent,I,21,,77001,78089,0
2016 - 2017,006 Anchorage Independent,I,22,,77184,78814,0
2016 - 2017,006 Anchorage Independent,I,23,,77275,79539,0
2016 - 2017,006 Anchorage Independent,I,24,,77366,80264,0
2016 - 2017,006 Anchorage Independent,I,25,,78107,81352,0
2016 - 2017,006 Anchorage Independent,I,26,,78271,82439,0
2016 - 2017,006 Anchorage Independent,I,27,,79720,83344,0
2016 - 2017,006 Anchorage Independent,I,28,,79720,83344,0
2016 - 2017,006 Anchorage Independent,I,29,,79720,83344,0
2016 - 2017,006 Anchorage Independent,I,30,,79720,83344,0
2016 - 2017,006 Anchorage Independent,I,31,,79720,83344,0
2016 - 2017,006 Anchorage Independent,I,32,,79720,83344,0
2016 - 2017,006 Anchorage Independent,I,33,,79720,83344,0
2016 - 2017,006 Anchorage Independent,I,34,,79720,83344,0
2016 - 2017,006 Anchorage Independent,I,35,,79720,83344,0
2016 - 2017,006 Anchorage Independent,I,36,,79720,83344,0
2016 - 2017,006 Anchorage Independent,I,37,,79720,83344,0
2016 - 2017,006 Anchorage Independent,I,38,,79720,83344,0
2016 - 2017,006 Anchorage Independent,I,39,,79720,83344,0
2016 - 2017,006 Anchorage Independent,I,40,,79720,83344,0
2016 - 2017,006 Anchorage Independent,II,0,,45315,47009,0
2016 - 2017,006 Anchorage Independent,II,1,,46197,47714,0
2016 - 2017,006 Anchorage Independent,II,2,,47079,48421,0
2016 - 2017,006 Anchorage Independent,II,3,,47961,49126,0
2016 - 2017,006 Anchorage Independent,II,4,,49197,49831,0
2016 - 2017,006 Anchorage Independent,II,5,,50255,51243,0
2016 - 2017,006 Anchorage Independent,II,6,,51139,52655,0
2016 - 2017,006 Anchorage Independent,II,7,,52197,54067,0
2016 - 2017,006 Anchorage Independent,II,8,,53432,55479,0
2016 - 2017,006 Anchorage Independent,II,9,,54844,56889,0
2016 - 2017,006 Anchorage Independent,II,10,,56256,58337,0
2016 - 2017,006 Anchorage Independent,II,11,,59134,60874,0
2016 - 2017,006 Anchorage Independent,II,12,,60945,62323,0
2016 - 2017,006 Anchorage Independent,II,13,,62396,63773,0
2016 - 2017,006 Anchorage Independent,II,14,,63846,65224,0
2016 - 2017,006 Anchorage Independent,II,15,,65295,66673,0
2016 - 2017,006 Anchorage Independent,II,16,,67470,69935,0
2016 - 2017,006 Anchorage Independent,II,17,,70007,71746,0
2016 - 2017,006 Anchorage Independent,II,18,,70370,71928,0
2016 - 2017,006 Anchorage Independent,II,19,,70732,72108,0
2016 - 2017,006 Anchorage Independent,II,20,,71458,72834,0
2016 - 2017,006 Anchorage Independent,II,21,,71820,73196,0
2016 - 2017,006 Anchorage Independent,II,22,,71999,73559,0
2016 - 2017,006 Anchorage Independent,II,23,,72182,73921,0
2016 - 2017,006 Anchorage Independent,II,24,,72364,74103,0
2016 - 2017,006 Anchorage Independent,II,25,,72725,74284,0
2016 - 2017,006 Anchorage Independent,II,26,,72906,74647,0
2016 - 2017,006 Anchorage Independent,II,27,,74284,76096,0
2016 - 2017,006 Anchorage Independent,II,28,,74284,76096,0
2016 - 2017,006 Anchorage Independent,II,29,,74284,76096,0
2016 - 2017,006 Anchorage Independent,II,30,,74284,76096,0
2016 - 2017,006 Anchorage Independent,II,31,,74284,76096,0
2016 - 2017,006 Anchorage Independent,II,32,,74284,76096,0
2016 - 2017,006 Anchorage Independent,II,33,,74284,76096,0
2016 - 2017,006 Anchorage Independent,II,34,,74284,76096,0
2016 - 2017,006 Anchorage Independent,II,35,,74284,76096,0
2016 - 2017,006 Anchorage Independent,II,36,,74284,76096,0
2016 - 2017,006 Anchorage Independent,II,37,,74284,76096,0
2016 - 2017,006 Anchorage Independent,II,38,,74284,76096,0
2016 - 2017,006 Anchorage Independent,II,39,,74284,76096,0
2016 - 2017,006 Anchorage Independent,II,40,,74284,76096,0
2016 - 2017,006 Anchorage Independent,III,0,,40303,41714,0
2016 - 2017,006 Anchorage Independent,III,1,,41009,42598,0
2016 - 2017,006 Anchorage Independent,III,2,,41714,43480,0
2016 - 2017,006 Anchorage Independent,III,3,,42421,44363,0
