Fiscal Year,District,Rank,Years,,I,II,III
2016 - 2017,001 Adair County,I,0,,42523,0,0
2016 - 2017,001 Adair County,I,1,,42523,0,0
2016 - 2017,001 Adair County,I,2,,42523,0,0
2016 - 2017,001 Adair County,I,3,,42523,0,0
2016 - 2017,001 Adair County,I,4,,46445,0,0
2016 - 2017,001 Adair County,I,5,,46445,0,0
2016 - 2017,001 Adair County,I,6,,46445,0,0
2016 - 2017,001 Adair County,I,7,,46445,0,0
2016 - 2017,001 Adair County,I,8,,46445,0,0
2016 - 2017,001 Adair County,I,9,,46445,0,0
2016 - 2017,001 Adair County,I,10,,51536,0,0
2016 - 2017,001 Adair County,I,11,,51536,0,0
2016 - 2017,001 Adair County,I,12,,51536,0,0
2016 - 2017,001 Adair County,I,13,,51536,0,0
2016 - 2017,001 Adair County,I,14,,51536,0,0
2016 - 2017,001 Adair County,I,15,,53032,0,0
2016 - 2017,001 Adair County,I,16,,53032,0,0
2016 - 2017,001 Adair County,I,17,,53032,0,0
2016 - 2017,001 Adair County,I,18,,53032,0,0
2016 - 2017,001 Adair County,I,19,,53032,0,0
2016 - 2017,001 Adair County,I,20,,53772,0,0
2016 - 2017,001 Adair County,I,21,,53772,0,0
2016 - 2017,001 Adair County,I,22,,53772,0,0
2016 - 2017,001 Adair County,I,23,,53772,0,0
2016 - 2017,001 Adair County,I,24,,53772,0,0
2016 - 2017,001 Adair County,I,25,,53772,0,0
2016 - 2017,001 Adair County,I,26,,53772,0,0
2016 - 2017,001 Adair County,I,27,,53772,0,0
2016 - 2017,001 Adair County,I,28,,53772,0,0
2016 - 2017,001 Adair County,I,29,,53772,0,0
2016 - 2017,001 Adair County,I,30,,53772,0,0
2016 - 2017,001 Adair County,I,31,,53772,0,0
2016 - 2017,001 Adair County,I,32,,53772,0,0
2016 - 2017,001 Adair County,I,33,,53772,0,0
2016 - 2017,001 Adair County,I,34,,53772,0,0
2016 - 2017,001 Adair County,I,35,,53772,0,0
2016 - 2017,001 Adair County,I,36,,53772,0,0
2016 - 2017,001 Adair County,I,37,,53772,0,0
2016 - 2017,001 Adair County,I,38,,53772,0,0
2016 - 2017,001 Adair County,I,39,,53772,0,0
2016 - 2017,001 Adair County,I,40,,53772,0,0
2016 - 2017,001 Adair County,II,0,,38602,0,0
2016 - 2017,001 Adair County,II,1,,38602,0,0
2016 - 2017,001 Adair County,II,2,,38602,0,0
2016 - 2017,001 Adair County,II,3,,38602,0,0
2016 - 2017,001 Adair County,II,4,,42523,0,0
2016 - 2017,001 Adair County,II,5,,42523,0,0
2016 - 2017,001 Adair County,II,6,,42523,0,0
2016 - 2017,001 Adair County,II,7,,42523,0,0
2016 - 2017,001 Adair County,II,8,,42523,0,0
2016 - 2017,001 Adair County,II,9,,42523,0,0
2016 - 2017,001 Adair County,II,10,,47581,0,0
2016 - 2017,001 Adair County,II,11,,47581,0,0
2016 - 2017,001 Adair County,II,12,,47581,0,0
2016 - 2017,001 Adair County,II,13,,47581,0,0
2016 - 2017,001 Adair County,II,14,,47581,0,0
2016 - 2017,001 Adair County,II,15,,49093,0,0
2016 - 2017,001 Adair County,II,16,,49093,0,0
2016 - 2017,001 Adair County,II,17,,49093,0,0
2016 - 2017,001 Adair County,II,18,,49093,0,0
2016 - 2017,001 Adair County,II,19,,49093,0,0
2016 - 2017,001 Adair County,II,20,,49833,0,0
2016 - 2017,001 Adair County,II,21,,49833,0,0
2016 - 2017,001 Adair County,II,22,,49833,0,0
2016 - 2017,001 Adair County,II,23,,49833,0,0
2016 - 2017,001 Adair County,II,24,,49833,0,0
2016 - 2017,001 Adair County,II,25,,49833,0,0
2016 - 2017,001 Adair County,II,26,,49833,0,0
2016 - 2017,001 Adair County,II,27,,49833,0,0
2016 - 2017,001 Adair County,II,28,,49833,0,0
2016 - 2017,001 Adair County,II,29,,49833,0,0
2016 - 2017,001 Adair County,II,30,,49833,0,0
2016 - 2017,001 Adair County,II,31,,49833,0,0
2016 - 2017,001 Adair County,II,32,,49833,0,0
2016 - 2017,001 Adair County,II,33,,49833,0,0
2016 - 2017,001 Adair County,II,34,,49833,0,0
2016 - 2017,001 Adair County,II,35,,49833,0,0
2016 - 2017,001 Adair County,II,36,,49833,0,0
2016 - 2017,001 Adair County,II,37,,49833,0,0
2016 - 2017,001 Adair County,II,38,,49833,0,0
2016 - 2017,001 Adair County,II,39,,49833,0,0
2016 - 2017,001 Adair County,II,40,,49833,0,0
2016 - 2017,001 Adair County,III,0,,34646,0,0
2016 - 2017,001 Adair County,III,1,,34646,0,0
2016 - 2017,001 Adair County,III,2,,34646,0,0
2016 - 2017,001 Adair County,III,3,,34646,0,0
2016 - 2017,001 Adair County,III,4,,38602,0,0
2016 - 2017,001 Adair County,III,5,,38602,0,0
2016 - 2017,001 Adair County,III,6,,38602,0,0
2016 - 2017,001 Adair County,III,7,,38602,0,0
2016 - 2017,001 Adair County,III,8,,38602,0,0
2016 - 2017,001 Adair County,III,9,,38602,0,0
2016 - 2017,001 Adair County,III,10,,43625,0,0
2016 - 2017,001 Adair County,III,11,,43625,0,0
2016 - 2017,001 Adair County,III,12,,43625,0,0
2016 - 2017,001 Adair County,III,13,,43625,0,0
2016 - 2017,001 Adair County,III,14,,43625,0,0
2016 - 2017,001 Adair County,III,15,,45138,0,0
2016 - 2017,001 Adair County,III,16,,45138,0,0
2016 - 2017,001 Adair County,III,17,,45138,0,0
2016 - 2017,001 Adair County,III,18,,45138,0,0
2016 - 2017,001 Adair County,III,19,,45138,0,0
2016 - 2017,001 Adair County,III,20,,45861,0,0
2016 - 2017,001 Adair County,III,21,,45861,0,0
2016 - 2017,001 Adair County,III,22,,45861,0,0
2016 - 2017,001 Adair County,III,23,,45861,0,0
2016 - 2017,001 Adair County,III,24,,45861,0,0
2016 - 2017,001 Adair County,III,25,,45861,0,0
2016 - 2017,001 Adair County,III,26,,45861,0,0
2016 - 2017,001 Adair County,III,27,,45861,0,0
2016 - 2017,001 Adair County,III,28,,45861,0,0
2016 - 2017,001 Adair County,III,29,,45861,0,0
2016 - 2017,001 Adair County,III,30,,45861,0,0
2016 - 2017,001 Adair County,III,31,,45861,0,0
2016 - 2017,001 Adair County,III,32,,45861,0,0
2016 - 2017,001 Adair County,III,33,,45861,0,0
2016 - 2017,001 Adair County,III,34,,45861,0,0
2016 - 2017,001 Adair County,III,35,,45861,0,0
2016 - 2017,001 Adair County,III,36,,45861,0,0
2016 - 2017,001 Adair County,III,37,,45861,0,0
2016 - 2017,001 Adair County,III,38,,45861,0,0
2016 - 2017,001 Adair County,III,39,,45861,0,0
2016 - 2017,001 Adair County,III,40,,45861,0,0
2016 - 2017,001 Adair County,IV,0,,30533,0,0
2016 - 2017,001 Adair County,IV,1,,30533,0,0
2016 - 2017,001 Adair County,IV,2,,30533,0,0
2016 - 2017,001 Adair County,IV,3,,30533,0,0
2016 - 2017,001 Adair County,IV,4,,30533,0,0
2016 - 2017,001 Adair County,IV,5,,30533,0,0
2016 - 2017,001 Adair County,IV,6,,30533,0,0
2016 - 2017,001 Adair County,IV,7,,30533,0,0
2016 - 2017,001 Adair County,IV,8,,30533,0,0
2016 - 2017,001 Adair County,IV,9,,30533,0,0
2016 - 2017,001 Adair County,IV,10,,30533,0,0
2016 - 2017,001 Adair County,IV,11,,30533,0,0
2016 - 2017,001 Adair County,IV,12,,30533,0,0
2016 - 2017,001 Adair County,IV,13,,30533,0,0
2016 - 2017,001 Adair County,IV,14,,30533,0,0
2016 - 2017,001 Adair County,IV,15,,30533,0,0
2016 - 2017,001 Adair County,IV,16,,30533,0,0
2016 - 2017,001 Adair County,IV,17,,30533,0,0
2016 - 2017,001 Adair County,IV,18,,30533,0,0
2016 - 2017,001 Adair County,IV,19,,30533,0,0
2016 - 2017,001 Adair County,IV,20,,30533,0,0
2016 - 2017,001 Adair County,IV,21,,30533,0,0
2016 - 2017,001 Adair County,IV,22,,30533,0,0
2016 - 2017,001 Adair County,IV,23,,30533,0,0
2016 - 2017,001 Adair County,IV,24,,30533,0,0
2016 - 2017,001 Adair County,IV,25,,30533,0,0
2016 - 2017,001 Adair County,IV,26,,30533,0,0
2016 - 2017,001 Adair County,IV,27,,30533,0,0
2016 - 2017,001 Adair County,IV,28,,30533,0,0
2016 - 2017,001 Adair County,IV,29,,30533,0,0
2016 - 2017,001 Adair County,IV,30,,30533,0,0
2016 - 2017,001 Adair County,IV,31,,30533,0,0
2016 - 2017,001 Adair County,IV,32,,30533,0,0
2016 - 2017,001 Adair County,IV,33,,30533,0,0
2016 - 2017,001 Adair County,IV,34,,30533,0,0
2016 - 2017,001 Adair County,IV,35,,30533,0,0
2016 - 2017,001 Adair County,IV,36,,30533,0,0
2016 - 2017,001 Adair County,IV,37,,30533,0,0
2016 - 2017,001 Adair County,IV,38,,30533,0,0
2016 - 2017,001 Adair County,IV,39,,30533,0,0
2016 - 2017,001 Adair County,IV,40,,30533,0,0
2016 - 2017,001 Adair County,V,0,,28541,0,0
2016 - 2017,001 Adair County,V,1,,28541,0,0
2016 - 2017,001 Adair County,V,2,,28541,0,0
2016 - 2017,001 Adair County,V,3,,28541,0,0
2016 - 2017,001 Adair County,V,4,,28541,0,0
2016 - 2017,001 Adair County,V,5,,28541,0,0
2016 - 2017,001 Adair County,V,6,,28541,0,0
2016 - 2017,001 Adair County,V,7,,28541,0,0
2016 - 2017,001 Adair County,V,8,,28541,0,0
2016 - 2017,001 Adair County,V,9,,28541,0,0
2016 - 2017,001 Adair County,V,10,,28541,0,0
2016 - 2017,001 Adair County,V,11,,28541,0,0
2016 - 2017,001 Adair County,V,12,,28541,0,0
2016 - 2017,001 Adair County,V,13,,28541,0,0
2016 - 2017,001 Adair County,V,14,,28541,0,0
2016 - 2017,001 Adair County,V,15,,28541,0,0
2016 - 2017,001 Adair County,V,16,,28541,0,0
2016 - 2017,001 Adair County,V,17,,28541,0,0
2016 - 2017,001 Adair County,V,18,,28541,0,0
2016 - 2017,001 Adair County,V,19,,28541,0,0
2016 - 2017,001 Adair County,V,20,,28541,0,0
2016 - 2017,001 Adair County,V,21,,28541,0,0
2016 - 2017,001 Adair County,V,22,,28541,0,0
2016 - 2017,001 Adair County,V,23,,28541,0,0
2016 - 2017,001 Adair County,V,24,,28541,0,0
2016 - 2017,001 Adair County,V,25,,28541,0,0
2016 - 2017,001 Adair County,V,26,,28541,0,0
2016 - 2017,001 Adair County,V,27,,28541,0,0
2016 - 2017,001 Adair County,V,28,,28541,0,0
2016 - 2017,001 Adair County,V,29,,28541,0,0
2016 - 2017,001 Adair County,V,30,,28541,0,0
2016 - 2017,001 Adair County,V,31,,28541,0,0
2016 - 2017,001 Adair County,V,32,,28541,0,0
2016 - 2017,001 Adair County,V,33,,28541,0,0
2016 - 2017,001 Adair County,V,34,,28541,0,0
2016 - 2017,001 Adair County,V,35,,28541,0,0
2016 - 2017,001 Adair County,V,36,,28541,0,0
2016 - 2017,001 Adair County,V,37,,28541,0,0
2016 - 2017,001 Adair County,V,38,,28541,0,0
2016 - 2017,001 Adair County,V,39,,28541,0,0
2016 - 2017,001 Adair County,V,40,,28541,0,0
2016 - 2017,005 Allen County,I,0,,45196,47397,0
2016 - 2017,005 Allen County,I,1,,45284,47486,0
2016 - 2017,005 Allen County,I,2,,45378,47583,0
2016 - 2017,005 Allen County,I,3,,45463,47670,0
2016 - 2017,005 Allen County,I,4,,49718,51923,0
2016 - 2017,005 Allen County,I,5,,49805,52013,0
2016 - 2017,005 Allen County,I,6,,49895,52106,0
2016 - 2017,005 Allen County,I,7,,49982,52193,0
2016 - 2017,005 Allen County,I,8,,50071,52284,0
2016 - 2017,005 Allen County,I,9,,50160,52373,0
2016 - 2017,005 Allen County,I,10,,55761,57972,0
2016 - 2017,005 Allen County,I,11,,55849,58062,0
2016 - 2017,005 Allen County,I,12,,55938,58149,0
2016 - 2017,005 Allen County,I,13,,56024,58239,0
2016 - 2017,005 Allen County,I,14,,56110,58329,0
2016 - 2017,005 Allen County,I,15,,57351,59566,0
2016 - 2017,005 Allen County,I,16,,57438,59656,0
2016 - 2017,005 Allen County,I,17,,57529,59747,0
2016 - 2017,005 Allen County,I,18,,57617,59839,0
2016 - 2017,005 Allen County,I,19,,57709,59931,0
2016 - 2017,005 Allen County,I,20,,58600,60825,0
2016 - 2017,005 Allen County,I,21,,58691,60915,0
2016 - 2017,005 Allen County,I,22,,58783,61008,0
2016 - 2017,005 Allen County,I,23,,58872,61100,0
2016 - 2017,005 Allen County,I,24,,58962,61193,0
2016 - 2017,005 Allen County,I,25,,59656,61887,0
2016 - 2017,005 Allen County,I,26,,59778,62008,0
2016 - 2017,005 Allen County,I,27,,59897,62126,0
2016 - 2017,005 Allen County,I,28,,60017,62250,0
2016 - 2017,005 Allen County,I,29,,60138,62369,0
2016 - 2017,005 Allen County,I,30,,61942,64176,0
2016 - 2017,005 Allen County,I,31,,61942,64176,0
2016 - 2017,005 Allen County,I,32,,61942,64176,0
2016 - 2017,005 Allen County,I,33,,61942,64176,0
2016 - 2017,005 Allen County,I,34,,61942,64176,0
2016 - 2017,005 Allen County,I,35,,61942,64176,0
2016 - 2017,005 Allen County,I,36,,61942,64176,0
2016 - 2017,005 Allen County,I,37,,61942,64176,0
